"","miR200b","miR200a","TWIST2","miR200c","CDH1","KLF8","miR101","SNAI1","FOXC2","OVOL2","TCF3","GRHL2","CLDN7","NP63","miR205","miR141","ZEB1","TWIST1","miR34a","ZEB2","TGFbeta","GSC","SNAI2"
"miR101",0.0957644040100034,0.125007637244033,-0.0617982621718242,0.112419176054371,0.0491283198264079,0.192170566119952,0.0921732244924965,-0.191871142703075,-0.0790227994535148,0.0530417046926213,0.18413184809972,0.00969203174168952,0.0106938842241776,0,0,-0.0106938842241776,-0.0104720721547007,-0.183881965402733,0.0898509566283342,-0.245143859690709,-0.030345681992264,-0.0299407150687549,0.107762149173531
"miR141",0.0698538944740399,0.115766355619863,-0.0564522079934665,0.119197792779454,0.0463692805614521,0.00387244965667555,0.00375537894596628,-0.178576457542402,-0.131967527130612,0.0601508633000405,0.0434227868215419,-0.00256511912124737,-0.00366913338249604,0,0,0.00366913338249604,0.00370506759387402,-0.042995379512729,0.0176689778940316,-0.241035104727994,0.077575383031006,0.0776821915029631,0.133074455146517
"TGFbeta",-0.0948648232172256,0.0962737694137918,-0.282534044109003,0.0902753595903526,0.064486233034059,-0.034356639173902,-0.0344085742757986,-0.248896672984886,-0.184034021791032,0.00254816451099881,0.006469749881917,0.00414569849563872,0.00508287530570701,0,0,-0.00508287530570701,-0.00501134147981382,-0.00618839848763933,0.161679575410336,-0.200393569172573,0.0974422875773886,0.197625169642349,0.291428119827666
"GSC",0.0698533832954354,0.105210542134846,-0.100643590117648,0.0638517102186024,0.0294063634070522,0.0796850248909348,0.0796070764927744,-0.217260597541565,-0.222588976341896,0.0644839623559911,0.0795985902126436,0.0486069061338287,0.0490430204258954,0,0,-0.0490430204258954,-0.0488832617531955,-0.0791912940204637,0.0714905800730593,-0.183413212308521,-0.0291749349176226,-0.0288424389363011,0.139180573458298
"miR200a",0.134089115671022,0.0696509133125012,0.165599850695272,0.0749536776614936,0.00806516253572642,0.0256929481151666,0.0256857437637383,0.189634949882364,0.16814352095915,0.0585686307075145,0.0186509217140564,-0.00389749421160085,-0.00530066392545124,0,0,0.00530066392545124,0.0054620330858629,-0.0184749304692511,-0.116500076188556,-0.134284682889425,-0.139563883183558,-0.139302543305365,-0.186096718969447
"NP63",0.156636006423714,0.0213792118260518,0.236392634979105,0.0268144703155499,-0.142077594187804,0.21743165108103,0.217382306270459,0.0526873723227626,0.0888961474976952,-0.0710986065791054,0.131680556870546,-0.084232349546381,-0.00457748386859769,-0.00418403674447556,-0.0958159632555245,0.00457748386859769,0.004491645211345,-0.131521239020215,-0.00898494595895573,-0.0774930465140587,-0.107685823243884,-0.10790149173061,-0.246912676617718
"SNAI2",-0.192184721003126,0.0476880891256456,-0.259156805803861,0.0103967287844468,0.220257842042938,-0.222430274873357,-0.222419869407019,-0.0616132174572633,-0.092240056654056,0.0352475119607319,-0.126209853252973,0.038501516877956,0.0380135744475323,0,0,-0.0380135744475323,-0.0381141830697084,0.126080636713256,-0.000863027499706795,-0.0603043192900773,0.189077017445817,0.188918017122646,0.172141347125897
"CLDN7",-0.191949115667768,0.0479303871562845,-0.258910208656818,0.0100108646257441,0.120216450104817,-0.222470175815936,-0.222634085814446,-0.0617452970840892,-0.0916477164079616,0.035591069494176,-0.126180883620049,0.0389818181604248,0.0385544827718665,0,0,-0.0385544827718665,-0.0381338998073052,0.126810118857223,-0.00154964153240053,-0.0601723051317774,0.189145117803948,0.190087659040127,0.272143954016145
"OVOL2",-0.0841793265232618,0.0175142854526514,-0.151168290723639,0.0121508688420124,0.144355380156202,-0.108778375431503,-0.108766311779287,-0.131287932165915,-0.126936207818374,-0.0664057331511872,-0.0357964841534246,0.0362267250588579,0.00347025803641649,-0.00906664885944927,0.00906556846748307,-0.00347025803641649,-0.00357691434089103,0.0356795860885372,0.0729649820249198,-0.0380617796943714,0.0430089282637194,0.0428236052919381,0.14881304982292
"GRHL2",-0.0777506785315724,-0.063892843683299,-0.0299235711626733,0.0869161748914616,0.0801623648298328,0.0092666507734512,0.00951402081614674,-0.0364501355340244,-0.0635340162264669,0.022161337502743,-0.0185442541814111,-0.0450701684033562,-0.0672117477462074,0.00853631481530386,-0.00853457921643547,0.0672117477462074,0.0671272438409042,0.0177118361225638,0.0797009391225705,-0.0347684750348322,0.118983186163582,0.11874537733084,0.00398459846907438
"ZEB1",0.0106812482524742,0.00947709196136401,-0.0592921406714993,-0.00380911268470432,0.0618683348102285,0.00307521073178668,0.00291870241039354,0.0379968030974851,0.0458011023758096,-0.0535667714731507,-0.0721901109174387,0.0063235321021169,0.00903478098289295,0,0,-0.00903478098289295,-0.109212650780747,0.0725248324135296,-0.00892889000718422,-0.00700321581920422,0.0112324527878191,0.010975639694239,-0.0112839644329741
"FOXC2",-0.01054223373375,-0.009304023406437,0.0591323124272245,0.00375323626554217,-0.061831672694596,-0.00282702080658599,-0.00307521073178668,-0.0378084213860915,-0.0450612725028982,0.0536904290671425,0.0731083173167176,-0.00614864947744221,-0.00883795820416341,0,0,0.00883795820416341,0.00903478098289295,-0.0721901109174387,0.00862252420274466,0.00697570369746435,-0.010975639694239,-0.0105208031206021,0.0112766555162154
