"","KLF8","SNAI1","ZEB2","SNAI2","TWIST2","CLDN7","miR200b","miR34a","GRHL2","GSC","TGFbeta","FOXC2","NP63","miR205","miR200c","miR200a","ZEB1","miR141","CDH1","TWIST1","TCF3","OVOL2","miR101"
"GSC",-0.0560108194806076,-0.0173872314378013,-0.133811056037619,-0.000174560957202797,-0.037236980410549,0.0833017450632253,0.103534732147352,0.0623369807010553,0.0803705525741882,0.0568204693857886,0.0573179909460749,-0.0630972395387124,0,0,0.0231508424191245,0.0231508424191245,-0.0837112774915813,-0.0833017450632253,-0.0662935857974341,-0.112585371916319,-0.112333008001165,-0.0892922356044063,0.0559825631862744
"miR101",-0.110186590762964,-0.0296218538697654,-0.130550894573363,0.0996630707096476,0.0364909969691212,-0.0926029943513592,0.0326755096032172,-0.023029717442783,-0.0934933377145201,0.0391420129602166,0.0393767763941349,-0.128602970203301,0,0,0.108230655259743,0.108230655259743,0.0924747849976794,0.0926029943513592,-0.0200245014074812,0.028897560516435,0.0289815822093084,0.094210759059176,0.0102636835667498
"ZEB2",-0.0993942576376734,-0.0851526325181935,-0.0793926484966719,-0.0464303486326456,-0.045178453278749,-0.0363654158551132,-0.036090364793755,-0.0329617792651539,-0.0317133017812546,-0.020214868933983,-0.0196156904181968,-0.0181530213349098,0,0,0.00276651028237474,0.00276651028237474,0.0361555169748194,0.0363654158551132,0.0758187052493007,0.0792112165117908,0.080125370472854,0.0805545479924845,0.0990631351024481
"CDH1",-0.264839969453193,-0.11265431404706,-0.0792964471513615,-0.234196432508004,-0.240386058812524,-0.0432589802463297,-0.19990046229471,0.0174346703464528,-0.0433797042201667,-0.184034154342086,-0.183655653206583,-0.0428967350393966,0,0,0.0602819178770376,0.0602819178770376,0.0429830340879174,0.0432589802463297,0.208605620462337,-0.060688686410872,-0.0604496425861708,0.0394526834027563,0.265037310205676
"TCF3",-0.26521249217708,-0.112724137844653,-0.0791806625996926,-0.234245667274034,-0.240021095308874,-0.0430505173856341,-0.199653446453155,0.0175936107438038,-0.0431946573091515,-0.183834770619048,-0.184034154342086,-0.0428549165317199,0,0,0.0602585647997389,0.0602585647997389,0.0432589802463297,0.0430505173856341,0.30850234110589,-0.0604496425861708,-0.0595783937962385,0.0393198750894219,0.264839969453193
"KLF8",-0.26521249217708,-0.112724137844653,-0.0791806625996926,-0.234245667274034,-0.240021095308874,-0.0430505173856341,-0.199653446453155,0.0175936107438038,-0.0431946573091515,-0.183834770619048,-0.184034154342086,-0.0428549165317199,0,0,0.0602585647997389,0.0602585647997389,0.0432589802463297,0.0430505173856341,0.30850234110589,-0.0604496425861708,-0.0595783937962385,0.0393198750894219,0.264839969453193
"CLDN7",-0.26521249217708,-0.112724137844653,-0.0791806625996926,-0.234245667274034,-0.240021095308874,-0.0430505173856341,-0.199653446453155,0.0175936107438038,-0.0431946573091515,-0.183834770619048,-0.184034154342086,-0.0428549165317199,0,0,0.0602585647997389,0.0602585647997389,0.0432589802463297,0.0430505173856341,0.30850234110589,-0.0604496425861708,-0.0595783937962385,0.0393198750894219,0.264839969453193
"OVOL2",-0.213012428156938,-0.15988177067868,-0.0533389418756534,-0.19956119859884,-0.168586445011296,-0.135607507357988,-0.157895049275809,-0.0757712330168849,-0.161065879418638,-0.254248490495426,-0.254422790539518,-0.0343035865381092,-0.186889225233431,0.186890305625397,0.142528278305798,0.142528278305798,0.13577720636982,0.135607507357988,0.269247122117249,0.0507862183376954,0.0508077995189054,0.21827513158811,0.213057392678833
"TGFbeta",-0.0963950689124503,0.0067605594253663,-0.0343184176778523,-0.201567294476675,-0.157542123823089,0.0843795876265886,-0.0961548752508097,-0.013259355634901,0.0838227252081889,0.00779515168009577,-0.0927865088543021,0.00659536077930427,0,0,-0.0263892791626505,-0.0263892791626505,-0.0838990930310806,-0.0843795876265886,0.00376757498361084,-0.0901024769500487,-0.0901955044271888,-0.0872898950696674,0.0963334392581996
"miR200c",-0.0130473297489355,0.0806181036462194,-0.0231137312040313,-0.110749154649791,-0.09475707982726,0.0379205487888207,0.0221609813137437,0.0354950915681663,0.0319323500846233,0.114400662581451,0.114986972916875,0.026338105104819,0,0,-0.0112642184731516,-0.0112642184731516,-0.0382993087683761,-0.0379205487888207,-0.0863095971218657,-0.139047078770383,-0.138459948315025,-0.100762036357862,0.0128492100846583
"miR200b",-0.0130473297489355,0.0806181036462194,-0.0231137312040313,-0.110749154649791,-0.09475707982726,0.0379205487888207,0.0221609813137437,0.0354950915681663,0.0319323500846233,0.114400662581451,0.114986972916875,0.026338105104819,0,0,-0.0112642184731516,-0.0112642184731516,-0.0382993087683761,-0.0379205487888207,-0.0863095971218657,-0.139047078770383,-0.138459948315025,-0.100762036357862,0.0128492100846583
"miR200a",-0.0130473297489355,0.0806181036462194,-0.0231137312040313,-0.110749154649791,-0.09475707982726,0.0379205487888207,0.0221609813137437,0.0354950915681663,0.0319323500846233,0.114400662581451,0.114986972916875,0.026338105104819,0,0,-0.0112642184731516,-0.0112642184731516,-0.0382993087683761,-0.0379205487888207,-0.0863095971218657,-0.139047078770383,-0.138459948315025,-0.100762036357862,0.0128492100846583
"ZEB1",-0.0433183066767014,-0.0877816444925539,-0.0206191015848959,-0.0289038551928088,0.0566611881762422,-0.020500960329575,-0.0082461070907165,-0.0125816520638582,-0.0163624834353497,-0.00423734676202011,-0.00417628790539865,-0.100237478860136,0,0,0.0208476203930205,0.0208476203930205,-0.0795871111237313,0.020500960329575,0.0746543608578801,0.0896623731168833,0.0897326826591501,0.0811808924538121,0.0432668720170886
"GRHL2",-0.147153502658948,-0.0392076465095505,-0.0152549234767679,-0.144974785775069,-0.121557731170561,0.00176501842036627,-0.0098647808478962,0.0143486813164457,-0.0974609217557819,-0.124022012545135,-0.123732096415709,0.0173108391074568,-0.186385612021517,0.186387347620385,0.00478937587180091,0.00478937587180091,-0.00199844135258628,-0.00176501842036627,0.0873866594782173,-0.0190620090575965,-0.0186920454758866,0.125865235828621,0.147027616836508
"miR34a",-0.0482861068591439,0.0231943794380294,-0.00958235718062989,-0.128902970018204,-0.22983193202374,0.137818962530068,0.00590131892861599,0.055958066673776,0.137369362337168,0.00358927585488341,0.00330326676775925,0.117034906516361,0,0,-0.118674148964682,-0.118674148964682,-0.137592178179854,-0.137818962530068,-0.00112330600267441,-0.093403665734666,-0.0933950052038542,-0.122858508302411,0.0481929522801642
"miR205",0.0543375030466002,0.114569265218944,-0.00772584406951732,0.0352607120103584,-0.0576220001786444,0.0286458692288178,0.0231848477535391,0.0186915531426829,0.023793827997051,0.0175751840374915,0.0178433954325082,0.105318591941853,0,0,-0.0128094439220101,-0.0128094439220101,-0.0287582901925325,-0.0286458692288178,-0.0775075026180106,-0.116354392295548,-0.115802520461603,-0.094902044876016,-0.0546491620991066
"miR141",0.0725389160793143,0.00418209393118382,0.00494199548937582,0.156693012788575,0.0439999861655113,0.0193710002208941,0.086223021324694,0.0977487491696073,0.016392245294604,-0.0721095627273309,-0.0723118170678453,0.0216836790618348,0,0,-0.0125812321899969,-0.0125812321899969,-0.0191538325956098,-0.0193710002208941,-0.0877731886420282,0.0360590785526096,0.0362646481578864,-0.0835230024131105,-0.0727892672914464
"TWIST1",0.0255272647347838,-0.0198712688777527,0.015557989086488,0.10651964018283,0.111042475369232,-0.143569029058745,-0.0251530127114759,-0.0529203659539618,-0.142571160471276,-0.0181041191044056,-0.0179665571780373,-0.215123408670528,0,0,0.0597188081801722,0.0597188081801722,0.143396884832733,0.143569029058745,0.152435204680342,0.121374098546488,0.221209892251096,0.128624721499551,-0.0253878433335987
"FOXC2",0.0431317363191368,0.087761342704108,0.0207985613881716,0.0288965462760501,-0.0568679311787867,0.0202310198015118,0.00819976891780843,0.012332768067038,0.0161226336153315,0.00396705008699487,0.00423734676202011,0.100180049143973,0,0,-0.0205909844501431,-0.0205909844501431,-0.020500960329575,-0.0202310198015118,-0.0746623025031062,-0.0897326826591501,-0.0894735569268383,-0.0810112972655081,-0.0433183066767014
"SNAI2",0.265037310205676,0.11265743087929,0.0792874080978931,0.134245964666589,0.240305735115532,0.0429830340879174,0.199740756540463,-0.017613493115783,0.043134406939829,0.183655653206583,0.183767255059432,0.0427681594280259,0,0,-0.0601700214185605,-0.0601700214185605,-0.0430709595107049,-0.0429830340879174,-0.208506865676014,0.0608201699074262,0.060688686410872,-0.039279282322024,-0.264981120687449
