"","TWIST2","ZEB2","TCF3","CDH1","OVOL2","ZEB1","miR141","miR200b","FOXC2","NP63","miR205","TGFbeta","GSC","miR200c","miR200a","GRHL2","SNAI1","CLDN7","miR34a","TWIST1","KLF8","miR101","SNAI2"
"TWIST2",0.119182109148156,-0.144571810752628,0.267447169810996,-0.0937279743313485,0.131944633947751,0.150040287476636,0.149986155646797,0.0427078489852236,-0.190736211597962,0,0,-0.0138708503858912,-0.0138296445559485,0.00481132024335197,0.00481132024335197,-0.148576877932125,0.152735613207727,-0.149986155646797,-0.0188358182970274,-0.267787708117993,-0.130694906339469,-0.130862625960927,-0.120082149534151
"SNAI1",0.026647204138864,-0.107076673225128,0.0542905023814274,0.0923233696534751,0.107456695028014,0.111119546862247,0.111148964190675,0.0382183702834803,-0.161845662090462,0,0,-0.0123427111084087,-0.0124377512614097,0.00356462124672127,0.00356462124672127,-0.110352896266749,-0.0324526485391488,-0.111148964190675,0.0231340809761738,-0.0538485422242633,-0.141822300758155,-0.141720285090795,-0.111285422238634
"CDH1",0.365085139980803,-0.0773376387109566,0.292373340488254,0.118010890734413,0.135845953255148,0.157250448719559,0.156908724697804,0.288373837423236,-0.233374120147179,0,0,-0.228398968273705,-0.228171867592403,0.0423259204115833,0.0423259204115833,-0.154788180725194,0.198028574329677,-0.156908724697804,-0.0259236549179068,-0.293897908881348,-0.385711359939957,-0.386859818417521,-0.381907871984001
"ZEB2",-0.144485403233668,-0.075378879023819,-0.0360142801726433,-0.0356973359524711,-0.024994785460702,-0.0119271934115037,-0.0118434793551526,-0.0110315211377527,-0.0075812709941901,0,0,0.00330905349494787,0.00332814345793797,0.00909508945595179,0.00909508945595179,0.0105256629045127,0.0111394430822049,0.0118434793551526,0.0259295792268141,0.036136059119499,0.12632081909766,0.126353633042592,0.148885081566609
"OVOL2",0.0960706629883844,-0.0541583115493448,0.0468999195686887,-0.0207611969443863,-0.0564530119053742,0.0186618998611362,0.0186242644517866,0.0189968452587874,-0.124922897484136,-0.00906664885944927,0.00906556846748307,-0.0203978393743067,-0.0203406579369169,-0.00715270211358559,-0.00715270211358559,-0.0487276958973771,0.131500093254724,-0.0186242644517866,0.0595460931141402,-0.047239823172746,-0.127661811691415,-0.127918438474916,-0.107222123853229
"FOXC2",-0.0923442939359999,-0.0273225382546911,-0.0128758788030745,0.0762497168092135,-0.062562624415045,-0.0016371026689989,-0.00166643478937112,-0.0133180330836413,-0.067486194227279,0,0,0.00880920456886558,0.00891667192158646,-0.00955487706997713,-0.00955487706997713,0.00196943131645123,0.0554834788082914,0.00166643478937112,-0.00582193826349851,0.0125322555493566,0.00791368898335964,0.00769288553266385,0.0255966685578084
"miR205",0.124334149705388,-0.0095360937460951,0.0185725580496276,0.00350892049390985,0.0681243930591474,0.00640172831920594,0.00641663496632834,0.00916126727679233,0.0792945627257638,0,0,-0.00251247715907082,-0.00251723830809478,2.56810521844581e-05,2.56810521844581e-05,-0.00564739255005132,-0.0709756209417608,-0.00641663496632834,-0.00213965989853598,-0.0184860706726662,-0.0324341558312445,-0.0324904797563963,-0.054955987066514
"miR200c",-0.127832993154873,-0.00508513827948507,-0.0381894281094216,0.000849812712464931,-0.0603539785097438,0.00323433717554784,0.00322563261502771,-0.0428298786357577,-0.0967049239524054,0,0,-0.0881908717560975,-0.0882147332232368,-0.00101700289037306,-0.00101700289037306,-0.00215487666782364,0.110066397062286,-0.00322563261502771,0.0939117424384472,0.0382056962076809,0.0239491677698843,0.0240086036691675,0.140745320724017
"miR34a",-0.278040849624884,0.00483774076151264,-0.129941790825429,0.0365225933886813,-0.0961094864916099,-0.0909851491110322,-0.0909949058354381,-0.120339866019873,-0.00728694456780302,0,0,0.0392862787870239,0.0393647200978386,-0.0922415269355123,-0.0922415269355123,0.0887000855987345,-0.0168120073266706,0.0909949058354381,0.0528325917838761,0.129583559778213,0.0886744630282302,0.088612039856749,0.171974893306877
"miR200a",-0.00332217408228004,0.0180100570365723,0.0125237341276335,-0.0059319124319751,-0.073449280809654,-0.00893121263801299,-0.00894393468800395,0.0292807388770302,0.0847426405833065,0,0,0.0919970050702208,0.0920276840994,0.00278414027607365,0.00278414027607365,0.007753319447044,-0.0776343199413433,0.00894393468800395,0.00931781817727208,-0.012664231339873,0.0151603618457336,0.0151819749000184,-0.0668870750747862
