"","TWIST2","ZEB2","miR200b","miR141","miR200a","NP63","CDH1","FOXC2","GSC","miR200c","TGFbeta","miR205","GRHL2","OVOL2","CLDN7","miR34a","ZEB1","TCF3","TWIST1","SNAI1","KLF8","miR101","SNAI2"
"CDH1",-0.274495676000457,-0.103918893216458,-0.154256777341847,-0.101920226748458,-0.000732071294653156,-0.0241429523488298,-0.14993865180785,-0.0403300120992977,-0.144724129035362,-0.1027441406716,-0.145405431079269,0.0236550221998827,0.102818801971122,0.0668170311468132,0.101920226748458,0.0512438551342839,0.101607380813048,0.171815629147081,0.171905934591968,0.0278641237520679,0.23099938354182,0.230847334109579,0.268089514461169
"SNAI2",-0.274610531380268,-0.103887494399147,-0.154394543719753,-0.101607380813048,-0.000519468023546686,-0.02391506922032,-0.149844413872462,-0.0403592916939662,-0.145405431079269,-0.102593080452656,-0.145099926393283,0.0241429523488298,0.102594896895465,0.0664480497773479,0.101607380813048,0.0510731082319557,0.101754265973534,0.171905934591968,0.171921803289828,0.0280248632427775,0.230847334109579,0.230983992567489,0.16813361843799
"TCF3",-0.274425490711294,-0.103845414558668,-0.154391378788443,-0.101477700324876,-0.000462449402204692,-0.0236550221998827,-0.0497084051691667,-0.0404793639124287,-0.145521663927514,-0.102499994863478,-0.144724129035362,0.0246376811594203,0.102536361949046,0.0662228886924223,0.101477700324876,0.051111404803158,0.101920226748458,0.171476810173218,0.171815629147081,0.0280571660160018,0.230388446274647,0.23099938354182,0.267981616995188
"ZEB2",-0.121923887639147,-0.0921370009894926,-0.0196081345850167,-0.014060170852165,-0.0123309022439093,-0.0101969320255253,-0.00997262025336789,-0.00709872890248921,-0.000862644123946952,-0.000541216826564757,0.000108480767517371,0.0109561511144623,0.0133098429484689,0.0139997672165342,0.014060170852165,0.0142197994229321,0.0144630294048692,0.0203792952179521,0.0203971561301576,0.021434743511006,0.10473320998483,0.10495694142755,0.121195318849861
"GSC",0.12731557374149,-0.0707280990650705,-0.0417064961304924,0.201308494791076,0.146313523861414,0.0316138105704146,0.030358537975226,0.219340166949036,-0.10039774405248,0.0717040073379094,-0.100780358913339,-0.0311367899378354,-0.199562239945109,-0.115562979614155,-0.201308494791076,-0.255123370939296,-0.201577092076144,0.357511277371083,0.357482527051635,0.403582651524658,-0.244690276955837,-0.24572406758644,-0.0428746537918942
"GRHL2",-0.117891123668385,-0.0466844547682326,0.0300345422382529,-0.0618037661887329,-0.0278033724667029,-0.255656638379937,-0.114649886271059,-0.0402063395851332,-0.0567065510372389,-0.0590011350874964,-0.0582171083081469,0.254433041177722,0.122314091899603,-0.0536814665751829,0.0618037661887329,0.0605148414438251,0.0612170426911884,0.0414882257198191,0.041592277977175,-0.0236786172043394,0.126241134964827,0.126203281186052,0.12600316656458
"miR34a",-0.329529723904721,-0.0423164459844963,-0.101309827692118,-0.019508926168477,0.0461882940871976,0.0105616085750354,-0.00027881377622032,-0.130453473789871,-0.0427326304936274,0.0111257320527337,-0.0417394428197743,-0.00996365599494567,0.0171012932676842,-0.0163339596284254,0.019508926168477,0.0773814943499016,0.0199151390602035,0.066044338503393,0.0660655961699311,-0.111534243308337,0.207276385536428,0.207612510305942,0.268020801762801
"SNAI1",0.267729247019582,-0.0342415064765612,0.016569293009588,0.200630593579861,0.132560081234089,0.0267280561917394,-0.0429402441426074,0.226388388895469,-0.0784636985794049,0.0855707450330276,-0.0785681061396832,-0.0261387398477061,-0.197787327759377,-0.124827139276343,-0.200630593579861,-0.34817332299771,-0.20076162036816,0.248554732589448,0.248503127993062,0.343051088119412,-0.374840591336198,-0.375711312215716,-0.234932207271635
"miR101",-0.15555835734016,-0.0306006359278895,0.0634935688173661,-0.155026179618117,-0.0695843896257167,-0.0397830949330245,-0.0537846991756795,-0.196169419164104,0.0793912241533725,-0.0948177020370736,0.0798330824736402,0.0394445477988654,0.153098287429821,0.0798330941805595,0.155026179618117,0.223967767126451,0.155303362308207,-0.241532934773944,-0.241466372134135,-0.395108594959782,0.383414821977137,0.284341264808836,0.12991456357534
"miR200a",0.0234491304128509,-0.0146200588469644,-0.0339042940858232,0.020514221676151,0.0177285221675235,0.049123682929054,-0.0284953645797532,0.0291251794984542,-0.116821532324965,0.00463072646474094,-0.115578463513038,-0.0478228121275612,-0.0209630642992721,-0.0308330930325219,-0.020514221676151,-0.139489472021754,-0.0200256503177262,0.02364087525379,0.0235684082706348,0.174145862526627,-0.0351893943303128,-0.0352596367567384,0.0845512569963328
