"","NP63","miR205","GRHL2","CDH1","miR141","CLDN7","ZEB2","SNAI2","TWIST2","miR200a","TGFbeta","GSC","miR200c","miR200b","TCF3","TWIST1","SNAI1","FOXC2","KLF8","miR101","ZEB1","miR34a","OVOL2"
"TWIST1",0.163850610505232,0.163834898351882,0.143304080703794,-0.0579765148309347,0.127461239666675,0.127461239666675,-0.111135801233258,-0.0520029066597552,-0.0804221114117985,0.121295323279118,0.0389636421289604,0.0389495412481254,0.0119621863209048,0.0092351896716836,0.089378513179254,-0.0105961614717055,-0.00555478313670831,-0.0320989882012672,-0.00779013973185178,-0.00789072231413531,-0.127438410504086,-0.046970983180364,-0.17656202582775
"GSC",0.114623657757707,0.114709866305763,0.095135810202733,0.093799569042026,0.0831714577958486,0.0831714577958486,-0.0812368764045818,0.111881589717851,0.0532138305594426,0.0815121352958812,0.0213519250698955,0.0213030286020541,-0.00156061932229904,-0.0254556679389655,-0.146257271618899,-0.146313175017826,0.0371996214041989,-0.0247317889776847,-0.120198401605583,-0.120384503406191,-0.0831796629240537,-0.0122995242120024,-0.127363623943794
"ZEB2",-0.128524374516194,-0.128377178978543,-0.0951396867653092,-0.0876371672156597,-0.0793464150063813,-0.0793464150063813,-0.0706419581015713,-0.0682931743121785,-0.0499958533104829,-0.047103032298492,-0.0162695661542618,-0.016148252518486,-0.0156081207390338,0.0137945175521032,0.0268523737191283,0.0268734820699166,0.0290809819548338,0.0427227066523291,0.0679975908297428,0.0684440593532147,0.0792911784589355,0.10573184394394,0.144756987481063
"SNAI1",-0.105277239495777,-0.105375254688132,-0.0917074178687416,-0.0633303298685098,-0.0838718818499149,-0.0838718818499149,-0.0521288080407123,0.0444676622192937,0.0572998206892276,-0.00974406272855064,0.0211846872701951,0.021214155572255,-0.0715498290429533,0.0327852377816866,-0.0257084130960699,-0.0255025056471252,-0.0892346026641383,0.094025046686842,-0.0734831261205028,-0.0733773667589275,0.083885548167846,0.091025348642625,0.115483989963789
"miR200a",0.21710757918969,0.217132459232342,0.207550557504277,0.16500560348842,0.180959374897419,0.180959374897419,-0.0384581834706433,-0.00885384943721555,-0.0515968667885644,0.105500506483453,0.128555131287382,0.128589219097581,0.0719412846194696,-0.0351269948304212,-0.0302830010620338,-0.0301306725056056,-0.0200082950139581,-0.0540713656683256,0.0142531380374759,0.0141828956110503,-0.18094576007199,-0.177955600141463,-0.223646409088378
"OVOL2",-0.166841974962871,-0.166786874972594,0.0274441379780885,-0.104731639961901,0.188338038919044,0.188338038919044,-0.0261152405626993,-0.095244957791052,-0.118135453548285,0.202769125028323,-0.212821488024284,-0.2128635129361,0.182934204333435,-0.0120342429680781,0.0632661675664724,0.06316006009219,0.0759360866970084,0.0798326309741245,0.0890398399039968,0.0889937786864453,-0.188350131162481,-0.131064686766203,0.0622126359904882
"CLDN7",-0.060862653933149,-0.0609782608695652,-0.0586251459570443,0.10879553250159,-0.0523546772044858,-0.0523546772044858,-0.0164066406033767,0.0321821037170564,0.0465616610104962,-0.0167786655310192,0.00389480888675368,0.00345978985467102,-0.0337949525847046,0.00960214764579605,-0.10797100157471,-0.108213015127469,0.0429234302752884,0.0746669410544153,-0.0358355961924222,-0.0368935607282589,0.0524241648247177,0.0457371856152503,0.0635478217638729
"SNAI2",-0.0613753679816657,-0.0612478619454757,-0.0586039613106179,0.00864593084441542,-0.0522974221124236,-0.0522974221124236,-0.0163441234804738,-0.0681460287597764,0.0467918717726661,-0.0167350974841682,0.00392742919590464,0.00394595768884873,-0.0337718645615926,0.00959759661283408,-0.108377689762263,-0.108547711525048,0.0429561709767091,0.0747188522789934,-0.0370714909149238,-0.0368543635173309,0.0522537164929093,0.0456810351587155,0.0636996287600309
"CDH1",-0.0612478619454757,-0.060862653933149,-0.0586738425125746,0.00870362334952254,-0.0524241648247177,-0.0524241648247177,-0.0163398418235677,0.0318772671869551,0.0469968098033092,-0.0167807885380463,0.00394595768884873,0.00389480888675368,-0.0338735038447093,0.00957404404705628,-0.108213015127469,-0.108377689762263,0.0428782501709635,0.0747685002873444,-0.0368935607282589,-0.0370714909149238,0.0522974221124236,0.0457848677344556,0.0637318894262136
"miR200b",0.170633340431558,0.170814609313733,0.168944289410694,0.0634085666450447,0.142609287423036,0.142609287423036,-0.00928026554838031,-0.0359555703991855,-0.0617484542933891,0.0710017366991694,0.100597015516012,0.100511795990515,0.063360838121465,-0.0587784209137346,-0.0199783826023327,-0.0200626809296764,-0.0135477160513596,-0.038494903895866,0.0299775054577186,0.0296298955013049,-0.14268182542737,-0.141049945365256,-0.173151244825942
"TGFbeta",0.118314639763916,0.118096596700411,0.105382623245292,0.029592505639088,0.0964063204828837,0.0964063204828837,-0.00726800879974547,-0.0586227729474555,-0.107420171292088,0.050916991735583,0.0921205915759892,0.192115813184743,0.0447658733191137,0.0578524918841134,-0.0115950663532277,-0.0113477494018062,-0.0297991710999907,-0.0747394479685373,0.0419661454314516,0.0420430093822587,-0.0963512548759011,-0.110105056712327,-0.128094754587187
"miR141",-0.170633340431558,-0.170814609313733,-0.168944289410694,-0.0634085666450447,-0.142609287423036,-0.142609287423036,0.00928026554838031,0.0359555703991855,0.0617484542933891,-0.0710017366991694,-0.100597015516012,-0.100511795990515,-0.063360838121465,0.0587784209137346,0.0199783826023327,0.0200626809296764,0.0135477160513596,0.038494903895866,-0.0299775054577186,-0.0296298955013049,0.14268182542737,0.141049945365256,0.173151244825942
"TCF3",0.060862653933149,0.0609782608695652,0.0586251459570443,-0.10879553250159,0.0523546772044858,0.0523546772044858,0.0164066406033767,-0.0321821037170564,-0.0465616610104962,0.0167786655310192,-0.00389480888675368,-0.00345978985467102,0.0337949525847046,-0.00960214764579605,0.10797100157471,0.108213015127469,-0.0429234302752884,-0.0746669410544153,0.0358355961924222,0.0368935607282589,-0.0524241648247177,-0.0457371856152503,-0.0635478217638729
"KLF8",0.060862653933149,0.0609782608695652,0.0586251459570443,-0.10879553250159,0.0523546772044858,0.0523546772044858,0.0164066406033767,-0.0321821037170564,-0.0465616610104962,0.0167786655310192,-0.00389480888675368,-0.00345978985467102,0.0337949525847046,-0.00960214764579605,0.10797100157471,0.108213015127469,-0.0429234302752884,-0.0746669410544153,0.0358355961924222,0.0368935607282589,-0.0524241648247177,-0.0457371856152503,-0.0635478217638729
