"","KLF8","TWIST2","ZEB2","SNAI1","CDH1","miR200b","TWIST1","ZEB1","TGFbeta","miR200a","miR200c","GSC","miR141","CLDN7","GRHL2","TCF3","miR205","NP63","OVOL2","miR34a","FOXC2","SNAI2","miR101"
"CDH1",0.378495029341438,0.419425306421287,-0.114446366130069,0.0768854347323998,0.325037221868379,0.333311207381196,0.176508588873246,0.0420179390972544,0.241918899474899,0.0330802048036212,-0.0330802048036212,-0.241082105072624,-0.0416633803704571,-0.0416633803704571,-0.0437536407176004,-0.175334618089714,-0.0409707212867555,-0.0417411373114088,-0.0408550270449299,-0.0526716339455517,-0.120260988149525,-0.449864227907805,-0.381933934585526
"KLF8",0.372281350307017,0.415986227252281,-0.113702673048196,0.0756121772468779,0.423300423149422,0.331404600077219,0.175334618089714,0.0416633803704571,0.241082105072624,0.0330441136841596,-0.0330441136841596,-0.239142645221256,-0.040877073088886,-0.040877073088886,-0.0427634774218175,-0.173592120509849,-0.0383695652173913,-0.0409707212867555,-0.0403960228742829,-0.0515166670581345,-0.118211881273367,-0.447548098807964,-0.378495029341438
"ZEB2",-0.114308370279573,-0.113397530614736,-0.0819858251033237,-0.0397168225496002,-0.0253843199771966,-0.0242342053450111,-0.0123721646399064,-0.00795668380061564,-0.00669434962030724,-0.00621851714054946,0.00621851714054946,0.00657796242659338,0.0079245238552139,0.0079245238552139,0.009490583010454,0.0122341485001367,0.0188091240418233,0.0189873081137167,0.0230536714113143,0.0303220420150145,0.0383589172275205,0.099502892384422,0.114711086876468
"GSC",0.108559927669423,0.0176695866204714,-0.0695863431847251,0.108711053423308,0.0123882563051355,0.0138401108585598,-0.19860248817836,-0.0498072903013159,0.00392572625739153,0.0582935991193612,-0.0582935991193612,-0.00392878228663161,0.0498145301203204,0.0498145301203204,0.0543785607981174,0.198589710258605,0.0620035152185856,0.0621376174044512,0.0668849567195302,-0.0359835504282097,0.127030642830962,-0.00885269562173025,-0.108673927201732
"TWIST2",0.0618666793169438,0.135909608836303,-0.0629889028507878,-0.117835393239103,0.187506674240417,0.0528447587873813,0.257322785345586,-0.120159821806577,0.0170388220211223,0.0908778972938068,-0.0908778972938068,-0.0169206622571144,0.120215029815936,0.120215029815936,0.130763741547292,-0.257227320631909,0.119293596310042,0.119199455303931,0.111561973193053,0.114688275187134,-0.0368078742560491,-0.202693607435387,-0.0622307960080877
"GRHL2",-0.0225135132745515,-0.0168366521287752,-0.0468708585148397,0.0934746833664898,-0.0482929188797715,0.0495829325208935,-0.0134168971462493,0.016920697044226,0.0987476408265492,-0.00162051058510348,0.00162051058510348,-0.0987215871782069,-0.0169003899041919,-0.0169003899041919,0.0863788456474787,0.0134168971462493,0.21341044171133,0.213110183107098,0.052515027230099,-0.0268627088369608,-0.0930060018291373,0.0470831169477107,0.0226341171743711
"ZEB1",0.0285497037662785,0.0825456212637016,-0.0273792222921895,0.106472398991415,0.0138261929573482,0.0229422152002803,0.00166445718135082,-0.0912727732795728,0.0106662342885099,0.00327353786412871,-0.00327353786412871,-0.0105745316611496,-0.00869405223079174,-0.00869405223079174,-0.0206022251253835,-0.00157251393377109,-0.0648026436725254,-0.0648428781822391,-0.0748611190280182,-0.019185449435281,-0.110034413343406,-0.00530003384293309,-0.0288039379409359
"miR141",-0.00432709579612047,0.0597992180555207,-0.024409648148794,-0.0825145412623737,-0.0234477865418712,0.0374204926344802,0.0214194702888276,-0.0123552238853641,-0.0901727647675203,0.0179921815072492,-0.0179921815072492,0.0901602659037806,0.0123286638160847,0.0123286638160847,0.00258618668876049,-0.0213292562893896,-0.0436616269192848,-0.0438286786342306,-0.0566862576196471,0.0105779980417499,0.0851962831901189,-0.0859415235371334,0.0043252947082634
"miR200c",-0.0062326803633343,0.00401071854924535,-0.00610516011351079,-0.142831255561405,0.0371776029995014,0.0274490664264186,0.024110452569748,-0.013100052301494,-0.0920516566719916,0.00966165365976457,-0.00966165365976457,0.0919482569810544,0.0130618861515211,0.0130618861515211,0.0220403818403822,-0.0242450341098932,0.0663801477777043,0.0666253939124119,0.0776435876719171,0.118923599813011,0.120440799955889,-0.111027331717891,0.00646682178475284
"miR200b",0.0334871577875143,0.0258084829532331,-0.0036675363867928,0.155828013552761,0.0382028762604827,0.019836251245848,-0.0191097866570858,0.0213285947087938,0.10262254753993,-0.010085991450486,0.010085991450486,-0.102483923778453,-0.0212623061325251,-0.0212623061325251,-0.0298983037778177,0.0193153562623626,-0.0748761415913118,-0.0750787362243312,-0.0861314113030484,-0.13112745179032,-0.134852770129494,0.0766323985880202,-0.0339806558603503
