"","CDH1","miR200a","GSC","SNAI1","TWIST2","miR101","GRHL2","TCF3","FOXC2","OVOL2","NP63","miR205","miR34a","ZEB1","miR141","CLDN7","TWIST1","KLF8","ZEB2","miR200b","SNAI2","miR200c","TGFbeta"
"TWIST1",0.22155687810504,0.215590874661295,0.0746184999554748,-0.23134449535797,0.0885030371702106,0.189709108966819,0.179936717810974,-0.23463935190176,-0.345313250400086,0.154201491825983,0,0,0.195175099484148,-0.184843400560615,-0.184897326744677,-0.184897326744677,0.134511091263071,-0.189670270147917,-0.261139386297257,0.0490208912994428,-0.177206865226137,-0.0156837992741972,-0.0746495218933118
"miR200b",-0.0320756053495531,-0.00231823706815448,-0.0500326171913908,-0.118297967117183,0.0230958969603342,0.0261292950436085,-0.202003940727146,-0.0144710471249692,-0.0207955446452512,-0.13638287178911,0,0,-0.100792271825428,0.202590003985156,0.202530857612391,0.202530857612391,0.0145287249278885,-0.0260176275964705,-0.197548255083492,-0.195358044171663,0.0702387242423732,-0.200344253345025,0.0500871576877093
"miR205",-0.015524426058487,-0.0337353124511138,0.0335840455766456,0.149564394349181,0.134393382704333,-0.0349747328692818,-0.230607374622756,0.124561238942718,0.132977386014887,-0.154778378002465,0,0,-0.249446398952107,0.235662266218343,0.23543431873943,0.23543431873943,-0.124767161268816,0.0346630738167754,-0.16824707266901,-0.20516652375741,-0.00105962551412461,-0.207817868800022,-0.0331983925057045
"miR34a",0.10016681820237,0.269221798250647,0.0853856367241348,-0.139603446744821,-0.237743321038001,0.0513943026948658,0.270316852284773,-0.180708935094393,-0.20967679822009,0.2122413622837,0,0,0.226832039359924,-0.277749428822091,-0.277714685364451,-0.277714685364451,0.180385346170425,-0.0515950172000902,-0.157257790574297,0.048035342006008,0.0416028105580216,0.141789216224252,-0.0854713187713323
"GSC",0.103474792009913,0.101017806479655,0.0507120305898345,0.122714081562847,0.0258358156347198,-0.0851572912278657,0.0925773201733652,0.0133262504128405,-0.0577650814493668,0.0945531540766276,0,0,-0.0122884458331181,-0.0916627867220133,-0.0917479752589666,-0.0917479752589666,-0.0133502090123805,0.0851202657387395,-0.112462281593037,2.45747901855129e-05,-0.0333993306179666,-0.0107811379645955,-0.0505977350962552
"NP63",-0.0887880546808101,-0.0652890079644977,0.0872784024874351,0.0458244706034134,0.0341074644896735,-0.0199554892476944,-0.0264924417281899,-0.0412648854323007,-0.00343483158546787,-0.0233303071582457,-0.00418403674447556,0.0958159632555245,-0.14544738551011,0.146819574350217,0.146623129359904,0.146623129359904,0.0407330779600691,0.0192564377646087,-0.089847387887509,-0.169782196410357,0.00953319117747874,-0.123610071114175,-0.0869874211958205
"TGFbeta",-0.0567898764094803,0.0699895951064634,0.0153414987758318,-0.245055504220238,-0.111463516386774,0.113892820622564,0.0732271658536804,-0.142506174882243,-0.124680647169208,0.0541085382706929,0,0,0.216345740521115,-0.0764961519104196,-0.0763995726682664,-0.0763995726682664,0.142034230607971,-0.114284065056852,-0.06174642763661,-0.0586723983818323,0.0118799884337754,0.0172313571641737,-0.115548707196226
"miR101",0.0733080117879789,0.0625849241154677,0.0355567535694318,0.256468537275276,0.00641370449758317,-0.199315968090746,0.0815193914288025,0.223927436266808,0.252751171059451,0.0864477719583994,0,0,-0.0634708065361321,-0.0791513800011455,-0.0792416868466681,-0.0792416868466681,-0.223756119308612,0.0994116695023422,-0.0388404377361347,-0.00380967572921424,0.0711438840745169,0.0131696414110847,-0.0354033188965495
"FOXC2",0.17077162356801,0.256841636183309,0.0467067944628038,-0.102467300026287,-0.108304280875382,0.0607438567611525,0.255739552690501,-0.113191081097647,-0.128055434028642,0.17250756241989,0,0,0.26446464367231,-0.267613039375297,-0.267527593633344,-0.267527593633344,0.113162915257178,-0.0606325992084764,-0.0358689938145474,0.233377239361069,-0.0478357905262053,0.23025298961974,-0.0469163015241687
"CLDN7",0.102233386156571,-0.0163279372524923,-0.00172065567312368,0.00402785536469437,0.0734761357676467,0.0222227408374274,-0.0503201987190471,0.093478919689812,0.042347447744509,-0.0445501234683971,0,0,-0.0326436767230264,0.0512129438862041,0.0509020782167458,0.0509020782167458,-0.0964314850334712,-0.0259330671673336,-0.0187114336700488,-0.0139480678845317,-0.0435039547438416,-0.035411134704634,0.00246381318626488
"CDH1",0.00287106511884992,-0.0164192265546599,-0.00246381318626488,0.0040771427512307,0.0753571015172256,0.0239664566667439,-0.0505961458670522,0.0964314850334712,0.0428313476190535,-0.0447481709531941,0,0,-0.0327920210938873,0.0512498436632011,0.0512129438862041,0.0512129438862041,-0.0950237825102308,-0.0222227408374274,-0.0184308787948512,-0.0133815584994088,-0.0421180484575048,-0.0356807565970825,0.00232673439665013
"OVOL2",0.0515190756252481,-0.134202141790134,-0.0166577406930259,0.140192144722672,0.117752425521868,0.0535897380408839,-0.0767435972598266,0.0683300653645978,0.0556248670591561,-0.136495801833492,0.00906664885944927,0.00906556846748307,-0.181977665346272,0.152896564181721,0.1528097445912,0.1528097445912,-0.0682239578903154,-0.0535283230841485,0.00273318404959637,-0.0346479629926397,-0.077380559200786,-0.130370945682502,0.0168161952785638
"SNAI2",-0.00241137288064763,0.016558164657269,0.00232673439665013,-0.00398942618704845,-0.0744059788621896,-0.0230320457895631,0.0506289472475625,-0.0950237825102308,-0.0426289365080839,0.0447713583070129,0,0,0.0328324004288974,-0.0513058896929312,-0.0512498436632011,-0.0512498436632011,0.0957514756549534,0.0239664566667439,0.0185207935898788,0.0137419450195979,-0.0572461757535429,0.0355847121368897,-0.00252882423829615
