"","GRHL2","miR141","CLDN7","ZEB1","TWIST2","miR205","miR101","KLF8","OVOL2","miR200b","miR200c","SNAI1","FOXC2","TCF3","TWIST1","ZEB2","TGFbeta","GSC","miR34a","SNAI2","NP63","miR200a","CDH1"
"miR200a",-0.167914804621343,-0.147746004727936,-0.147746004727936,-0.147938621028676,-0.0666479149354488,-0.114645099965213,-0.0879600977811998,-0.088350933846183,-0.0948987639484132,0.128291610295192,0.185617815570833,-0.120683208311875,0.0039911667019522,0.0397580468710164,0.0397269895925213,-0.236747702791707,0.128097325611487,0.127931431601852,0.0594983463488785,0.0721455135649361,0.114613111338947,-0.0457460181934415,0.0126629877116168
"miR205",-0.191960730670922,-0.167120598372753,-0.167120598372753,-0.16725165264537,-0.0653671153343082,-0.132591332940691,0.0203855005532613,0.0201389269253747,-0.107997696147007,0.199520127123532,0.184044188244444,-0.111926680324118,0.0906368781251322,0.0882044476773736,0.0881138418538902,-0.208052788415766,0.0285788528657815,0.0286153550082985,0.163218340696307,-0.0559783658159896,0.132224669577298,-0.0226216945809138,-0.0122670790116514
"TWIST1",-0.107570227961452,-0.0956853548824691,-0.0956853548824691,-0.0958078919551781,0.137647123954062,-0.0988535549104313,0.0525687668118591,0.0525090147827798,-0.0934621114173484,0.14201157291707,0.138431238718535,-0.0396306047470023,-0.048355292714469,0.109176431107967,0.00916254301333164,-0.200659384154426,-0.00485089014960012,-0.00487877855836272,0.0126855943816751,-0.15711668301274,0.0987946343353665,-0.0421407880939201,0.0396873099711888
"miR141",-0.222745291443072,-0.204026010886236,-0.204026010886236,-0.204021770202906,0.0126859145710584,-0.159877522137958,0.11042673432534,0.110462756082482,-0.132222835104348,0.204972845265706,0.191020377431801,0.0398706636541042,0.0242446832771762,0.0237965066607163,0.0236974191531369,-0.173847654756498,-0.0661371754334129,-0.0659190134481388,0.18840300831636,-0.147154437135329,0.159383475576735,0.0134086836102093,-0.029975763548099
"miR200b",0.252189730350095,0.234197620152157,0.234197620152157,0.234176416735505,0.123995816188748,0.18347732934259,0.131320045486915,0.13158120322619,0.151439832696462,0.010362900275694,-0.0434862968657385,0.142280012049201,-1.79738806962362e-05,-0.0572157249351852,-0.0570071974938612,-0.14347488846261,-0.204455698596577,-0.204625001387232,-0.11805046798277,-0.126769255561125,-0.182919305528835,-0.195622958423534,-0.182737779242511
"TGFbeta",0.149446622766249,0.140550490986374,0.140550490986374,0.14036745359494,-0.0733200970513283,0.137214592739177,-0.099041497550628,-0.0991737589434582,0.127233789614841,-0.117633266263101,-0.0106974211762575,-0.0531718298163389,-0.0269345137738007,-0.00365859818574969,-0.00384011521431593,-0.128154095820442,0.041681490164762,0.141549867205895,-0.15871579867113,0.133924704791091,-0.136879351529038,-0.135480795780761,0.0591134620881165
"GSC",0.207176984090007,0.193501709189092,0.193501709189092,0.193425932416844,0.0508980068338536,0.17943913764342,-0.0507384491417608,-0.0506137317047042,0.158434303860306,-0.0388185651471677,-0.0487142718753769,0.0212083093370607,-0.0706698774419974,-0.120504863863072,-0.120394654305188,-0.112989203736594,-0.0842640309453157,-0.08448162022721,-0.127751965835836,0.0116986887990769,-0.178837593552537,-0.160514960757465,-0.0849179689435616
"miR34a",-0.136909684327519,-0.124802794771999,-0.124802794771999,-0.124875375282823,0.065857985652748,-0.122996753148401,0.0886529486807243,0.0887096097132996,-0.113059056806801,0.180393508064142,0.15939055077705,-0.0629738588566215,0.0649859655361429,0.0145697999962926,0.0144603623796707,-0.110329327625923,0.01963239121115,0.0197928942009707,0.0340206010345843,-0.218512612589603,0.122627763423346,0.0707907458607908,0.00544692491520959
"CDH1",-0.110734857939678,-0.103929686729444,-0.103929686729444,-0.103725935786895,-0.290312629113084,-0.0903288095836475,-0.223331588021982,-0.223561279717495,-0.0756906376827514,-0.17280380495473,0.0808296518552713,0.0566070361848385,-0.0911547934287718,0.107088893561811,0.106626742167389,-0.0577957954662459,0.236037168299203,0.236366566584695,0.0883928256080805,0.277371763385578,0.0898665599688555,0.0250068126596901,0.243491446921098
"SNAI2",-0.110502395982149,-0.103725935786895,-0.103725935786895,-0.103575279945511,-0.290472525818311,-0.0898665599688555,-0.223604211240046,-0.223331588021982,-0.0755081632896551,-0.172958993778553,0.0807410671589769,0.0567161253128824,-0.0909982112485877,0.106626742167389,0.106615407383203,-0.0577544061161538,0.235752346582086,0.236037168299203,0.0881874678471724,0.177388274105106,0.089429783972545,0.024858549852208,0.243467014863775
