"","miR200c","CDH1","TWIST2","SNAI2","GSC","miR141","GRHL2","SNAI1","NP63","FOXC2","OVOL2","miR205","miR34a","CLDN7","ZEB1","TCF3","TWIST1","TGFbeta","ZEB2","KLF8","miR101","miR200a","miR200b"
"miR200b",0.123158851619591,0.0719843257278539,0.0386279097066679,0.149046334480525,0.134595387741532,0.000312716590617325,0.00552163809170689,0.0787781314479914,-0.00745770918766545,-0.0511497696983168,0.0212260109851642,0.00783801841105269,0.0994010916636895,-0.000312716590617325,-0.000425429489660046,-0.0998869891823308,-0.0998322692154585,-0.134651064498191,-0.253758089118324,-0.126598488857028,-0.126789404169877,-0.123850156477752,-0.125717441848489
"miR205",0.113197434356455,0.0996847823115119,-0.00760210709587669,0.0907163991608184,0.0414669348270689,0.0126459616505488,0.0136386874414483,0.094569433104119,-0.00262505729577299,-0.102140391527151,0.0202128600310018,0.00385387505417156,0.000236068498626264,-0.0126459616505488,-0.0129981311888154,-0.0249816445021896,-0.0250887241117609,-0.0415145463173086,-0.249771516629241,-0.0917826534273802,-0.0922870654681838,-0.128713248353051,-0.134626223417548
"miR200c",0.0822552028825875,-0.0109952987781352,0.0521213162523696,0.0613397444880783,0.0915104419958766,0.00246238530100256,-0.00427242265677411,0.0241908510952421,0.00904888703939558,-0.0147589176978134,-0.0243103331267289,-0.0106589812281285,-0.0151551578641276,-0.00246238530100256,-0.00198720557414721,-0.0822758549917925,-0.0821087372551287,-0.0914854442683973,-0.160708935551847,-0.0504304428244695,-0.0497838522837829,-0.0841645265742343,-0.115031638507068
"miR200a",0.0631293840939515,0.0458801661636893,-0.0114957697702625,-0.116554201193816,-0.0971723355187977,0.0136179762976273,0.00543392957692282,-0.0722754064394271,0.0155567565705158,0.0452121512840705,-0.0278719040347582,-0.0161645404695739,-0.108337313566667,-0.0136179762976273,-0.013423574446011,0.0832413413525525,0.0831452116810202,0.0972405111391958,-0.132169837268544,0.102544564938705,0.102847147698692,-0.0781307928247366,-0.0502439873907038
"ZEB1",0.0361247542300174,0.0814920618284394,-0.0120673558502901,0.0890141290681952,0.0345455393354634,0.00500906650523938,0.00945479824152889,0.0842478371213604,-0.00988698476059081,-0.0955272110741183,0.028417285248559,0.00888399591129779,0.00737270108942906,-0.00500906650523938,-0.104723584116349,-0.0181907996322132,-0.0180832320419075,-0.0345329616683691,-0.118340228671625,-0.0878656810818316,-0.0874468559964134,-0.0428066523153448,-0.0434600609071545
"FOXC2",0.0365267677590336,0.0816468695155168,-0.0115616306594504,0.0888587247233437,0.0344684667895727,0.00444920559900439,0.00916886703876703,0.0838554932562776,-0.00888399591129779,-0.0960265117828686,0.0291418706751242,0.0107815291181289,0.00797809459520782,-0.00444920559900439,-0.00500906650523938,-0.0180837694384323,-0.0181907996322132,-0.0345455393354634,-0.118227403732013,-0.0870697616665329,-0.0878656810818316,-0.0425574335962499,-0.0433692654465856
"GSC",0.0970103009689107,0.0547631332337161,-0.0193689034971131,-0.0409065174089276,0.0309336864471646,-0.0944079479726429,-0.088698475328261,-0.0194888944055405,-0.0774141902196249,-0.0667713999523183,0.0704428499853943,0.0772513518510738,0.0252915744015134,0.0944079479726429,0.0944530761777711,-0.0814936386839039,-0.0814680828443946,-0.0309434657407328,-0.103179972950554,0.0671076137911867,0.0671923826741861,-0.0037154988117682,0.00540035172293168
"SNAI1",0.00736715837885754,-0.110410895572527,-0.0158933485454592,0.0504097252949886,-0.00679445800156146,0.0782793528181767,0.073862754997763,-0.0826501040052592,0.0698518714648941,-0.0326247573545246,-0.0674357027660866,-0.0706261914844971,0.0226024231389953,-0.0782793528181767,-0.0780518124851663,-0.00638661831895167,-0.00634318870813208,0.006818071674073,-0.086019308067012,-0.0841093013857708,-0.0837851598616505,-0.0808144963266233,-0.0702527606168838
"TWIST1",-0.000790373420750691,0.0784521637737555,0.0998372127415521,0.0504768565536084,-0.0125825659567679,0.0706719050308964,0.0655639502088552,-0.026533551628403,0.0569740485002938,-0.0551545378930343,-0.0547827187425591,-0.0578264328195648,-0.0593484129518074,-0.0706719050308964,-0.0704163418107751,0.116083599679968,0.0161268978573598,0.0126104543655305,-0.0560580945186836,0.0193755103964022,0.0197340225708781,-0.0639874070247147,-0.0593745251260048
"miR34a",-0.0947998643511047,-0.045100768584558,0.000870001661117821,0.0909749872638268,-0.0395196457904396,0.124727995422861,0.117407548133771,0.0014549645624378,0.0916218505272322,-0.0567186661283896,-0.0770422828535275,-0.0912490762921763,-0.0535371040376002,-0.124727995422861,-0.124826276573584,0.0349067011827357,0.0348523760349162,0.0395226627639324,-0.0519267928744056,-0.0544830078502446,-0.0546664359387511,-0.135069779754733,-0.119918449724261
"TCF3",0.00583161461329811,-0.00503033494222547,0.0308641477019568,0.0225959586753775,-0.00333707581605205,0.0216139137369893,0.0202276690603523,-0.00435200247946845,0.0184093574599983,-0.0228408347632247,-0.0169369279259412,-0.0171376811594203,-0.0138080281434632,-0.0216139137369893,-0.0219613518381486,0.0529906111655822,0.0525549867706161,0.00340957898806583,-0.0315161533934267,-0.011312264098807,-0.0118337959122477,-0.0273284972234614,-0.0261756137847518
"OVOL2",0.0182507128582027,-0.0634507906863291,0.0699302127566632,0.0702882170009707,-0.000388027352123467,-0.0135374066089882,0.0284046464842004,-0.053229061286042,-0.00803993893223826,0.0537685304367268,-0.043730813085633,0.00959030140374292,0.0218354112259056,0.0135374066089882,0.0130829284708133,0.0266028752134839,0.0263960555602215,0.000368048295686077,-0.0242722646300615,-0.0669840634022583,-0.0676223402740436,-0.000171848716443208,0.00348953509987841
"SNAI2",-0.00572763875944034,-0.0949217089323794,-0.0306866303589918,-0.122638896379154,0.00337070589847358,-0.0217784572912939,-0.0203076685304329,0.00419030194613301,-0.0180605206249621,0.0225311397196293,0.0171669487768556,0.0177159830378103,0.0140172818798696,0.0217784572912939,0.0218842077510599,-0.0527090372354235,-0.052668232012355,-0.00335131561516,0.0314890948014025,0.0114941110104328,0.0116432560279486,0.0274152894336562,0.0262002865468693
"KLF8",-0.00583161461329811,0.00503033494222547,-0.0308641477019568,-0.0225959586753775,0.00333707581605205,-0.0216139137369893,-0.0202276690603523,0.00435200247946845,-0.0184093574599983,0.0228408347632247,0.0169369279259412,0.0171376811594203,0.0138080281434632,0.0216139137369893,0.0219613518381486,-0.0529906111655822,-0.0525549867706161,-0.00340957898806583,0.0315161533934267,0.011312264098807,0.0118337959122477,0.0273284972234614,0.0261756137847518
"CLDN7",-0.00583161461329811,0.00503033494222547,-0.0308641477019568,-0.0225959586753775,0.00333707581605205,-0.0216139137369893,-0.0202276690603523,0.00435200247946845,-0.0184093574599983,0.0228408347632247,0.0169369279259412,0.0171376811594203,0.0138080281434632,0.0216139137369893,0.0219613518381486,-0.0529906111655822,-0.0525549867706161,-0.00340957898806583,0.0315161533934267,0.011312264098807,0.0118337959122477,0.0273284972234614,0.0261756137847518
