"","miR200b","CDH1","miR200c","miR200a","miR101","KLF8","miR34a","ZEB1","CLDN7","GRHL2","SNAI1","NP63","OVOL2","TWIST1","FOXC2","TCF3","miR205","miR141","SNAI2","TWIST2","ZEB2","TGFbeta","GSC"
"miR200c",0.0752434671669094,0.0682431101399052,0.250178651392516,0.250178651392516,0.103728665281906,0.103970011054753,-0.095414452245755,-0.200340846046722,-0.200840130710403,-0.187545950816716,0.101632654001247,-0.0961936108433511,-0.0697090952627172,-0.015730030401358,0.0212902184381483,0.0162698354799625,0.0970857380869978,0.200840130710403,-0.10501813353675,-0.00152594942377771,-0.316787771004059,-0.210754540487034,-0.210489791827821
"miR200a",0.243463201576795,0.179042339841236,-0.0398426825132972,-0.0398426825132972,0.124573883066887,0.124726975534738,0.243979647890463,0.269836860631803,0.269669242043326,0.244402552541107,0.0352973517013616,0.135522151231696,0.0979962598230888,0.0101919993005632,0.0440117303264615,-0.0104508099546886,-0.134900150165408,-0.269669242043326,-0.167226876383728,-0.188232699972902,-0.199526024871912,-0.169456272322662,-0.169965316954968
"miR101",0.249913032231124,0.156185048527282,-0.0607849465440044,-0.0607849465440044,0.141521622053649,0.241461808671402,0.204898067665228,0.293321853209324,0.293216385360539,0.264028471954158,0.00359093135171047,0.179640298451405,0.134604754457301,0.052172403389347,-0.0834696360606992,-0.0521407588556674,-0.179215146236415,-0.293216385360539,-0.160289282161249,-0.176381316787994,-0.184477400164897,-0.0567970345635462,-0.0573470517515833
"NP63",-0.0639581868858924,-0.0517812531284786,0.104814472945921,0.104814472945921,-0.0129166518559717,-0.0132154620977612,-0.0730424366880155,-0.0789054813197986,-0.0790035341733402,-0.143060079453961,-0.0527930761233276,-0.0445081010648663,0.0420808533023168,-0.110736136979823,0.0668169205389767,0.109602960720427,-0.0550780984192266,0.0790035341733402,-0.00312782507084706,0.0170179934452004,-0.160231656786177,0.0469101197730045,0.0468176904215505
"FOXC2",-0.200496032424363,-0.111068857571378,0.291908768790646,0.291908768790646,-0.0265164167110613,-0.02643254563289,-0.238358915121289,-0.263605793069802,-0.263921644742796,-0.229071328883773,0.0992142071043405,-0.126051770024493,-0.0927037254944116,-0.0269791761801176,-0.0823623729034249,0.027739653872772,0.126309292388277,0.263921644742796,0.06597457021791,0.188513816497301,-0.142641812334598,-0.038974561687718,-0.0382353165644562
"SNAI1",0.161685531333033,0.152914309503827,-0.0640781254700082,-0.0640781254700082,0.122950739366687,0.12328049643213,0.182948629171453,0.219687636209928,0.21964308555769,0.202159631323467,-0.0827953303260237,0.164989872743644,0.137614418257187,0.0571569953610599,-0.104352559952336,-0.0570583845976695,-0.164742384382948,-0.21964308555769,-0.128408262578617,-0.146354231221476,-0.117922568823682,-0.0340688425841876,-0.0344179736595854
"TWIST2",-0.0195220335202991,0.102353235796878,0.166328400117613,0.166328400117613,0.0146095693741907,0.0144983356356073,-0.132342317418645,-0.224082711541768,-0.224228533866682,-0.209354430614048,0.0212661800705054,-0.155357071886608,-0.121831731859896,-0.123840019576007,0.0379242644422084,0.124164884571803,0.155468329439284,0.224228533866682,-0.0618025214118358,-0.0329828053511251,-0.111621070220736,-0.0553429744669715,-0.0550752730154893
"GRHL2",-0.139296477484542,-0.0929574668118507,0.164778654227163,0.164778654227163,-0.0737559977573406,-0.0742991554667469,-0.129755424699394,-0.146173070188537,-0.146250586690818,-0.0935833519029503,0.0695028668650262,-0.0439805753470648,-0.0953511044699801,-0.0441685430229272,-0.00633902656552426,0.0442986083446221,0.0440621484938791,0.146250586690818,0.0786457969465195,0.091603621340091,-0.105123248808043,-0.102944642661974,-0.102843199733322
"TWIST1",0.0882172515391268,-0.0442926509266841,-0.0438963915848455,-0.0438963915848455,-0.0226406301456809,-0.0228407994430967,0.0655275725189725,0.155826738163419,0.155885847184394,0.143829363306576,-0.00107696968909004,0.11059913464154,0.0912491977614669,-0.0131039753133099,-0.0174075493895744,-0.0869082788878387,-0.110658055216605,-0.155885847184394,-0.041481630193451,-0.088326511587793,-0.0741432877961444,-0.0205035517483387,-0.0207401331934597
"SNAI2",-0.0661287344257008,-0.0458182938779908,0.0971764196619647,0.0971764196619647,-0.0525624282885706,-0.0530376112513537,-0.116181753492227,-0.163869042361609,-0.163845904092455,-0.150971463618325,-0.035763404402547,-0.115916937879345,-0.0948983740936806,-0.11990969035627,0.0617821482067618,0.120383484335232,0.115333665586135,0.163845904092455,-0.0401415297865574,0.0904692067850332,-0.031013077010903,-0.0127279374203627,-0.0119777489037193
