"","miR200a","miR200b","KLF8","SNAI2","GSC","SNAI1","miR34a","GRHL2","miR141","ZEB1","NP63","miR205","FOXC2","TCF3","TWIST1","CLDN7","OVOL2","TGFbeta","TWIST2","miR101","ZEB2","CDH1","miR200c"
"miR200c",0.116480877795076,0.0557397964090861,0.119076607305589,0.128853615599883,0.11761111673116,0.0974788126484536,0.0195921469053416,0.0130403256558791,0.0159443581123513,0.015939224653583,0,0,0.012574838443665,-0.0447099009260861,-0.0444895421405736,-0.0159443581123513,0.0498572369554983,-0.117695199996318,-0.0906608004792377,-0.119263920442723,-0.258455832389036,-0.0829835610622205,-0.133657147789308
"miR200b",0.116480877795076,0.0557397964090861,0.119076607305589,0.128853615599883,0.11761111673116,0.0974788126484536,0.0195921469053416,0.0130403256558791,0.0159443581123513,0.015939224653583,0,0,0.012574838443665,-0.0447099009260861,-0.0444895421405736,-0.0159443581123513,0.0498572369554983,-0.117695199996318,-0.0906608004792377,-0.119263920442723,-0.258455832389036,-0.0829835610622205,-0.133657147789308
"miR200a",0.128111336677567,0.0749864380465824,0.126070306983123,0.119311104268677,0.113477079751511,0.14000738998054,0.100944950759708,-0.00515107493462336,-0.00659902239869192,-0.00661442277499677,0,0,-0.0250453178559382,0.017141768703947,0.0169835244754246,0.00659902239869192,-0.0582475564186299,-0.113394132746693,-0.0135829277862146,-0.125956838448128,-0.257519048795208,-0.0786305828659875,-0.1212702804234
"miR141",0.0949761889640195,0.11141515056276,-0.0920817232958954,-0.0772539482805251,-0.0683476640415354,-0.122142293960443,-0.0838407539998146,0.0175754095027544,0.0209379634734932,0.0209680946445244,0,0,0.023547809991295,-0.0208253510529256,-0.0205902030871773,-0.0209379634734932,0.0472280597825564,0.0682181303627789,-0.0121607767687549,0.0918998134223318,-0.21561500269426,-0.0646269792193142,-0.11799708771203
"NP63",0.0611327174820641,0.11732599922189,0.00687474071356467,0.011704261914591,0.00784198693703925,-0.00508548472830215,0.00180366181524334,-0.119721656350562,0.00354755549671164,0.00347935956743184,0.0215802590359401,-0.12148890048048,-0.019965188803022,0.0596687021093776,0.0595946529676745,-0.00354755549671164,0.0770542120203811,-0.00783342866375647,-0.00764428084815709,-0.00697891309143627,-0.174224178904732,-0.0836897063757439,-0.0653263031647575
"GSC",0.0380527025274571,0.0989203594954867,0.128027910118054,0.0259930915130525,0.00603770801383716,0.131626967514878,0.0872178539312793,0.0769736427550183,0.0750445605537239,0.0750242890605112,0,0,0.0373283033684721,0.0314268607443067,0.0311665106293054,-0.0750445605537239,-0.0826348405557351,-0.00596558572377109,0.0282578970052597,-0.127965551399525,-0.154902155991089,-0.0290811576667684,-0.107918280866335
"miR101",0.0153427984349189,0.125034968401571,-0.207295538975892,-0.104770416829074,0.00843464385337418,-0.0124038301111836,0.0255812271988371,0.0934340769127854,0.0927181459375772,0.0927468200089657,0,0,0.0952757701616657,0.00541619470644879,0.00535836159317227,-0.0927181459375772,-0.0950690717492532,-0.00844051293922214,0.043580274818593,0.107268955250449,-0.126699958406179,0.0142806745946081,-0.106780147909005
"TWIST1",0.0697276512741185,0.00590433241851999,-0.0111153198069298,0.0629035986311168,0.00911213492812004,-0.0254332775805747,-0.0371361690036818,-0.0447513360551878,-0.0429651589882878,-0.0429245600991426,0,0,0.0286861122172793,-0.0196546767968659,-0.119372830170447,0.0429651589882878,0.0605489690788434,-0.00922525532770766,-0.101835603210392,0.0109629521327776,-0.108776098083017,-0.109689920026408,-0.0375849136344612
"SNAI1",0.106042373833798,-0.0407602411456459,0.125286592880277,0.11911856100999,0.01028530546821,-0.0705066118898598,0.0138222536151279,-0.10807473106674,-0.106531788460377,-0.106511790853913,0,0,-0.110744021419243,0.00417259694761396,0.00437543877697136,0.106531788460377,0.106744800186226,-0.0103405341402824,-0.0381975406861265,-0.125318726255622,-0.103773405417954,-0.121962497372275,0.00287363962373405
"CLDN7",0.0316252187127636,0.0059157735539398,0.0101882467248289,0.0165381744843751,0.00515126893554682,0.00266113388010702,-0.00797649324386951,-0.0165961958218304,-0.0161165526119597,-0.0158861462922435,0,0,-0.0131655698252954,0.0534541105862079,0.0532604997440008,0.0161165526119597,0.0217344726006745,-0.0054775332096088,-0.0258327401827458,-0.010560769448715,-0.0483280091412127,0.0826447273165692,-0.0161389548438775
