"","ZEB2","SNAI2","TWIST1","miR200b","CDH1","GSC","TGFbeta","miR141","CLDN7","NP63","miR205","GRHL2","ZEB1","miR200c","miR200a","FOXC2","OVOL2","TCF3","miR34a","SNAI1","miR101","KLF8","TWIST2"
"NP63",-0.138234683402329,-0.000311995091957023,0.00434470007559495,0.118704911783631,-0.0821970619616721,-0.1029075263438,-0.10311121324793,0.0206863330333434,0.0206863330333434,0.257988251503474,-0.357896892948014,0.137986744034661,-0.020559780388461,-0.0359215065651988,-0.0359215065651988,0.023725414408782,0.168138232936643,-0.00420333353234352,0.0354047931718307,0.0759975359711736,-0.0218989598020284,-0.0219647528827894,0.00876482704751159
"miR101",-0.0934982171254961,0.117722859388134,-0.0229255323101053,0.0357068752694771,-0.0300837391454555,0.012030059923287,0.0124912023827694,0.00015444579199141,0.00015444579199141,0,0,-0.000238793862268319,3.60555098773487e-05,-0.0474254969797818,-0.0474254969797818,0.122460083195981,0.0486994767399932,0.0224006695273505,0.00641507369466976,0.0344930839107922,-0.123377369601919,-0.023722958032682,-0.00361611820270967
"ZEB2",-0.0909131302193566,-0.044002761375488,-0.0176601878288599,-0.00461903715331909,-0.00228799543138271,-0.000987385117431671,-0.000925188786399397,-0.000587771710612932,-0.000587771710612932,0,0,0.000523487126036759,0.000544809951488468,0.00352893650394837,0.00352893650394837,0.00566390371468885,0.016272643016891,0.0174474806016853,0.0209159327659577,0.0300022441599304,0.0536140072754427,0.0538814906447388,0.0744056701097416
"GRHL2",-0.0854460793460634,0.0315530283577394,-0.055779030603311,0.103010785926389,0.0455888013709571,-0.175571648368708,-0.175367099512574,0.0953430097075237,0.0953430097075237,0.306281053357567,-0.306185595419806,0.0586720930974178,-0.0951860114958622,0.073183815895787,0.073183815895787,0.0334823483055397,0.254498928500575,0.0552790016999062,0.11234109511003,0.104782824639998,-0.0453875285061467,-0.0453743236995971,0.0104316571934423
"TWIST2",-0.0820488974461725,-0.0439807157250985,0.0624887663390543,0.0621026330250873,0.0522852801091568,-0.017143141152477,-0.0168863551526352,0.0636052045109152,0.0636052045109152,0,0,-0.0639081851655738,-0.0634746639351807,-0.00838107221167723,-0.00838107221167723,-0.0147586637058057,0.0773749752510359,-0.0628763245796538,0.0499721693668501,0.051495268999954,-0.0210048284574452,-0.0211690720245722,0.083893024699233
"GSC",-0.0734160682835201,0.10745284262929,0.0633687760898175,0.0626976203340101,-0.0444160224381251,-0.0173723511383566,-0.017107699006165,0.0898637769397788,0.0898637769397788,0,0,-0.090691339402199,-0.0898010318417396,0.00545873983551108,0.00545873983551108,0.0835900325631432,0.0927721034396874,-0.0637664888421814,0.0680790859148873,0.0463166598526264,-0.120510984389597,-0.120564573913332,-0.0153429879186504
"miR34a",-0.0509450308769347,0.0587449763986151,-0.00197456233464027,-0.0637745775929157,0.020530064973819,0.0558550691704575,0.055741027572427,-0.0713227281468092,-0.0713227281468092,0,0,0.0709540357141002,0.0711637649296602,-0.102621126739312,-0.102621126739312,0.0872564521958577,-0.0836821346896675,0.00221469523442219,0.0093835914252531,0.0762287658428693,-0.065835461876731,-0.0656846859086917,0.027428562916783
"CDH1",-0.0478941945486832,0.000611619179312843,0.0267556574267512,0.015865769063096,-0.0301801782648394,0.00540048225193061,0.00518565728313138,-6.37447551178406e-05,-6.37447551178406e-05,0,0,5.20190314446007e-05,0.000331669222878666,-0.0235869087227604,-0.0235869087227604,0.022098476679426,0.0126820609368661,-0.0268140903616781,0.0177528263825892,0.0524770905247919,-0.0223222237642646,-0.0223707501788095,0.0208550388957417
"CLDN7",-0.0474266030900205,9.93681029570538e-05,0.0268140903616781,0.0164322784482189,0.0691385569894268,0.00485670846182729,0.00540048225193061,0.000130089132897374,0.000130089132897374,0,0,-0.000120042131429145,6.37447551178406e-05,-0.0241027994303587,-0.0241027994303587,0.0225345839737685,0.012805549368563,-0.0279757554149211,0.0180230250580858,0.0522799409786466,-0.0223707501788095,-0.0222664438161214,0.0205321865655901
"SNAI1",-0.0410887127009707,0.0682618073493631,-0.00670716539243115,-0.0371621844295585,-0.0514542560955458,0.0458047364565604,0.04569603550128,-0.0945442302574615,-0.0945442302574615,0,0,0.0949825743537439,0.0944754354027916,-0.0730258878848946,-0.0730258878848946,0.105876493306146,-0.0964056746054081,0.00695292589601026,0.0134879040014786,-0.0880767525737874,-0.0899136867119086,-0.0899433242911111,-0.001636172945612
