"","SNAI2","ZEB2","NP63","miR205","ZEB1","TCF3","miR200c","miR200a","miR200b","GSC","TGFbeta","miR34a","CDH1","TWIST1","FOXC2","SNAI1","miR141","CLDN7","GRHL2","OVOL2","TWIST2","KLF8","miR101"
"TWIST2",0.0552100574509836,-0.128411324838128,-0.19649127018726,-0.194788173803987,-0.164236209692816,0.161238819327125,-0.148808076665636,-0.148808076665636,-0.11274070742218,0.111988490709532,0.112748479029998,0.135801435212709,-0.0829049198835853,-0.160718750364556,-0.0617893241128783,-0.0725698322194951,0.163854058345385,0.163854058345385,0.178147858241265,0.209542199350696,-0.111539619610325,-0.0613051835908905,-0.0609819105381327
"miR101",-0.0993434865159965,-0.10122956941096,-0.197072144653086,-0.194851905308135,-0.148987573074295,0.0036165949005252,-0.128949513224307,-0.128949513224307,-0.102346992323698,0.10351732443557,0.104380918496055,0.105318521787879,0.0371736093822559,-0.00297388350958426,-0.00816589496563137,-0.00462290440507577,0.148467484744971,0.148467484744971,0.164221373865175,0.215099889905319,-0.0345117012074683,0.0979205750669735,-0.00169794847291536
"GSC",0.00918734473250987,-0.0886109270745723,-0.310977971144696,-0.307121575428303,-0.277000867671061,0.0839669967765997,-0.196665190557617,-0.196665190557617,-0.174767752582876,0.153724221547891,0.155125105351547,0.149608160189494,0.00910919172994155,-0.0839286630173357,-0.16931450659534,0.0321156099073212,0.276113507188407,0.276113507188407,0.300079966709335,0.322758558915816,-0.0537468260137926,0.0548381668759588,0.0546676547549829
"ZEB2",-0.106414918202291,-0.0812064797457157,-0.0717894790922625,-0.0702865351815095,-0.0544042835208352,-0.0321909190100758,-0.0147635054462358,-0.0147635054462358,0.00701882074414462,0.00802808355169283,0.00842035150087658,0.0264541371976832,0.0282910740080259,0.032803061182937,0.0335692107042173,0.0459389981917069,0.0540264655363064,0.0540264655363064,0.0593771872816919,0.0786551467462717,0.0900817970889942,0.122221198426873,0.122578174373257
"TGFbeta",0.0117838975588471,-0.0733221933610401,-0.0227389348343816,-0.0219158222696501,-0.0220956739742155,0.0258225365349347,-0.050830167612828,-0.050830167612828,-0.104069930847955,0.224325934597052,0.124885875171241,0.0698847230477243,0.0048853544277739,-0.0254731162549447,-0.0734815938582513,-0.0172801023379972,0.0219201845164487,0.0219201845164487,0.0231067006343368,0.0232315477375264,-0.0659346518814293,-0.0139772250210765,-0.0136967754708344
"CDH1",-0.0487940769107844,-0.0394434246036833,-0.159843374235022,-0.156479224260702,-0.124787778793463,0.10194091719836,-0.084256394680236,-0.084256394680236,-0.0402688623190556,0.0584661331391561,0.0593315708706044,0.0961481166890893,0.0357879422670451,-0.102764290372331,0.000359103757337583,-0.0469826083028197,0.124003257447744,0.124003257447744,0.135043245265922,0.178135360346481,0.0109944972911092,0.0107354121893089,0.00987164201040817
"KLF8",-0.0490674869944835,-0.0393098270440654,-0.156479224260702,-0.149311594202899,-0.124003257447744,0.101698903645601,-0.0829380073163738,-0.0829380073163738,-0.0391314061384826,0.0556747610166257,0.0584661331391561,0.0944262623844535,0.135601281411816,-0.10194091719836,0.000472611135317152,-0.0471879724133877,0.122061261324422,0.122061261324422,0.132514270815382,0.17567724156459,0.0117524984140738,0.0108993221878188,0.0107354121893089
"GRHL2",0.0294561968700408,-0.0258521597441448,-0.581166743901178,-0.57509735465842,-0.333885736128425,0.0017459406076017,-0.293966227444072,-0.293966227444072,-0.22167752706245,0.306199322904869,0.308492598291932,0.300643292926303,-0.030145594080734,-0.00169969515988796,-0.0705840110341787,0.00753427281139207,0.332498081559428,0.332498081559428,0.372415567827904,0.493546384386696,-0.100115618697506,-0.0188186514114082,-0.0190748246584702
"OVOL2",0.131387354508216,-0.0137651595930199,-0.504218670904666,-0.50100882637307,-0.263507053436741,0.00536614267786628,-0.242586205346298,-0.242586205346298,-0.174624639859807,0.367611781909156,0.368855305939138,0.228844442974127,-0.149839345315729,-0.00514133870692894,-0.0699845356977691,-0.0380365431670499,0.262797143639442,0.262797143639442,0.296504029112441,0.413504882875686,-0.165310718004905,-0.123070041464079,-0.123078815029326
"FOXC2",0.000503131634048861,-0.0110362131149352,0.389453715094304,0.382568380315231,0.349403990809901,0.0788562740994024,0.291000584545572,0.291000584545572,0.270191057707252,-0.206279242751028,-0.208911650128281,-0.307728492776748,-0.0608150337320905,-0.079481555757807,0.125392037115561,-0.0878840014802303,-0.347845137398236,-0.347845137398236,-0.383893859413705,-0.400746742496173,0.151715991842778,-0.0240523803436338,-0.0241704845149362
"ZEB1",0.000261218471169052,-0.0108782077185209,0.393370832004293,0.389453715094304,0.25030915448738,0.079481555757807,0.291886695546799,0.291886695546799,0.270942214879153,-0.208911650128281,-0.210444524719793,-0.308832265784758,-0.060640208747457,-0.0793223076492539,0.12592376872285,-0.0879789005378496,-0.349403990809901,-0.349403990809901,-0.386046464333837,-0.403182236231834,0.152494458763897,-0.0241704845149362,-0.0238942069147305
"miR200a",-0.0509755079028328,-0.000709139526331193,-0.294253526594363,-0.291356778771367,-0.263393997491595,-0.0702899879626609,-0.136496091476525,-0.136496091476525,-0.105489276973138,0.019670503660059,0.0206851841436514,0.155932717711239,-0.0104932634469947,0.0706493650423894,0.0304343919369788,0.061977575499036,0.262689820864902,0.262689820864902,0.288867754232749,0.301555646453207,-0.0515781951607657,0.0545230118087096,0.0546743031887032
"miR205",-0.025425926525511,0.0174722367904726,-0.361432247918631,-0.356011576032792,-0.325048004776997,-0.0966640749021649,-0.164986827605672,-0.164986827605672,-0.145626974945705,0.134155620243051,0.136425101277807,0.287451142909396,0.0540496073565613,0.0969688399447908,-0.109095488665201,0.104515648207952,0.32386789521314,0.32386789521314,0.35499307989889,0.37190579783291,-0.121958067398267,0.0449906577236858,0.0449568633685947
"miR200c",-0.088695839752178,0.018052816576383,0.305972081459451,0.302200977851845,0.276349738908676,-0.0248317155197291,0.152010873020155,0.152010873020155,0.173115518066892,-0.245422677044877,-0.246669154637823,-0.242639439491691,0.00840054683983432,0.0243155731295018,0.110690768291106,0.0153239538451861,-0.27547638133649,-0.27547638133649,-0.301483769923677,-0.313549447150332,0.12657311718751,0.0645008775872146,0.0643549894707922
"miR200b",-0.0856760474221346,0.0239079889265,-0.320483411835946,-0.317032194491002,-0.287380260218676,-0.0852039788374983,-0.139031641205657,-0.139031641205657,-0.0649782184849319,-0.000629609155873999,0.000879344575604958,0.168845950206742,0.0693355543319446,0.0853444760497379,0.0435198655494677,0.0743024394128407,0.286616714025359,0.286616714025359,0.312717392611535,0.3298321490214,-0.0301057548556993,0.0825745683194579,0.0825529552651731
"miR141",-0.0856760474221346,0.0239079889265,-0.320483411835946,-0.317032194491002,-0.287380260218676,-0.0852039788374983,-0.139031641205657,-0.139031641205657,-0.0649782184849319,-0.000629609155873999,0.000879344575604958,0.168845950206742,0.0693355543319446,0.0853444760497379,0.0435198655494677,0.0743024394128407,0.286616714025359,0.286616714025359,0.312717392611535,0.3298321490214,-0.0301057548556993,0.0825745683194579,0.0825529552651731
"TCF3",0.0490674869944835,0.0393098270440654,0.156479224260702,0.149311594202899,0.124003257447744,-0.101698903645601,0.0829380073163738,0.0829380073163738,0.0391314061384826,-0.0556747610166257,-0.0584661331391561,-0.0944262623844535,-0.135601281411816,0.10194091719836,-0.000472611135317152,0.0471879724133877,-0.122061261324422,-0.122061261324422,-0.132514270815382,-0.17567724156459,-0.0117524984140738,-0.0108993221878188,-0.0107354121893089
"CLDN7",0.0490674869944835,0.0393098270440654,0.156479224260702,0.149311594202899,0.124003257447744,-0.101698903645601,0.0829380073163738,0.0829380073163738,0.0391314061384826,-0.0556747610166257,-0.0584661331391561,-0.0944262623844535,-0.135601281411816,0.10194091719836,-0.000472611135317152,0.0471879724133877,-0.122061261324422,-0.122061261324422,-0.132514270815382,-0.17567724156459,-0.0117524984140738,-0.0108993221878188,-0.0107354121893089
"SNAI2",-0.0511097990371684,0.0395019405813996,0.16233109838792,0.159843374235022,0.125314817146429,-0.102764290372331,0.0847683209777687,0.0847683209777687,0.0407073272079875,-0.0593315708706044,-0.0604238901639363,-0.0966545889196438,-0.0356362171379555,0.102755222544982,0.000357609799114748,0.0466428735897686,-0.124787778793463,-0.124787778793463,-0.136114281646932,-0.179552813366886,-0.0103106198335419,-0.00987164201040817,-0.00975995667171024
