"","TWIST2","GRHL2","NP63","miR205","KLF8","ZEB2","miR200a","SNAI1","miR200c","FOXC2","miR200b","TWIST1","TCF3","GSC","TGFbeta","CDH1","SNAI2","miR34a","miR101","miR141","CLDN7","ZEB1","OVOL2"
"miR101",0.0593513419469857,0.222736100080314,0.181228632660994,0.181414964804601,-0.00153209760424969,-0.102313266583275,0.153436009901527,-0.00564319171493413,0.0514602529593556,0.0688677244843476,0.0617538186890146,0.0251591093864368,0.0251361943792895,0.00621533144919243,0.00620359327749652,-0.0657430001902492,-0.100734754022323,-0.104308643202571,-0.0984944861211936,-0.2041717914404,-0.2041717914404,-0.20420936436153,-0.15785424407156
"TWIST2",0.131082136284593,0.0629594436958274,0.0697558083293213,0.0697404034374123,0.0403914959557271,-0.0950213412252093,0.0731315924018514,-0.0132536240874414,-0.0176576938465001,-0.0689644464082095,0.0256416624506383,0.189745691062941,0.189777037685342,-0.0163327969333016,-0.016223369530606,-0.119556280043099,-0.117561922405804,-0.0368502378319407,-0.0404862184362395,-0.0569410565165279,-0.0569410565165279,-0.0568929512919992,-0.0733324562406435
"TWIST1",0.0682031430245964,-0.125019503408495,-0.113900225446568,-0.113782384296438,0.0567027899998539,-0.092922004995889,-0.0113854491301405,-0.0294426030698972,-0.105550657446165,-0.0489699567445506,-0.0420519287746021,0.00797133770597756,0.107968886865748,-0.0323074851621445,-0.0322313404056354,0.0207284931858857,-0.0911801273700195,0.0798315641258362,-0.0568242857923152,0.113597233920622,0.113597233920622,0.113575145163306,0.106878947251231
"ZEB2",-0.116426685254237,-0.111818152484599,-0.107091761846692,-0.106967807709722,-0.0915277943842251,-0.0728905177893298,-0.0585384885360381,-0.0321456635092016,-0.0270236173755796,-0.0244104712658615,-0.0168493072422945,-0.0149709339907596,-0.0148524024824868,-0.00538688898803593,-0.00497984171266629,0.0292886936178201,0.0652816564653364,0.0892814558244222,0.0911171228915884,0.100002567195653,0.100002567195653,0.100110830828647,0.102620022075655
"GSC",0.00544144063664471,0.106843025225469,0.10266711050629,0.102705425416537,-0.123442729874131,-0.045418485118067,0.0739472500816875,-0.0481557312684273,0.0232599070410565,-0.0878553118195439,-0.000344775072897234,-0.031624464606424,-0.031600506006884,0.010256736825832,0.010397314170876,0.0128883229954574,0.0860972303040195,-0.0872869099863715,0.123287807432787,-0.0977804004718425,-0.0977804004718425,-0.0977514411958244,-0.0997200457654285
"miR200a",0.0262915870298294,0.228719658697043,0.168689690942293,0.1686932452341,0.028880586613838,-0.0248150874563715,0.116693253472485,0.121367743776781,0.0943242107542953,0.110750294107793,0.0340081320512018,-0.00931063882778603,-0.00927662371324382,-0.075308029727712,-0.0751648609248759,-0.0185233410640457,0.0674787300567426,-0.104844380033432,-0.0290246736424032,-0.209696664032337,-0.209696664032337,-0.209653587617455,-0.143807572214917
"CDH1",-0.0706441719503892,0.0743898620087259,0.0634218750262194,0.0629339448772723,-0.024173870999985,-0.0233268880433822,0.0461585964931891,0.0293234756277075,0.0231451618687749,0.0572260439146347,-0.00280692176522674,-0.118795266828592,-0.118683713043732,0.0109473988703808,0.0108635148349449,0.0956491712904392,0.0622286158686693,-0.0341071973039695,0.0244294434499219,-0.0691086017985518,-0.0691086017985518,-0.0689497723236517,-0.0564385089509804
"SNAI2",-0.070473765602565,0.0743028670430247,0.0634842715971209,0.0634218750262194,-0.0244294434499219,-0.0232835957346653,0.0461240950851587,0.0294165353328552,0.0229950341203181,0.0570389091139269,-0.00280208219691624,-0.118799800742266,-0.118795266828592,0.0108635148349449,0.0109759784781637,0.0955586289603601,-0.0376467621250294,-0.0340725864453895,0.0242913975965002,-0.0689497723236517,-0.0689497723236517,-0.068946858615684,-0.0563588654313417
"KLF8",-0.0702511343310742,0.0742502652162057,0.0629339448772723,0.0626449275362319,-0.0246357991776038,-0.0231888372317771,0.0461649655142706,0.0296068781002914,0.0229986743839013,0.0561925293677681,-0.00258061383853276,-0.118683713043732,-0.118828921175387,0.0106755119753292,0.0109473988703808,0.195706969829368,0.0625816396165873,-0.0343985880324463,0.024173870999985,-0.0689879127739385,-0.0689879127739385,-0.0691086017985518,-0.0564315190397523
"CLDN7",-0.0702511343310742,0.0742502652162057,0.0629339448772723,0.0626449275362319,-0.0246357991776038,-0.0231888372317771,0.0461649655142706,0.0296068781002914,0.0229986743839013,0.0561925293677681,-0.00258061383853276,-0.118683713043732,-0.118828921175387,0.0106755119753292,0.0109473988703808,0.195706969829368,0.0625816396165873,-0.0343985880324463,0.024173870999985,-0.0689879127739385,-0.0689879127739385,-0.0691086017985518,-0.0564315190397523
"SNAI1",0.0188882301552367,0.123077968613912,0.117215847220523,0.117403301275902,0.0808584933384134,-0.020031445619682,0.0770196315111055,-0.107252867897368,0.0400675605449084,0.0604647693808877,0.0520110651779612,0.0137710084104075,0.0137572131222648,-0.000612658066237876,-0.000571090196444837,-0.0974508917424905,-0.0782455958356048,-0.0140102735012621,-0.0809436623818059,-0.113609899750047,-0.113609899750047,-0.113640398030176,-0.112966807065242
"FOXC2",0.100153935998903,0.198607128597147,0.140692185690174,0.140773508541895,0.00187745728025559,-0.0158731910665593,0.181271357775422,0.0696444446276993,0.170815985655237,0.0736775679248936,0.179011091892665,0.0079284194797256,0.00787208779878824,0.0299931234305468,0.0298813139625645,0.0436901376317202,0.0179562284083308,-0.167937142885425,-0.00177646965551875,-0.164303993691787,-0.164303993691787,-0.164349479733524,-0.117259507494121
"OVOL2",-0.105661233110087,-0.064010037714096,-0.0795699015321195,-0.0796314838741932,-0.0731206041945192,-0.0103139402853449,-0.0819476085146943,0.0944822883130376,-0.088988535800079,0.0997223573365667,-0.0807987065153452,-0.0376419878239593,-0.0375916317344693,-0.0168097569110108,-0.0167491308087181,0.0850457415671091,0.0861939710429809,0.114321994590395,0.0730866066291836,0.0766121882507351,0.0766121882507351,0.0766688451666152,-0.0153431601340551
"TGFbeta",0.0730712872654645,-0.0223766190421621,-0.0188610748944549,-0.0187765832073467,-0.0374231157739913,-0.00755462074392058,-0.00814599573402029,-0.0880380363106637,-0.0146344172750484,-0.0956315701691654,0.0612129407116847,0.0214096815270955,0.0213597643442397,0.00652972390203435,-0.0934863488685203,0.00291024352009575,-0.0154665212589469,-0.0843875671166627,0.0374002643291568,0.0202447624775386,0.0202447624775386,0.020202734210527,0.0160802526033331
