"","SNAI2","TWIST2","CDH1","ZEB2","miR200c","miR141","CLDN7","miR200b","TGFbeta","GSC","NP63","miR205","miR34a","GRHL2","ZEB1","TWIST1","TCF3","miR200a","FOXC2","OVOL2","SNAI1","KLF8","miR101"
"TWIST1",-0.153879367525775,-0.15120330267324,0.101983926677378,-0.113831601896177,0.0562124218146753,0.0163575907982644,0.0163575907982644,0.0922989839396644,0.0306439057879946,-0.0306580066688296,0,0,-0.0793208674375201,-0.0150004226754246,-0.016395228066317,0.195796412598016,0.295870754751651,-0.0562124218146753,0.047727886931047,-0.0529265470730683,-0.169902646072453,0.153589469708146,0.153584490372389
"TWIST2",0.216786135188096,0.1713876248154,0.209331113336988,-0.0962268988268139,0.0299119144405705,0.0277299244969527,0.0277299244969527,-0.0256205366706786,-0.0086008121132366,0.00848210657664664,0,0,-0.0509138406016208,-0.0253999871661411,-0.0277713574084595,-0.0343419451179164,-0.0342664282548584,-0.0299119144405705,-0.107076521977651,-0.0624119253224327,-0.145178330177859,-0.0622603913322165,-0.0624150757499339
"TGFbeta",0.157311179217237,0.0976462700027696,0.11518979098126,-0.0905284224997854,0.0849811668372654,-0.0810805792042156,-0.0810805792042156,-0.112738396371303,-0.103749916122367,0.00381290400697353,0,0,-0.135403835813806,0.0809466331662157,0.0809980665657153,-0.0393982996549235,-0.0392916584006409,-0.0849811668372654,-0.00538324096091096,0.0851414169772952,-0.0885903307125136,-0.0375974649221063,-0.0376563247042558
"miR34a",-0.164823046080171,-0.0850544008969746,-0.0162245793287741,-0.085971889430202,0.119747369386057,-0.076085973584664,-0.076085973584664,0.0515501494123048,0.0158530227762131,-0.0157631169661255,0,0,-0.108328793663127,0.0751447034043236,0.0760914468690868,0.0920071921465167,0.0919859344799786,-0.119747369386057,-0.0834200987569182,0.0879654324003523,-0.139689109431597,0.158494544852758,0.158525276260256
"ZEB2",-0.156551275549345,-0.143259024112774,-0.0830887472663072,-0.0646096752827271,-0.016671186846308,-0.00685347352691363,-0.00685347352691363,-0.00159752406352975,-0.000309036182381129,-0.000148507124123622,0,0,0.000238171291165872,0.00592750002912501,0.00712474634881382,0.0116303298106152,0.0116871599858145,0.016671186846308,0.0205703925305356,0.0227385865383292,0.057658190768286,0.115128104824989,0.115139042806633
"SNAI2",0.290522978454111,0.348657467165978,0.30605614321603,-0.0602229061434875,0.0207397375898542,0.0147881978686484,0.0147881978686484,-0.236334007289287,-0.211596081623118,0.211591341776086,0,0,-0.0533560125528759,-0.0134729022489698,-0.0148171635537382,-0.0561573926885273,-0.0563047448829416,-0.0207397375898542,-0.148375789440491,-0.024524960515405,-0.173446976833058,-0.251389386042911,-0.251632873955227
"CDH1",0.390267627737025,0.348182281182838,0.305752898269257,-0.0601073014070235,0.0206735321852552,0.0147753631636059,0.0147753631636059,-0.23618785232631,-0.211591341776086,0.211319230148941,0,0,-0.0532060321656958,-0.0134614930731401,-0.0147881978686484,-0.0563047448829416,-0.0562994327979482,-0.0206735321852552,-0.148038437588875,-0.0245168953488593,-0.173270207919452,-0.25097852906643,-0.251389386042911
"CLDN7",0.389610815007219,0.347712039745444,0.405119009375104,-0.0599313979535266,0.0206799012063367,0.0143620946853848,0.0143620946853848,-0.236171581821776,-0.211319230148941,0.211427984906961,0,0,-0.0532219262054309,-0.0130946456881452,-0.0147753631636059,-0.0562994327979482,-0.0568318626140179,-0.0206799012063367,-0.147339471103422,-0.0242536086925998,-0.172703402974284,-0.250039771802237,-0.25097852906643
"NP63",-0.220403729082412,-0.189757445175101,-0.0952851681060259,-0.0577093997343058,-0.0183385086294487,0.0469792082560803,0.0469792082560803,0.17496429734531,0.113241076022665,-0.113152069980524,-0.00418403674447556,-0.0958159632555245,0.0841126654798219,-0.101076471553651,-0.0469415478175228,0.0540609668535885,0.0539196003103371,0.0183385086294487,0.100414006968243,-0.110525510488405,0.0897134595660499,0.188556360275678,0.188600222329518
"miR200b",0.174037470832677,0.126095624171581,0.169092798856491,-0.0472779890192648,0.0183926490499601,0.00487100536096885,0.00487100536096885,0.000307089034460865,0.097415109690374,-0.0976491793204076,0,0,-0.00813487744394279,-0.00405596119435802,-0.00483328559871495,-0.0220605666716326,-0.0221212023105992,-0.0183926490499601,-0.0310655158850115,-0.07129993884073,-0.153058556241493,-0.0303234880531242,-0.0305612316502569
