"","TWIST2","ZEB2","TCF3","SNAI1","miR200a","miR205","NP63","FOXC2","miR200b","ZEB1","miR141","miR34a","CLDN7","GSC","GRHL2","TGFbeta","CDH1","miR200c","OVOL2","TWIST1","SNAI2","KLF8","miR101"
"NP63",0.0176513656555864,-0.145337888557243,0.131282547585892,0.078469735416158,0.063041307632772,0.125412979656335,0.0256279409633002,-0.00787204402896746,-0.0330718730560979,-0.0187392952825645,-0.01900698975123,0.0346226278548129,0.01900698975123,-0.0243051439890936,-0.0685597153563274,-0.0244780211094058,0.0280119198229236,-0.0400842473324788,-0.124528408162496,-0.131280303672508,-0.0113931573962983,-0.0314401811509424,-0.0317143189874466
"TWIST2",-0.0521193733714143,-0.128719247114276,0.188402306711669,0.0943918388751621,0.0997603645406872,-0.0245021693788501,-0.0247144145562631,0.0398189062342612,0.085256116754519,-0.0697732063564804,-0.0697425352401701,0.0815165356953956,0.0697425352401701,-0.0215712588606421,0.071592280151754,-0.0213635923931825,-0.12382784534778,-0.0296237295491161,0.122075728914416,-0.188670177848554,0.069146049945617,-0.0190418686089215,-0.0189315038839208
"SNAI1",0.0651469788533899,-0.110030142279294,0.0493106918378192,-0.0580887815172765,0.0954976372211076,-0.0145293093263011,-0.0145623894537208,-0.0337881674125571,0.0492553278877809,-0.0859489185660012,-0.0861988500413845,0.112064203696291,0.0861988500413845,-0.0114131829740281,0.0866375020804784,-0.0114367966465396,-0.0873872482591005,-0.0128833753199872,0.114857623571606,-0.0487593912487093,-0.0470016109909599,-0.0905506145613557,-0.090501634562042
"ZEB2",-0.0877948082312392,-0.076184957694168,-0.0348563570602368,-0.0342988364206571,-0.0125106156540991,-0.00957071701641831,-0.00953972848217598,-0.0068584778727384,-0.00348020924999548,-0.0033697540139959,-0.00330175168669604,0.00242191050146483,0.00330175168669604,0.00379560127185917,0.00380706032701642,0.00382577572948869,0.0128021538045768,0.0138698705712125,0.0335837564830503,0.0349716411299269,0.0867254058243944,0.104656429390024,0.104683277163151
"GSC",0.0672472401256062,-0.0724949139973589,-0.0462818717637329,0.0387704223792123,0.0875999721873489,-0.0232942304706884,-0.0233766075277201,-0.140336383145725,0.0766875596715652,-0.0994121833498105,-0.0992758334252253,0.0743857862460135,0.0992758334252253,-0.0114063620035248,0.101703981559131,-0.0112480596888882,-0.0624503365071431,0.0114405968134866,0.139359340012058,0.045630197856245,-0.0648031271070219,-0.0893427759316962,-0.0894061090052015
"KLF8",-0.00129071695598513,-0.0669031693802545,0.0974385714710164,0.0480912146029254,0.0590598098593872,-0.0213405797101449,-0.0229012733517634,-0.00941098317388093,0.0428093110435356,-0.0516267468410232,-0.0511257045267198,0.0489448051633073,0.0511257045267198,-0.00948234939276987,0.052408813257027,-0.0078872796084668,-0.104136847438988,-0.00705446234679901,0.107356207240203,-0.100923566630745,0.0127528042718888,-0.0124033654614515,-0.0119712391017435
"miR200a",0.0427022217843253,-0.0394765587989862,0.101204735648151,0.0888518719584055,0.0101113808574614,0.0535334564218421,0.0534908049201538,0.0507433495625458,-0.0305184328131111,0.0127495999921178,0.0129176649683142,-0.0115517845613274,-0.0129176649683142,-0.111838128360913,-0.0159638269229031,-0.111790405426634,-0.0319552658887361,-0.0243255725461157,-0.154021146175404,-0.101182551877797,-0.128269112319145,-0.115861575854556,-0.115740902968133
"miR141",0.0427022217843253,-0.0394765587989862,0.101204735648151,0.0888518719584055,0.0101113808574614,0.0535334564218421,0.0534908049201538,0.0507433495625458,-0.0305184328131111,0.0127495999921178,0.0129176649683142,-0.0115517845613274,-0.0129176649683142,-0.111838128360913,-0.0159638269229031,-0.111790405426634,-0.0319552658887361,-0.0243255725461157,-0.154021146175404,-0.101182551877797,-0.128269112319145,-0.115861575854556,-0.115740902968133
"ZEB1",-0.0430201104055856,-0.0249975527108888,0.00421945273113699,0.0788710700925977,-0.00421946656516617,0.0547899584780506,0.0546146509714407,-0.0934077507572569,-0.015413288682026,-0.0805145306927117,0.0193924898472962,-0.0157093594032139,-0.0193924898472962,-0.0217057799162409,-0.0245138995944962,-0.0215893793244045,0.00414549478502573,-0.0218319080443015,-0.160478877912101,-0.00411188514083129,-0.0501967283620795,-0.0558841090734688,-0.0557364181222949
"miR200c",0.0215085400049264,-0.0128720402997912,0.0868923908404661,0.0779482970422395,0.00160246413817406,0.0505599708243706,0.0505315364899118,0.0480663250734004,-0.0653844070503958,0.0064778495441238,0.00658743772913365,-0.00853148918384686,-0.00658743772913365,-0.103507201209738,-0.0105497282645738,-0.103517427552797,0.0389812617816915,-0.00902445096893128,-0.142143022739502,-0.0868465443817353,-0.0985918530512791,-0.0920284732076495,-0.0919114024969402
