"","ZEB2","OVOL2","miR205","miR101","GRHL2","TCF3","SNAI1","CLDN7","miR200c","TGFbeta","miR200a","miR200b","GSC","CDH1","miR34a","miR141","ZEB1","TWIST1","SNAI2","KLF8","TWIST2","NP63","FOXC2"
"TWIST2",-0.160787074937083,0.1303945590285,0.113141305901825,-0.104335591349366,0.0834590041701768,0.0610243553294619,-0.161340933980909,0.0746767345841041,0.116208195638906,0.0154901166714713,-0.0403414418650742,-0.0748044539243025,-0.0154281714834117,0.185125781323271,-0.10276663661065,-0.0746767345841041,-0.0746938458384666,-0.0611525915120132,0.288399693814123,0.104000152106451,0.266096519810857,-0.113255986763814,0.060707633515799
"SNAI2",-0.0908634372360888,0.0406151734830121,0.0347037134994675,-0.287799472073064,0.0254616484030202,0.0844584854587027,-0.172929093072794,0.0225416945566662,0.0550015243707112,0.208348578211672,-0.0323686121791562,-0.260092995569343,-0.208268862602494,0.270371358739674,-0.0779117065479178,-0.0225416945566662,-0.0225771732360366,-0.0847259863654855,0.347403642230154,0.287193873932174,0.426919033987907,-0.0349939931988788,0.0988315389759439
"CDH1",-0.0906517330890662,0.0404841145266446,0.0343185054871408,-0.287193873932174,0.0253860626131487,0.0842938108239086,-0.172518116480204,0.0225047947796692,0.0548262199190971,0.208268862602494,-0.0322362013699583,-0.259806170487474,-0.208017210496187,0.270093161784442,-0.0777121172634397,-0.0225047947796692,-0.0225416945566662,-0.0844584854587027,0.446841146894998,0.286265401867213,0.425853806641817,-0.0347037134994675,0.0984890950209072
"ZEB2",-0.0874980363049866,-0.0656680298384599,-0.0598130400950158,-0.0483195767922727,-0.0472240382541011,-0.0431816480536917,-0.0428074471929211,-0.0416778495782248,-0.0263671557339144,-0.0119912882415986,-0.0110981411725189,0.011115505871269,0.0119155441948959,0.01756966926208,0.0195478349926413,0.0416778495782248,0.041698716718371,0.0432189935973941,0.044770049984797,0.048048115975106,0.0571195159813429,0.059510901886153,0.0690795924514639
"TGFbeta",-0.0393404615311617,-0.131328358708357,-0.121211683808061,0.0939342668544002,-0.108496145101659,-0.0566799379273278,0.0453889382423355,-0.0995506726444949,-0.0258900382743515,-0.16412000462111,-0.0734824334543513,0.179255288731661,0.0641751733200409,-0.0811876912398012,0.0139136480428801,0.0995506726444949,0.0996283820524796,0.0570883512416019,-0.20391538718435,-0.0934072986871553,-0.172620564713705,0.121435177948154,0.0451784077728751
"NP63",-0.0229747906544384,-0.286511055731109,-0.474530292228111,0.287684743650071,-0.256223463660387,-0.0593350192648787,0.199049477964717,-0.119722016583546,-0.0763409582669083,-0.197370247267992,-0.0809424655101756,0.252971854311594,0.197293222808446,-0.198146031380967,0.163904870141586,0.119722016583546,0.119845854962586,0.0599296563118887,-0.407385131787647,-0.286821209465083,-0.394830995193817,0.374766749665772,-0.134838092627173
"OVOL2",-0.0167355819736706,0.0503489550680539,0.155390730487783,-0.124060141759816,-0.0383085760010127,-0.0266951525224688,-0.0927753681682858,-0.200180543749345,-0.194293461003402,0.155944297868125,-0.206436788636596,0.00747635771523221,-0.15600767970234,-0.107533414312638,0.136205334328202,0.200180543749345,0.200182310032094,0.0266771682047938,0.151082484508905,0.123921958107161,0.11836880939156,-0.155424222638735,0.108877307141664
"GRHL2",-0.0122311366733587,0.299856171428525,0.387979700053749,-0.133392323619874,0.165229481260241,-0.0163796539006143,-0.147351926010987,0.0912303667127834,0.100689950369641,0.214729837980806,0.0884527528893499,-0.173170358562084,-0.214569635760148,0.00697677637274696,-0.120902953988223,-0.0912303667127834,-0.0912401927482838,0.0163073953885616,0.189237586468656,0.133069246019628,0.173423639201305,-0.388148053143983,0.152123967023078
"miR205",-0.00886955528407356,0.214860839873939,0.210190589453441,-0.014005094843974,0.206078660749552,-0.0337409644978472,-0.150245346867124,0.171215333909215,0.0863055845116873,0.0933055579254505,0.0798971067917571,-0.100169657949119,-0.0929326012519066,0.0527169788580564,-0.20201462324142,-0.171215333909215,-0.171177446181113,0.0339386499309019,0.0645072422716945,0.0142867144697328,0.170721133179158,-0.210250048377235,0.166081096821809
"miR101",-0.0075278225524166,-0.152551692839889,-0.136697817368539,-0.0118030841806434,-0.104901204867336,0.00275451361928061,0.0503523713066725,-0.0894387854746107,-0.0406756086733785,-0.0601371164145963,-0.0469846711989403,0.080482242168325,0.0598872610456404,-0.00655837025032042,0.0724825345428151,0.0894387854746107,0.0893903361815748,-0.0030065786979009,-0.10736143211543,-0.0884933243580492,-0.099007032134796,0.136666324611873,-0.133181686975907
