"","miR101","ZEB2","TWIST2","CDH1","OVOL2","miR200a","GRHL2","miR141","CLDN7","miR200c","miR200b","GSC","SNAI1","TGFbeta","TCF3","TWIST1","ZEB1","FOXC2","NP63","miR205","miR34a","SNAI2","KLF8"
"SNAI1",-0.104443742794618,-0.118079006097115,0.0300844281919451,0.0934008831197412,0.0485438602748942,0.0742743893579233,0.0425986517616149,0.0449006955968802,0.0449006955968802,0.0422832736772347,-0.0432130086877709,0.015024885280712,-0.0368849931019416,-0.0157826694985823,-0.0560837131743792,-0.0554261377729107,-0.042697021133206,0.0529444572907072,-0.00572580952004339,-0.00305857109808799,0.057083089938284,0.0492591860239302,0.103538704718128
"miR34a",0.104038008992376,-0.106734609144565,0.297957408452901,0.00934014821156151,-0.0342167421697505,-0.00741312755859483,-0.0154378977179073,-0.0160760693338293,-0.0160760693338293,0.0917242420503601,0.0398547234529245,-0.0165313480360698,0.00727230077895991,0.0174141144800839,-0.108105548796675,-0.10869210292893,0.0136680621566876,0.0120258449426541,0.0174945435893052,0.0147772654088976,0.014166866073762,-0.209231555337568,-0.102663738863304
"TWIST2",0.137770871116373,-0.0804668671869301,0.117425765656056,-0.0559019749288561,0.0429125268722334,0.0615693958808045,0.0353537422880102,0.0373317747653561,0.0373317747653561,0.0183803018780297,0.0499034650975784,-0.0107239748256616,-0.085299042766965,0.00981881099837677,-0.055163508942992,-0.0541290704037446,-0.0345678229050184,-0.0806560359180845,-0.0230734141145685,-0.0199000063813127,-0.0504861750860415,-0.166173304305275,-0.138771974763623
"ZEB2",-0.092459268184701,-0.0791316445562932,-0.0706552274874243,-0.0660669452695561,-0.0278331389255856,-0.0141966297309019,-0.0129513931809899,-0.0124206489050678,-0.0124206489050678,-0.0081233910558188,-0.00782835416787042,-0.00607983433851564,-0.00209111398082216,0.00504836053179228,0.00948506029859031,0.0107954017667573,0.0154522761246564,0.0200334894659678,0.0250861814011757,0.0283244832294992,0.0391824090743722,0.089982045025202,0.0913465771429079
"GRHL2",-0.0574831423742774,-0.0355982925612617,-0.0682980681677282,0.00225578921510948,-0.0697451419365859,0.020011297762829,0.0839279707327523,0.013592890454279,0.013592890454279,-0.00131371896756194,0.0303682060213887,0.10498879608569,0.0245759421929707,-0.105314189523497,0.00130448455555759,0.000842030078420185,-0.0129166408555088,-0.0158230187692487,-0.24847845395201,-0.247289568727163,-0.00787178192795144,0.0624576683994967,0.0566424363572872
"CLDN7",0.407698683186747,-0.0258021523934301,0.36232363788501,0.235398649265767,0.014664420443593,0.0219742491384561,0.0178386261968424,0.0185775986617698,0.0185775986617698,0.00137380708616091,0.276935186542585,-0.220414750798663,-0.177331445445463,0.222372336443035,-0.0583853284606471,-0.0596437989349937,-0.023269841649006,-0.122441913769392,-0.00653262963893776,-0.0102898550724638,-0.0736167483958834,-0.428054322194084,-0.403600933223999
"CDH1",0.408116010351834,-0.0238315883890659,0.362569286397082,0.135026275072341,0.0203239185679668,0.0257638166819246,0.0215817680986052,0.023269841649006,0.023269841649006,-0.000284261402045786,0.277551986578084,-0.222372336443035,-0.176456594334443,0.221797423907487,-0.0596437989349937,-0.05756677370259,-0.0205216104317947,-0.125817264746153,-0.00951157160093057,-0.00653262963893776,-0.0783213841574728,-0.430295027822561,-0.407698683186747
"miR200a",-0.127175088878215,-0.0232914991917095,-0.104016345662191,0.106660490517496,0.026537153318718,0.0133323823267124,0.00655142364018306,0.00505456596847055,0.00505456596847055,0.009113081747733,-0.0446254109852647,0.129070806009681,0.10737979496343,-0.129904821099218,-0.0629964531459409,-0.0622229790196117,-0.0025907289535545,-0.0372832920270405,-0.0483917758053854,-0.0456407539464908,-0.00268254644192801,0.133434315244447,0.126146667711831
"miR200c",0.152441945239621,-0.00484854357193743,0.022430013350775,0.118690943378003,0.0324971852848809,0.0171757541491199,0.0253576210463901,0.0252032828742671,0.0252032828742671,-0.010693506066087,0.0528088385969745,-0.0970996439844046,-0.162320724848265,0.0967019528654154,0.131104943370192,0.131627001432513,-0.0239701368005819,0.00805283630557468,-0.0496334389180884,-0.0481761792770719,-0.138415457310159,-0.147954579422632,-0.152802162811034
"FOXC2",-0.00516211124861776,-0.00274300795638526,0.0979117974736971,-0.132025810863307,-0.0284098801036328,0.00106919504360866,-0.00627089733632611,0.000180836842062527,0.000180836842062527,0.000208929767767314,-0.000900933444960479,-0.019118848553559,0.0844224061110681,0.0196996064697778,-0.0943975193496589,-0.0946735445862519,-0.0018697718310311,0.0786130743685235,0.0447353228402714,0.0425667134610359,0.0118531440557802,-0.018918166466493,0.00604019008743125
