"","ZEB2","SNAI1","TCF3","TWIST2","miR34a","KLF8","miR101","SNAI2","OVOL2","miR200b","miR200c","miR200a","GSC","miR141","GRHL2","ZEB1","NP63","miR205","CLDN7","TGFbeta","CDH1","TWIST1","FOXC2"
"NP63",-0.156168338543419,0.0114689784227329,-0.124663374775343,-0.196061446852322,0.0794036112180433,-0.176555137812085,-0.176423551650563,-0.162314552089492,-0.0794412292506779,0.190684859488877,0.00786917727121303,0.00786917727121303,0.0200141557604242,0.0687290486051469,0.0928704961967236,0.0688189586611625,-0.193682862375492,-0.0936828623754921,-0.0687290486051469,-0.0200141557604242,-0.0772659404316586,0.12458932563364,0.0279346190621454
"TCF3",-0.106416635890993,-0.00232117126795827,-0.129765724812075,-0.244138662967489,-0.0283766304582787,-0.237822274449707,-0.238015986266128,-0.262626774072391,-0.0414738756853145,0.240849707541738,0.0766372816601429,0.0766372816601429,0.246915578699857,-0.0464270601556273,-0.0462376098448286,-0.0470743921967348,0,0,0.0464270601556273,-0.247441226696956,-0.187394210753762,0.130298154628144,0.0243133205317256
"CLDN7",-0.106416635890993,-0.00232117126795827,-0.129765724812075,-0.244138662967489,-0.0283766304582787,-0.237822274449707,-0.238015986266128,-0.262626774072391,-0.0414738756853145,0.240849707541738,0.0766372816601429,0.0766372816601429,0.246915578699857,-0.0464270601556273,-0.0462376098448286,-0.0470743921967348,0,0,0.0464270601556273,-0.247441226696956,-0.187394210753762,0.130298154628144,0.0243133205317256
"ZEB2",-0.0892405872405447,-0.0571207341718281,-0.0468216134077637,-0.0446882894651621,-0.0385773398993381,-0.0362314900200791,-0.0356776304041017,-0.034181071725811,-0.0180242996833961,-0.0116950133014591,-0.0049122708849283,-0.0049122708849283,-0.00432362152564603,-0.0040090663475136,-0.00379491909939154,-0.00363664926984611,0,0,0.0040090663475136,0.00433285860451221,0.0086798555362609,0.0476188595798455,0.0821532845694326
"miR34a",-0.0761593549322462,0.108592801293368,0.0380172700480793,0.00275077753870468,0.0589111523970558,0.0293951698032582,0.0292501559741248,0.152799779602569,0.0577887270907158,-0.0280285756792104,-0.0237693445551536,-0.0237693445551536,-0.0133663469590365,0.0237242975234454,0.0214896955052369,0.0235191683420346,0,0,-0.0237242975234454,0.0132100677321058,0.0272202692484513,-0.037881063518039,-0.114573245128633
"SNAI1",-0.0702941406232136,-0.0657213051136463,0.00632405752377108,-0.0699057626468624,0.039618163791553,-0.10384186688417,-0.103611317715426,-0.0772043709892979,-0.0651802279232013,0.0361314196819297,0.0612956107857731,0.0612956107857731,0.0409606762330977,-0.0554665774599024,-0.0542604344154132,-0.0551307875351443,0,0,0.0554665774599024,-0.0407860131182397,-0.06014797428108,-0.00637464024696096,-0.116140442287033
"OVOL2",-0.0472893364072582,0.0747690251252998,-0.0122150141658173,-0.234334689791443,-0.0853011158231587,-0.251773058242605,-0.251674355633566,-0.283561898212727,0.0838621588807643,0.105962172098547,0.129015804111282,0.129015804111282,0.290024848329069,-0.116715677247815,0.0183242643656285,-0.116525326314606,0.186889225233431,0.186890305625397,0.116715677247815,-0.290075829369634,-0.181900261374296,0.0124182369555447,-0.104276844004803
"ZEB1",-0.0347742360082733,0.0857052771846671,-0.010831029800097,-0.102408385831864,0.01423638470559,-0.0416666222612698,-0.0415909398335539,-0.027304308431567,0.075130119807214,0.0202595720300558,0.00897390755169344,0.00897390755169344,0.00193853874765712,0.00399856578047158,0.00258440125126576,-0.095889186288844,0,0,-0.00399856578047158,-0.00201331869565418,-0.0661347384213053,0.0108821093820857,-0.0864345757086271
"miR200b",-0.0210551244366499,0.0841581025605369,0.0493406035519362,-0.12759821300271,0.105227649053203,-0.118917587503789,-0.118589789513803,-0.134881807853352,0.071144952256138,0.083985838082824,0.00583551078963581,0.00583551078963581,0.123344527307093,0.00585974860853804,0.00509404288537744,0.00618628122497269,0,0,-0.00585974860853804,-0.123251353959215,-0.0273453782053718,-0.0488422081779918,-0.1302304169834
"miR205",-0.0210095495861339,0.105977135655655,0.00859613036555449,-0.0939666213511127,0.0197604447262111,-0.02806047257837,-0.0279215402296623,-0.00884656367093589,0.0767758477350518,0.0153347492460077,0.00710939816875825,0.00710939816875825,0.0112303050672985,0.00392897713384518,0.00288854035935767,0.00391966047939368,0,0,-0.00392897713384518,-0.0109827253180524,-0.00153347778712096,-0.0084190371651097,-0.113889943128131
