"","miR200a","miR200c","CDH1","miR101","KLF8","TGFbeta","GSC","OVOL2","miR34a","miR141","TCF3","TWIST1","miR205","FOXC2","NP63","GRHL2","SNAI1","CLDN7","ZEB1","SNAI2","TWIST2","ZEB2","miR200b"
"miR200a",0.117703519711134,0.109707389085711,0.112798237356676,-0.0323787760298405,-0.0323409531848422,0.0903482758385911,0.0903516846196111,0.141349501781945,0.100674465582427,0.00709017428028376,0.0118111383803442,0.0118510691669807,0.0534910427193385,0.0183355448037328,-0.0535265856374121,-0.00100149669884477,-0.0693849928631152,-0.00709017428028376,-0.00708637998467242,0.133714653362249,0.024841064390157,-0.232079998927077,-0.0330309601312788
"TWIST2",0.0619119525279821,0.112680493686306,0.101588797041611,0.0765244648283887,0.0765175127197272,0.0415390838623022,0.0415268039792067,-0.104008593988595,-0.00196980292596858,-0.0528374678840472,-0.111341393099398,-0.111268725929286,-0.0222635101804707,-0.0571737029898654,0.0222258537780264,0.0521319125513755,-0.0298000726773064,0.0528374678840472,0.0528276746504183,-0.0998486866996045,-0.10054122686274,-0.181915396296447,-0.108986970300441
"GSC",0.0901437244434512,0.0369558186461775,0.0252917916929059,-0.00282337727292092,-0.00285065921227707,0.00930218695212672,0.00929485248195051,0.100123965576969,0.00138274141580083,0.058658099375219,0.138427115238285,0.138403156638745,0.0176343759004337,0.170747051054108,-0.0176171341908224,-0.0559615284132134,0.0249877810769312,-0.058658099375219,-0.0586552034476172,-0.108360443715316,-0.0555326302588265,-0.131271330440505,-0.05276368742037
"miR101",0.105491892681575,0.0156204807466776,0.0281608468191486,-0.0103052619976625,0.0897027131199705,-0.0158742415453544,-0.015867534018671,0.147174284410691,0.0660282946075467,0.091332173078364,-0.0247718861381252,-0.0247424239860786,0.0374500888677208,-0.126504405193374,-0.0374737084352203,-0.088483691368339,-0.0363207972992507,-0.091332173078364,-0.0913180008361834,0.133659658822395,-0.00127522036025348,-0.125481424915559,0.0174597776847245
"NP63",-0.023570028748702,0.105430146525257,0.117778953715966,-0.198750020912473,-0.198651331291331,-0.0858279831112032,-0.0857133022492139,0.0466391088205129,-0.105255088377985,-0.0963208349117027,-0.129760936237245,-0.129857424512798,-0.109239159929713,-0.0243178252860742,0.00914780137425305,-0.0565557237878184,0.0418233976732726,0.0963208349117027,0.0963537453850367,0.181933819716059,0.216283364542147,-0.118507801961094,0.0411998210571294
"SNAI1",0.00883380677428549,0.0712248052365045,-0.0865063497919031,0.00743811809113183,0.0074259510849329,0.0337434570392465,0.0337315526258316,-0.0961074898183466,-0.0938511312770261,-0.0687293220303092,0.0287792066768969,0.028782783233082,-0.0116223822159499,0.116760291816729,0.0116162562664277,0.0675775827974139,-0.0777841133531718,0.0687293220303092,0.068727700602758,-0.133658994561103,-0.024845157376118,-0.0738765324457118,-0.0918080256044027
"CDH1",0.0407345863696511,0.0010871041616473,-0.173624571065856,0.159502231866712,0.159285480548411,0.188096440184734,0.187996188532628,0.0546247243212194,0.0363615418685681,0.0402150305620366,0.106620330386717,0.106785005021512,0.0111240261372204,0.0287801648932065,-0.0110469845347551,-0.0395514972578365,-0.0310011577995269,-0.0402150305620366,-0.0402519303390336,-0.115605977404706,-0.142355445949663,-0.0414515625208799,-0.172228367051767
"CLDN7",0.0408003995874929,0.00113168730921752,-0.0735118165390937,0.159285480548411,0.15873414691706,0.187996188532628,0.187923685360614,0.054678313640635,0.0363774359083032,0.0402333167778871,0.106910746650028,0.106620330386717,0.0114130434782609,0.0288339315459337,-0.0111240261372204,-0.0395352650726597,-0.0309929432351041,-0.0402333167778871,-0.0402150305620366,-0.115598644567212,-0.142116815966507,-0.0414203897569691,-0.172158847623305
"ZEB1",0.0101767569881287,0.00535010432570531,-0.00464402121471498,0.0229666546342297,0.0229541633597523,0.0361869471000074,0.0361716252146379,-0.11692521583283,0.00881957267201917,0.00366794963394553,0.0062314759878743,0.00622246194399394,-0.0472570354590033,0.0888458557183744,0.0472656571396563,-0.0108961884666966,0.0600413136918088,-0.00366794963394553,-0.103663677850349,-0.0489419696421804,0.0370643433889372,-0.0220844746328564,-0.013489084533403
"FOXC2",0.0101648894300766,0.0053753228865661,-0.0046458706389457,0.0229541633597523,0.0229524517050957,0.0361716252146379,0.0361401448789924,-0.116927085386086,0.00880611948300187,0.00363606689441051,0.00623710915596804,0.0062314759878743,-0.0472434816503831,0.0888384236374593,0.0472570354590033,-0.0108663488827889,0.0600630318840998,-0.00363606689441051,-0.00366794963394553,-0.0489181257989843,0.0370850176891917,-0.022080940965844,-0.0134954111474163
