"","miR200b","ZEB1","miR141","GRHL2","TGFbeta","GSC","miR205","TWIST2","miR200c","KLF8","FOXC2","SNAI1","TCF3","TWIST1","SNAI2","miR101","miR200a","OVOL2","miR34a","ZEB2","NP63","CLDN7","CDH1"
"miR200b",0.214297984198443,0.278657484662454,0.278207302647862,0.246306106092545,0.158230799807935,0.157828563647586,0.193819530348643,0.0703129575272939,0.00355758176504229,0.0108454397968011,0.0807755619997106,0.002022253744736,0.0328174076687409,0.032410705212258,0.0358439148653497,-0.0106167016389537,-0.00355758176504229,-0.179836957754583,-0.173884986307349,-0.314957256915079,-0.19493913226796,-0.278207302647862,-0.150154189332363
"miR141",0.259744288877545,0.284234513778035,0.283976724870324,0.249427123506469,-0.0388706463910893,-0.038918369325368,0.201321603402793,0.146512442650378,-0.0155511097395288,0.00860064808186748,-0.12453794965846,-0.080675799420084,-0.131043165896679,-0.131352259763606,-0.103271841471178,-0.00867269159615011,0.0155511097395288,-0.188671825451814,-0.262581203866498,-0.277472889569287,-0.202050233223301,-0.283976724870324,-0.103135335369301
"ZEB1",0.288207975321575,0.165160983837114,0.265028194989559,0.221766154229363,-0.00115682490512781,-0.00125172912047576,0.177271566668839,0.175271333205119,-0.171807363586263,-0.00286906863534568,-0.140447153286713,-0.126715710791311,-0.136237460698243,-0.136067395737033,-0.0405416198318219,0.00285143389490702,0.171807363586263,-0.167368025472514,-0.2699859687985,-0.201614961782996,-0.177840597591934,-0.265028194989559,-0.0991685675791884
"FOXC2",0.28798654383111,0.265028194989559,0.264554204928472,0.221378239638562,-0.00125172912047576,-0.00188459241983204,0.176973382879194,0.175128203434127,-0.171612537841574,-0.00279546748511375,-0.140620793722638,-0.126624588810612,-0.135707942897432,-0.136237460698243,-0.0405010014255731,0.00286906863534568,0.171612537841574,-0.167074505611181,-0.26970467484632,-0.201334287660291,-0.177271566668839,-0.264554204928472,-0.0990361705622009
"TWIST1",0.147972677727451,0.243390993780234,0.243091499847238,0.220288035391029,0.0259962470220401,0.0256694199395751,0.198511553023121,0.127797048932858,-0.0540825260576786,-0.044683094691793,-0.0368460684339989,-0.0458260008403311,-0.0283186953889991,-0.128904446203903,-0.0306523195329801,0.0448772887863007,0.0540825260576786,-0.186629988215663,-0.192791208240616,-0.174128166461075,-0.198845436281822,-0.243091499847238,0.021971962452794
"GSC",0.033654464504247,-0.0276499688638517,-0.0276762735395682,-0.0275146266267136,0.0459051312258232,0.0458702924924862,-0.0419311844838039,0.000162175687377446,0.0681262990201024,-0.117097043022553,0.0745131212229562,-0.102299320386517,0.00527848897070613,0.00533758684957145,0.0245074382127037,0.117072684148128,-0.0681262990201024,0.0517411098111187,-0.0508790641096664,-0.122387024423283,0.0416323281838747,0.0276762735395682,0.00410047173769377
"miR200a",0.00337202727843317,-0.187905385354931,-0.187665451955979,-0.17375198876489,-0.0309890419516173,-0.030374325107694,-0.130722507857483,-0.0310551053805948,0.157299011256541,0.0113915934502094,-0.0459084920925433,0.00868393066613889,-0.015671817014126,-0.0154248377041891,-0.0619429171071662,-0.0115410837423459,-0.157299011256541,0.120172441542569,0.1112674055042,-0.116596624219808,0.130306655716023,0.187665451955979,-0.0029806417390145
"NP63",-0.0364937327644933,0.0178582119446312,0.0178721225570714,0.0719462125055711,0.0202840269434814,0.0204072660787535,0.0748210823165901,0.0139292257867657,0.0246977430412465,0.00835402329539343,0.024478181564403,-0.00631050470819363,0.0608435833842336,0.0612362682265987,-0.0140846292802121,-0.00846367842999511,-0.0246977430412465,-0.0767785212548388,-0.0146699522644347,-0.104802486216152,-0.175288623159238,-0.0178721225570714,-0.0767286373668502
"SNAI1",0.0577943471648569,-0.0472673025719229,-0.0473342443665344,-0.0468931644319641,0.0502374682615748,0.0501303285408406,-0.05582594684677,0.0104982058797497,0.0690026187402222,0.123543022275989,0.134307013307294,-0.0550306804863018,0.0309811524423946,0.0309734883934264,-0.107382166523437,-0.123520248136181,-0.0690026187402222,0.0620350221706985,0.084824555421374,-0.100807026581588,0.0555355768394189,0.0473342443665344,-0.0620416545067642
"TGFbeta",-0.0552717450707666,-0.0597848673634396,-0.05969377752759,-0.0580598004250635,-0.0515225255238293,0.0488810313368545,-0.0661879110023321,-0.067883324158927,0.0747854019793896,0.00134980544592833,0.108901604340732,0.0173437380381232,0.0730010892783231,0.0734662266640241,0.0106906234375231,-0.00155962325759088,-0.0747854019793896,0.0706486053209319,0.0806235319448536,-0.0951238303332652,0.0655855670393994,0.05969377752759,-0.059172422053494
