"","miR200a","TWIST2","TGFbeta","miR101","SNAI1","GRHL2","miR141","CLDN7","TCF3","NP63","FOXC2","miR34a","OVOL2","miR205","TWIST1","ZEB1","ZEB2","miR200b","miR200c","KLF8","GSC","CDH1","SNAI2"
"miR200b",0.111107594089402,-0.127039364772801,0.00504149702926927,-0.0256680543352203,-0.10202738304453,-0.00117150917471857,-0.00662013094422689,-0.00662013094422689,-0.0665126525217824,0.00748004487342149,0.0087094100128347,-0.0930794194905693,-0.0158946388194863,-0.00898351030793366,0.0669400598305952,0.00690648866595325,-0.234933124834693,-0.152958718320063,-0.119176149874119,0.0261201273873438,-0.00496650384683131,0.00150376387421961,0.13958617956973
"miR200c",0.101608656504673,-0.0143286933733791,-0.0467117166568507,-0.00605111048079855,-0.0557051322112219,0.000381453125754948,0.00610877596996014,0.00610877596996014,0.0157642865160095,-0.00742617324604305,-0.0160698783312378,0.00456223630611366,0.0145865087728807,0.00848179791282819,-0.0161354949399265,-0.00631656945314583,-0.195722253048812,-0.0967370793687282,-0.0947359161043271,0.00586019516794959,0.0466651299829119,-0.0675196777941431,0.0860326820886883
"miR200a",0.105808104001569,0.075983093722511,0.170179687561613,0.0514693462783267,0.0918304110293968,0.0195174309219603,0.0148469182636792,0.0148469182636792,0.00102755945707984,0.0206552582972687,0.0216239710638371,-0.00949471039461453,-0.0237060494515727,-0.0217108829640538,-0.000674098049445665,-0.0146449278208403,-0.193673345619965,-0.0515002751239046,-0.0888056347078579,-0.0511379461126266,-0.169777451401264,-0.0815559614311781,-0.174495785892707
"miR205",0.0995329249586585,0.154250683466898,0.0347902808231604,0.0518260320046742,0.112934945763397,0.0179950021004518,0.0231854131283258,0.0231854131283258,0.113216283476638,0.00201589021971105,-0.0844158413127558,-0.0059258027712102,0.0107420378097768,-0.000232122505906668,-0.11378462909667,-0.023533234894515,-0.166005439918989,-0.0715759410840054,-0.0722563872549477,-0.0521752403406152,-0.034626814706671,-0.113383558434059,-0.103064259669483
"miR141",0.0963091664168401,0.188693765121933,0.118426473875493,0.0710862901327484,0.138152661862705,0.0210703932224338,0.0275758251778662,0.0275758251778662,0.0833044984948717,0.00574904017780412,-0.00315531728023531,0.0881469454020684,0.00677509814079435,-0.00424557474329195,-0.0837496528199674,-0.0278679859399393,-0.154462473834084,0.00472136382743019,-0.0643654009380657,-0.0713978783320208,-0.118145817571521,-0.150579403099541,-0.228049283373748
"GSC",0.150734504757377,0.0484870973550934,0.0692285558454563,-0.124739366588072,0.261028232621969,0.173264730610324,0.162753728191373,0.162753728191373,0.340927080462338,0.128708439062031,-0.130342020650361,0.00522879147985684,-0.098451549539875,-0.128645219460123,-0.341030901060344,-0.162778343575989,-0.134362739532014,-0.119861102542086,0.0214776839137947,0.124943981133243,-0.0689834623004013,-0.0993170727087892,-0.0682379681358697
"TCF3",0.114504496304863,0.320209452164016,-0.164127275299888,0.299963714528316,0.00429191953205307,0.131853354769766,0.124839731282703,0.124839731282703,0.178163234988264,0.0983802462930385,0.0456548949591659,-0.0754436232124084,-0.075016848732234,-0.0945652173913044,-0.180099343410336,-0.125779642777418,-0.107593818823814,0.177784661656894,0.0120807094618095,-0.299531588168608,0.164308533229923,-0.349273253938957,-0.36679616248479
"KLF8",0.114504496304863,0.320209452164016,-0.164127275299888,0.299963714528316,0.00429191953205307,0.131853354769766,0.124839731282703,0.124839731282703,0.178163234988264,0.0983802462930385,0.0456548949591659,-0.0754436232124084,-0.075016848732234,-0.0945652173913044,-0.180099343410336,-0.125779642777418,-0.107593818823814,0.177784661656894,0.0120807094618095,-0.299531588168608,0.164308533229923,-0.349273253938957,-0.36679616248479
"CLDN7",0.114504496304863,0.320209452164016,-0.164127275299888,0.299963714528316,0.00429191953205307,0.131853354769766,0.124839731282703,0.124839731282703,0.178163234988264,0.0983802462930385,0.0456548949591659,-0.0754436232124084,-0.075016848732234,-0.0945652173913044,-0.180099343410336,-0.125779642777418,-0.107593818823814,0.177784661656894,0.0120807094618095,-0.299531588168608,0.164308533229923,-0.349273253938957,-0.36679616248479
"miR101",0.114206207839718,0.0781929459574016,0.0543862804682865,-0.0803478216293389,0.249346789767955,0.131160498284908,0.123823996516304,0.123823996516304,0.244433353865825,0.0882474778998116,-0.0959547602967984,0.0281095893566446,-0.0657993270067902,-0.0889613137175735,-0.24427731357906,-0.123708970643723,-0.10076202790135,-0.07477273291932,0.0136680667364985,-0.0193185526163479,-0.0541339097768243,-0.0567280150758154,-0.153780670774645
