"","ZEB2","SNAI2","KLF8","miR205","NP63","CLDN7","TWIST1","GRHL2","miR200c","miR200a","TGFbeta","GSC","TCF3","ZEB1","miR141","miR200b","OVOL2","CDH1","SNAI1","miR34a","FOXC2","TWIST2","miR101"
"ZEB2",-0.0907160736955304,-0.0869391114238631,-0.0831266797507802,-0.00737247021420438,-0.00672945812867603,-0.00550930919137362,-0.00468875945478667,-0.00346410756199573,-0.00343807116565655,-0.00343807116565655,-0.00203730481083636,0.00223251507754162,0.00503785910243959,0.0054368879402781,0.00550930919137362,0.00823439059863963,0.010463994339693,0.0178358420443255,0.022307784975982,0.0244846997097948,0.0262352398786212,0.082368269036259,0.0834120616354938
"miR101",-0.0786661002373017,0.0658762340849134,-0.0316787854168351,-0.0558234913146521,-0.0567367812579651,-0.0814318062887544,0.0437632358720713,-0.0773785819047986,0.0802916554008009,0.0802916554008009,0.0112960969421983,-0.0114688157542954,-0.0438319808935132,0.0813210650475296,0.0814318062887544,-0.0970949024741888,0.0502675325707486,-0.0303592440851764,-0.0260022094644462,0.0487564913654643,0.0440833365707629,-0.0598158009859779,-0.0685923685826864
"TWIST2",-0.066424529443905,0.0654776294736938,-0.0162184206869198,-0.0491911565603471,-0.0490696290797316,-0.0598722406589551,0.00835147890602013,-0.0568330906183636,0.0626512448536183,0.0626512448536183,0.0109909308483339,-0.0108432993648967,-0.00782286086461409,0.0597042490359365,0.0598722406589551,-0.0611045669233936,0.0468415437789824,-0.103358843554592,-0.0803982988575902,-0.020928057783067,-0.0234869817026166,-0.0729321777569799,0.0166503204375129
"GSC",-0.0623428524405187,0.101656325661414,0.140838944644935,0.0831586151608488,0.0831260474871386,0.104490033961331,0.034207779913552,0.0970690928012818,-0.0187122181047715,-0.0187122181047715,0.0232453393124919,-0.0233394650130866,-0.0345751451064986,-0.104387469858767,-0.104490033961331,-0.00871375642347257,-0.0743970298175744,-0.0616577604405809,0.0699135646664257,-0.00960425573083175,0.0994654460378206,-0.0483974886796817,-0.141156584367439
"NP63",-0.0487650945975629,0.00888481356511221,0.00123485417173155,0.0789687222722897,-0.0196931435918548,-0.0388651030734115,0.0771125359579293,-0.0906263981579045,0.0428225898003432,0.0428225898003432,0.0883595905459017,-0.0880549160170347,-0.0768769250525102,0.0388579781255763,0.0388651030734115,-0.115230031051261,-0.0460858483900535,-0.057124870104594,-0.0196825252959678,0.0504524058000806,-0.0530706470438829,-0.0217253536976096,-0.00116906109097055
"SNAI1",-0.046035048757797,0.0484933974351114,0.0665297964994577,-0.0573595179259152,-0.0575065407144475,-0.0588369805316297,0.0200152904334795,-0.0564830513209008,0.0538508796689669,0.0538508796689669,0.00804855567538849,-0.00788052780735183,-0.0192759651763507,0.0586580830251536,0.0588369805316297,-0.0512851267833007,0.0579004973693218,-0.0945651671711659,-0.105004720988719,0.0665616754327848,0.0558106891161806,-0.051828907309194,-0.0660371887356598
"GRHL2",-0.0227804417580869,0.0178084281729386,0.0245241946983906,0.0289854037354456,0.0294696358197263,0.0819388486829524,-0.0178745751278274,0.0121780321702693,-0.079487541109609,-0.079487541109609,-0.075948994741086,0.0759683963941069,0.0175797603986523,-0.081656513929575,-0.0819388486829524,0.0794911782446273,0.0335151233952679,-0.0405280397848422,0.0736498708914602,-0.0753112430628558,0.0821509007164426,0.0127272340321912,-0.0246359953938437
"CDH1",-0.0227153221646275,-0.0402550221964364,-0.0256207339759932,-0.042054745748513,-0.042748120170701,-0.0478832506815507,-0.0641763208491201,-0.0439928804596736,0.0353793683918659,0.0353793683918659,-0.00312253630916126,0.00262536995279733,0.0627154974759461,0.0483549260918602,0.0478832506815507,-0.0115190459621212,0.0433530088263777,0.016150044796625,-0.000930476909731496,0.0292274833707711,0.0297018662573723,0.0262398405733335,0.0247052022882445
"KLF8",-0.022428087411449,-0.0402393089732353,-0.023311093087899,-0.0434420289855073,-0.042054745748513,-0.0487427028265239,-0.0627154974759461,-0.0445999641852847,0.0360099014789304,0.0360099014789304,-0.00262536995279733,0.00340477905194541,0.0651356330035357,0.0478832506815507,0.0487427028265239,-0.011706896332645,0.0441521886767936,0.116488308376913,-0.000679932694838491,0.0295506621787181,0.0296480996046451,0.0268925637625531,0.0256207339759932
"miR141",-0.017282355376558,-0.0136857114223751,0.0594659195605476,0.011340723676438,0.0127659946911883,0.0080741169497242,-0.0309322433687486,0.00159963816756137,0.00299561734678365,0.00299561734678365,-0.110676761924269,0.110923330418042,0.0309662584832908,-0.00803550441203233,-0.0080741169497242,0.0150066090015159,-0.0243121163760411,-0.113035018391043,0.107933934954888,-0.0102330732026454,0.101825278337355,0.0125694162755125,-0.0592173694362726
