"","KLF8","TWIST2","TWIST1","TGFbeta","GSC","miR141","miR205","OVOL2","FOXC2","miR34a","NP63","GRHL2","ZEB1","CLDN7","SNAI1","TCF3","miR101","SNAI2","CDH1","ZEB2","miR200b","miR200c","miR200a"
"miR200b",0.205458615394923,0.187467280726281,0.227765259351504,0.14132582989596,0.14132242111494,-0.00482008336781354,-0.00959425910746205,-0.0199583158279978,-0.0239599250946907,0.124277392464593,0.00950540181227811,0.000540408535302505,0.00487565863882668,0.00482008336781354,-0.19269995703896,-0.227337852042691,-0.205649530707772,-0.212419656693832,-0.0505919113292528,-0.260438683879517,-0.0246791090589448,-0.129531871712939,-0.129531871712939
"SNAI1",-0.241883621061314,-0.179600110626598,-0.272302695372277,-0.034951480057193,-0.0349708003347025,0.109400525567699,0.0919114963768699,0.0835493086945058,-0.061316893209205,-0.209530604022977,-0.0919065956172521,-0.10286371264538,-0.109397977610119,-0.109400525567699,0.109801334476308,0.272271528239806,0.241825905775498,0.168285469013155,-0.156749024965429,-0.159154868988935,-0.142217589419993,-0.0183830117376504,-0.0183830117376504
"NP63",0.192120532338357,0.208344512000471,0.176177085442136,0.137404553527805,0.137336087341543,-0.0858330127442762,-0.134516287992861,-0.103467416748677,-0.0436801453375128,0.100661700503995,0.0345109139601874,-0.0325065370323497,0.0858883159108065,0.0858330127442762,-0.0458055948255031,-0.175483716206188,-0.192523514958018,-0.171033760375148,0.0916523384051727,-0.146884218494461,0.120601293675266,-0.110695916758059,-0.110695916758059
"ZEB1",0.0388126860123211,0.118612656998954,0.0500441056676019,0.0081532706383044,0.00813428979523481,-0.00835820456217282,-0.0148754802652675,-0.0287399707557587,-0.0925579711771393,0.00805456949042513,0.0148611107975126,0.00337522403591965,-0.0916460672214241,0.00835820456217282,0.0363567742560784,-0.049806735845419,-0.0390118116231077,-0.0619246950258621,-0.0713850576965613,-0.101075727035015,-0.00928875193798588,-0.0391633813932696,-0.0391633813932696
"FOXC2",0.0388657473066743,0.118468732062567,0.049806735845419,0.00813428979523481,0.00825695455137076,-0.0083348238865138,-0.0151465564376719,-0.0287199398280063,-0.0925208107725638,0.00798608052815521,0.0148754802652675,0.00332423234190003,0.00835820456217282,0.0083348238865138,0.0364445912944724,-0.0496715398111693,-0.0388126860123211,-0.061894620630675,-0.0714643653591611,-0.101061339962179,-0.00936928802447924,-0.0391604145037565,-0.0391604145037565
"GSC",0.243696234106067,0.100473301708521,0.354254387245767,-0.00541618027269313,-0.00552741973703232,0.0826594204481217,0.0705375070602217,0.0654009889912084,-0.0782472675983447,0.0536709823965556,-0.0703440167634727,-0.0788529722349841,-0.0826635230122243,-0.0826594204481217,-0.231452664017811,-0.354136191488037,-0.243764438954458,-0.149812018707559,0.0428753945490545,-0.0900467786017519,-0.0558252444784782,-0.00722197221413267,-0.00722197221413267
"miR101",0.132843074483283,0.0910066514825213,0.23864493895808,0.0196497821046471,0.0193705813064515,-0.00077020131355131,0.0099363440305343,0.0207090221003076,0.0876952618710786,0.103206235394473,-0.0093957183744352,0.00217882507889801,0.000746141460547124,0.00077020131355131,-0.211979676633293,-0.238447433420287,-0.232970676365411,-0.143131692592983,0.0124358232473106,-0.0694511938234028,-0.0185460234577249,-0.0377646691642225,-0.0377646691642225
"TWIST1",0.213037090880743,0.185727285742402,0.246297467468183,0.0215898844951723,0.0215507153817417,0.0459023975657461,0.041715633304724,0.042333736441909,-0.0201936368543087,0.0707961626938201,-0.0416763529213475,-0.0448473207514294,-0.0458985721385014,-0.0459023975657461,-0.220096391440815,-0.346097315516089,-0.213131698260118,-0.209616320601814,-0.00315470597269912,-0.0619798988497521,0.039219335809077,-0.0162602209382732,-0.0162602209382732
"SNAI2",-0.204406157377011,-0.19309008016085,-0.18044056153584,-0.215070428216873,-0.214895053876681,0.0801577371131226,0.0624588885562919,0.0569316114352348,0.036132936168093,-0.0667164672408031,-0.0627545940444772,-0.0757543237899651,-0.080157908507709,-0.0801577371131226,0.0567233725020171,0.180066513657712,0.204703753714287,0.0721304196900406,-0.194228615462994,-0.0240729001586165,-0.223734666322153,0.0264153791991821,0.0264153791991821
"KLF8",-0.204708778250265,-0.192743722231464,-0.17914752295386,-0.215208084545503,-0.215280587717516,0.0799532426467182,0.0631521739130435,0.0565761778458661,0.0359993348462506,-0.0662503531356023,-0.0633833877858758,-0.0754960197880554,-0.0801031896166923,-0.0799532426467182,0.056090859856359,0.179050717532757,0.203859426439804,0.171981870223256,-0.0940127184592432,-0.024065764063773,-0.223482988182496,0.02623718771774,0.02623718771774
