"","KLF8","TWIST2","SNAI2","ZEB2","TCF3","OVOL2","GRHL2","miR141","CLDN7","miR200a","miR200b","NP63","miR205","miR34a","miR200c","GSC","TGFbeta","CDH1","ZEB1","TWIST1","FOXC2","SNAI1","miR101"
"SNAI1",-0.131400180889004,0.115191811355742,0.0402707187781802,-0.134929197370575,-0.222910217023416,0.203661460113576,0.24003775405639,0.243586793889269,0.243586793889269,0.199881859222395,0.11953889815779,0,0,0.287093601056177,-0.0707271332840519,-0.0648584693836547,-0.0650663087326199,0.070399441635134,-0.243685546548217,0.222584750410568,0.0524319532813513,0.0841268626416749,0.131213932101805
"FOXC2",-0.0866831880866178,0.0771386807145084,-0.08512787590963,-0.12140060579802,-0.0805811710300956,0.172162027262998,0.252500997199815,0.263569007510245,0.263569007510245,0.282807709565332,0.27619377417124,0,0,0.25930565749096,-0.198440553581614,-0.0714209723607257,-0.0709227146344744,-0.0348534645213533,-0.263293115537469,0.0816345734636243,0.0731289733588694,0.0918231450627724,0.0871949728289282
"GRHL2",-0.0240908688873326,0.0329900805764993,-0.0299572274797504,-0.119078619566489,0.0125805570310778,-0.0425653454510434,0.0604660371292032,0.231142673628392,0.231142673628392,0.257427154222408,0.198354102274261,-0.186385612021517,-0.186387347620385,0.223975309342407,-0.183707439617131,-0.171739567731975,-0.171655863457514,-0.0871894536744617,-0.231086992760556,-0.0123435491115449,-0.0443263053771516,-0.00300597907796857,0.0241727386879401
"TGFbeta",-0.0520590562444321,-0.0112427201082843,-0.0302987058645244,-0.103700904566524,-0.0575499210313452,0.0543162270647054,0.0711171419912206,0.0714027129580025,0.0714027129580025,0.0920375003497245,0.138438537292118,0,0,0.131594281068694,0.0112318156841769,-0.0347269371206596,-0.134114868641969,0.0804514335377623,-0.0711438531420006,0.058475657877033,0.0277032460366712,0.0629137152472056,0.0527909949471625
"ZEB2",-0.122932826392152,-0.0974844120535232,-0.0948431199896708,-0.0915418041076521,-0.0429914447134344,-0.0274016283184431,-0.0236827469124724,-0.0227446637636223,-0.0227446637636223,-0.0140253588689938,-0.0033412632742913,0,0,0.00059843412504784,0.00254932735429225,0.00511733441097354,0.00600594139789999,0.0119071260439928,0.0230763285440632,0.0440744654808041,0.0572729284099007,0.0705140890462737,0.123582144757023
"KLF8",0.00813395528351459,0.0456020277833823,0.0201944486425952,-0.067690075826989,0.0565213774252013,0.100076762871958,0.0972702893688402,0.0981182606902742,0.0981182606902742,0.0811728189528968,0.0476161301941116,0,0,0.0615307423348313,-0.0181084527870353,-0.0291632104100111,-0.0317551988095036,0.00363201110466326,-0.0992776067751954,-0.0604419969798964,0.0136556187751236,0.00769877389661269,-0.0101753798104107
"miR205",-0.095240812691252,0.0618406889827669,-0.0869176390889236,-0.0568298817783085,-0.100633979137379,0.158069000883521,0.234536810618147,0.240111081726023,0.240111081726023,0.147113520210602,0.147598223796943,0,0,0.244004849528724,-0.099909659744448,-0.0375236265365384,-0.037612501318319,-0.0241620289975421,-0.240076920659701,0.100930507286961,0.0973940235605438,0.113636749797146,0.0951869920516625
"miR34a",-0.0947198744951378,0.0496746151665511,-0.101625181163212,-0.0490502437379743,-0.0662732325765797,0.163560944830972,0.189714535913521,0.195559146710965,0.195559146710965,0.177007629359076,0.150445552523955,0,0,0.157511324162354,-0.136042867365429,-0.0569145390602942,-0.0563539853853188,-0.000582755075778167,-0.195298332809774,0.067199909373443,0.0381349696589591,0.0807362215565948,0.095390203321198
"miR200b",0.0553514679694011,0.067319588263166,0.0494631788745513,-0.0377588592880889,0.0573251843981447,0.14909301723984,0.214238670372887,0.2170291485427,0.2170291485427,0.126339837740781,0.0970147408486443,0,0,0.121224610467533,-0.0925893655335382,-0.138869676843319,-0.137900446773326,-0.011789331043171,-0.216653513277177,-0.055980847914716,-0.0561436955976035,-0.0672253951731002,-0.0545301719065792
"miR141",0.0553514679694011,0.067319588263166,0.0494631788745513,-0.0377588592880889,0.0573251843981447,0.14909301723984,0.214238670372887,0.2170291485427,0.2170291485427,0.126339837740781,0.0970147408486443,0,0,0.121224610467533,-0.0925893655335382,-0.138869676843319,-0.137900446773326,-0.011789331043171,-0.216653513277177,-0.055980847914716,-0.0561436955976035,-0.0672253951731002,-0.0545301719065792
