"","miR200c","miR200b","CDH1","TWIST2","SNAI2","miR34a","TGFbeta","ZEB1","miR141","CLDN7","TWIST1","NP63","miR205","TCF3","OVOL2","FOXC2","miR101","KLF8","GRHL2","GSC","SNAI1","miR200a","ZEB2"
"miR200b",0.300279312313046,0.101069372027371,0.150708044448021,0.0166080184975867,-0.136201463232281,0.263549937128898,0.128068371934982,0.215544133621138,0.215287237488864,0.215287237488864,0.219041354209182,0,0,-0.217315456875671,-0.144066671936065,-0.167324525641016,0.195829214556671,0.194629690043865,-0.213390762757784,-0.127534329575196,-0.313629943697434,-0.300279312313046,-0.418466100289436
"miR200c",0.0837084616342111,0.208941903916647,0.169387437898503,-0.0819765768251303,-0.106806644352377,-0.0221239474108422,0.154711625896278,-0.135601007539835,-0.135745860354644,-0.135745860354644,0.206094686947527,0,0,-0.204859790397843,0.0899073982908316,-0.11710834909244,0.143043313511863,0.142198603306899,0.14333207658237,-0.154492327650664,-0.215013838534794,-0.0837084616342111,-0.31235408909052
"TWIST1",0.0662070721731098,0.153209184392506,0.262220133682371,-0.0844946769457565,-0.105840840448018,0.0493617663785547,0.0495224650746665,-0.107109723704217,-0.107221401499586,-0.107221401499586,0.266495027019268,0,0,-0.365562890785229,0.102650535952571,-0.0454140470759343,0.169173278117175,0.168532935538875,0.109634212368127,-0.0493335132714772,-0.313040525932544,-0.0662070721731098,-0.275188848492124
"TGFbeta",0.179412380702467,0.178473172992624,0.253513622718386,-0.0968098920932117,-0.226986051152575,0.288677578933082,0.124015845950875,0.123786260224431,0.123552102736795,0.123552102736795,0.351042667425666,0,0,-0.348941607820011,-0.117855149664593,-0.198271216689679,0.305405822733788,0.303851232017014,-0.123390017155188,-0.22350195169233,-0.440822803796368,-0.179412380702467,-0.25772018438049
"miR141",0.00139231071526435,0.10315467046101,0.0141614746450034,0.0225136427134436,0.175403856746414,-0.228300014860079,-0.0743624206908965,-0.182393692794418,-0.182328296993587,-0.182328296993587,-0.200879584327317,0,0,0.200076531840516,0.122025276853892,0.139910325120477,-0.209278859598537,-0.208659285375706,0.184306874294551,0.0741658476520818,0.275812901123829,-0.00139231071526435,-0.178230586700102
"TWIST2",0.0656665927074962,0.119511405209058,-0.0124481284111211,-0.111354741223237,-0.142747114707351,0.0593441742197038,0.0397240672781598,-0.0405724620549928,-0.0406339119055653,-0.0406339119055653,0.0868116828096772,0,0,-0.0861619528180838,0.0613316984565074,-0.0989806562179613,0.153239982375577,0.152743775619866,0.0426992194274072,-0.0396080906044799,-0.174296356398988,-0.0656665927074962,-0.175200347745783
"miR34a",-0.0467725300987156,0.0632328870412503,0.0452153798396217,0.178489480142613,0.0419983885453393,0.0610542608975574,0.0191772758591408,-0.111850967534591,-0.111943299463115,-0.111943299463115,0.0953704400868325,0,0,-0.0945744585731292,0.10579757929093,-0.188156271173691,0.106782456269386,0.106253299846522,0.113915196524442,-0.0190149626852243,-0.289862972032726,0.0467725300987156,-0.150666048433521
"NP63",0.0484576934775811,0.148593887267781,0.191038389724076,-0.174065714562891,-0.171445174017073,0.0193690600910731,0.119092932016117,0.00343890278132187,0.00334017136131977,0.00334017136131977,0.173437664564643,-0.193682862375492,0.0936828623754921,-0.172690441407457,-0.133004731311985,-0.0109243037841249,0.200085988007847,0.199598022658869,0.0502380560683443,-0.11890293834924,-0.0688982271514934,-0.0484576934775811,-0.132756954942432
"ZEB1",0.216869091001303,-0.141508799155237,-0.0201543979538158,0.0991493018150645,-0.0297320838525053,0.186297065742099,-0.0185749888870689,0.0566416802346129,0.156569787025567,0.156569787025567,0.012926215795708,0,0,-0.0126551935430383,-0.109333281092675,-0.110586938378061,0.0585135169605202,0.0584224041349205,-0.165129737790976,0.0186945910668929,-0.135718719495196,-0.216869091001303,-0.131836214287945
"KLF8",-0.00307577943896037,-0.162531115739095,-0.115919053281732,0.14673919511036,0.156131666115438,-0.0471506641135524,-0.18731559707769,-0.037957022137071,-0.0377997606807567,-0.0377997606807567,-0.171737365802453,0,0,0.170382089907003,0.0354008193775232,0.00602227176971109,-0.200927371521919,-0.200376037890567,0.0383497073736638,0.187170590733662,0.0777707236432837,0.00307577943896037,-0.0276434789725416
"CLDN7",-0.00307577943896037,-0.162531115739095,-0.115919053281732,0.14673919511036,0.156131666115438,-0.0471506641135524,-0.18731559707769,-0.037957022137071,-0.0377997606807567,-0.0377997606807567,-0.171737365802453,0,0,0.170382089907003,0.0354008193775232,0.00602227176971109,-0.200927371521919,-0.200376037890567,0.0383497073736638,0.187170590733662,0.0777707236432837,0.00307577943896037,-0.0276434789725416
"CDH1",-0.0035874241325043,-0.162792922948408,-0.216344488428929,0.146521620713953,0.156270990027821,-0.0476910614645458,-0.187329918742276,-0.0379826915471558,-0.037957022137071,-0.037957022137071,-0.17250761812649,0,0,0.171737365802453,0.0355010081051264,0.00680487527051759,-0.201519393779368,-0.200927371521919,0.038489304166184,0.18731559707769,0.0786373601898809,0.0035874241325043,-0.0269220521506049
"SNAI2",-0.00390446409818939,-0.163034578726046,-0.216638699673834,0.146468321812211,0.0563069517319988,-0.047952950294468,-0.187406187189976,-0.0380068581838284,-0.0379826915471558,-0.0379826915471558,-0.172933806011873,0,0,0.17250761812649,0.0355171384382178,0.00717787184607805,-0.201904396033885,-0.201519393779368,0.0385121225178433,0.187329918742276,0.0790999871451365,0.00390446409818939,-0.0264910320220601
"OVOL2",0.184751759852708,-0.127164663837528,-0.244928902720027,0.125814346124937,0.121862161282421,0.0827279293619835,-0.252909704219542,0.166958976298727,0.167022154873989,0.167022154873989,-0.176705809263218,0.186889225233431,-0.186890305625397,0.175986436556219,0.0825242924023439,0.126219579295595,-0.164803913032603,-0.164331237204872,-0.00710002627310645,0.252846322385327,0.196790486331455,-0.184751759852708,-0.0137039718515216
"TCF3",0.00307577943896037,0.162531115739095,0.115919053281732,-0.14673919511036,-0.156131666115438,0.0471506641135524,0.18731559707769,0.037957022137071,0.0377997606807567,0.0377997606807567,0.171737365802453,0,0,-0.170382089907003,-0.0354008193775232,-0.00602227176971109,0.200927371521919,0.200376037890567,-0.0383497073736638,-0.187170590733662,-0.0777707236432837,-0.00307577943896037,0.0276434789725416
"GRHL2",-0.22290634375379,0.11738907024759,0.0905844081323764,-0.0425603258563298,0.00515249164318811,-0.1835442298974,0.135210377851449,-0.180867616017626,-0.180868707799349,-0.180868707799349,0.0475259250466208,-0.186385612021517,0.186387347620385,-0.0474941313013176,-0.0709295853602505,-0.0356183392677703,-0.00216569481152689,-0.00208030372917292,0.0199875099277749,-0.135306277450666,-0.00931098217597083,0.22290634375379,0.106687689160097
"FOXC2",-0.216520975965107,0.14163139867544,0.0203150802825673,-0.0990085575402553,0.0297609600646173,-0.186086706786556,0.0186945910668929,-0.156569787025567,-0.156463086123923,-0.156463086123923,-0.0126551935430383,0,0,0.0121876405912583,0.109266244254463,0.110372759318962,-0.0584224041349205,-0.0580852081675788,0.165034931011725,-0.0189952825487483,0.135407110649282,0.216520975965107,0.131441453201696
"miR101",-0.11182847625146,0.00834083722270017,0.0766681551306525,-0.0205727687156488,-0.107462396890542,0.0679911036890387,0.00191092704971836,-0.0939336318849877,-0.0939422011477015,-0.0939422011477015,0.277404979831114,0,0,-0.276871387521827,0.0958534163038229,-0.151859358256489,0.244488472414414,0.344065791179866,0.0945157028912414,-0.00188409694298484,-0.31944765404282,0.11182847625146,0.136892356705054
"SNAI1",-0.174136934921737,-0.0933535668971313,-0.261110607412886,-0.0338132322375678,0.132446297269762,-0.29202596048876,-0.0286510512654191,-0.102231751839217,-0.102055016236142,-0.102055016236142,-0.364091608659093,0,0,0.36275857507523,0.101150231195321,0.234212163310263,-0.326707790776409,-0.325793393464381,0.101669481310722,0.0282917721654708,0.38360418015429,0.174136934921737,0.277878393169395
"miR200a",-0.217963161394099,0.00471786142826541,0.00451791880547809,-0.121098238036161,-0.14600903786651,-0.0573738696796604,0.101005674652192,-0.168751448366555,-0.168704800849922,-0.168704800849922,0.187932917065662,0,0,-0.187620865362688,0.111948793373005,-0.0896941485719005,0.156492958553729,0.15622819863874,0.172415965045603,-0.101123845727549,-0.177196795961189,0.217963161394099,0.284342597899018
"GSC",-0.245791996376056,-0.0908221288927968,-0.183690533760038,-0.02826649958476,0.113243792168075,-0.21843314478984,-0.0251255768239797,-0.149205304165664,-0.148978697830822,-0.148978697830822,-0.415365937812644,0,0,0.413808628842544,0.132540407520193,0.231737661821751,-0.27975749357318,-0.278681805678566,0.148927056012635,0.024647002644982,0.415058029403123,0.245791996376056,0.386292674180199
"miR205",-0.280563041399809,-0.0655327885011081,-0.106082562739817,-0.128904598561216,-0.00674510017520667,-0.214516195169748,-0.0179764180102941,-0.189639297911299,-0.189428120410398,-0.189428120410398,-0.0219191413817536,0,0,0.0209348326630023,0.127660154075911,0.127306360927421,-0.0325833491700527,-0.0319337465666357,0.191176248049797,0.0175209347536682,0.15403097013818,0.280563041399809,0.411503628182748
"ZEB2",-0.416886275054053,-0.287798981256839,-0.284576994416144,-0.142677172809947,-0.119909345279878,-0.0988914501220986,-0.0915964034187638,-0.0851049127965953,-0.0848257841101695,-0.0848257841101695,-0.0484032267673125,0,0,0.0469337608085874,0.0621365764068036,0.0723631645698057,0.0751488340240082,0.0761441903536193,0.0828666921059037,0.0910723531444226,0.106488642300597,0.416886275054053,0.453551610500577
