"","KLF8","ZEB2","miR101","TWIST2","CDH1","miR141","NP63","TCF3","miR200b","GSC","TGFbeta","FOXC2","TWIST1","SNAI1","miR200c","miR200a","GRHL2","miR205","OVOL2","CLDN7","ZEB1","miR34a","SNAI2"
"TWIST2",-0.0202494002114752,-0.140804203924335,-0.0203945254797831,-0.106338239275876,-0.0586861075762444,0.133775722390823,0.120037191273948,-0.018919062566644,-0.0295697217354231,-0.00978631355540821,0.00968725583177108,0.0230572364751684,0.0189960042761748,0.0239516970443086,-0.13665969367132,-0.13665969367132,-0.124145966058474,-0.119888277318828,-0.118405069255266,-0.133775722390823,-0.133835450354164,-0.0541278218107363,0.0924364234863747
"TGFbeta",0.0687552371474154,-0.0997646439227568,0.0688528751389811,0.0824103585025272,0.101761100778911,0.029656207320473,0.0239102924590468,-0.0208944986541503,0.0963049626214873,-0.00113665717915777,-0.0990861896125869,-0.00584690759180964,0.0206449127398717,0.10771820257704,-0.0662015969170555,-0.0662015969170555,-0.0267146328844018,-0.0237113281635984,-0.0216079617336898,-0.029656207320473,-0.0297809197699319,0.0855537555983956,-0.0273633566190513
"ZEB2",-0.0702150288052679,-0.0700998932336253,-0.0679707538442966,-0.0586201834070475,-0.0513446772169834,-0.0490805201560552,-0.0438217531265375,-0.0106620185801432,-0.00211892816102605,-0.000166601255584019,0.000484972573838334,0.00836109738288238,0.00847486869461541,0.0132770036246881,0.0402221434024535,0.0402221434024535,0.04238934905176,0.0431709939074486,0.0444368578135903,0.0490805201560552,0.049284036146422,0.0543132815311595,0.0588233923647627
"FOXC2",0.000217669797349786,-0.0559147580082849,0.000366583752470201,-0.158726324343365,0.167887885540035,0.24545745889659,0.164547645826182,0.111882153271197,-0.214765527930051,-0.0370350543754301,0.0370643636534449,-0.113099021067655,-0.112096213658759,0.108804989848495,-0.248799742145289,-0.248799742145289,-0.20637591477944,-0.16443921535722,-0.155129396523618,-0.24545745889659,-0.245480839572249,-0.223485829701346,0.0368370816947732
"CDH1",0.0184851887366018,-0.0503866874839119,0.0199765672102843,-0.0018085725375226,0.0429212244756333,0.120823843887857,0.111166431611363,-0.0245033565799226,-0.0260034206521803,-0.00828329215692589,0.00789660721308727,-0.0317781757239052,0.0226175664072798,0.0435955911692141,-0.0846846562032693,-0.0846846562032693,-0.11050735844721,-0.111063709474742,-0.112235595781163,-0.120823843887857,-0.121037220859187,-0.0624456234992225,-0.00381255676677563
"CLDN7",0.0219571005232208,-0.0478750533630952,0.0184851887366018,-0.00181559106643893,0.143574063710419,0.120871388049068,0.111063709474742,-0.020485931604124,-0.0250641687995615,-0.00788452471085012,0.00828329215692589,-0.0308880389176444,0.0245033565799226,0.0447497374706065,-0.0864064149022905,-0.0864064149022905,-0.110607997995306,-0.11054347826087,-0.112242585692391,-0.120871388049068,-0.120823843887857,-0.0633039016449179,-0.00399587770412177
"SNAI1",0.0336807918056569,-0.0415715963260483,0.0341621684868096,0.00206099316937747,0.118930229463616,0.105692004322943,0.100972561519556,0.0212977833726681,-0.0366002665681316,-0.011907651403529,0.012185746307074,-0.119011364713253,-0.0216477749422142,-0.0645781280306678,-0.0811402237863471,-0.0811402237863471,-0.0986548886821029,-0.101240878108627,-0.102949282009752,-0.105692004322943,-0.105553719716081,0.0121366797158708,0.0656651345208441
"miR200b",-0.0787177320081754,-0.0281199163984202,-0.0776875097539338,-0.115783664006145,0.0951308143299604,0.227077239498294,0.161166956257671,0.0623895515241304,-0.100588647144658,0.0730495383569127,-0.0729824989968545,-0.0262534697606628,-0.0634795141075044,-0.0691606124601221,-0.127654054992503,-0.127654054992503,-0.20398889169617,-0.161284247887314,-0.150677254932184,-0.227077239498294,-0.227052464979891,-0.217654516987567,0.0829026845175052
"miR141",-0.0787177320081754,-0.0281199163984202,-0.0776875097539338,-0.115783664006145,0.0951308143299604,0.227077239498294,0.161166956257671,0.0623895515241304,-0.100588647144658,0.0730495383569127,-0.0729824989968545,-0.0262534697606628,-0.0634795141075044,-0.0691606124601221,-0.127654054992503,-0.127654054992503,-0.20398889169617,-0.161284247887314,-0.150677254932184,-0.227077239498294,-0.227052464979891,-0.217654516987567,0.0829026845175052
"TWIST1",-0.00128357256520262,-0.0236517225729074,-0.000316585561268949,0.0956699776262042,-0.108077260572194,-0.121639733843468,-0.110411412620865,-0.205846273887668,0.0805850551943969,0.0270661271721916,-0.0268997367783383,0.213210040320321,0.104905968186197,-0.0249563574649197,0.04340946889728,0.04340946889728,0.113277559358391,0.110112881707203,0.109581273149534,0.121639733843468,0.121730927092946,0.0342316624692593,-0.07793490005999
