"","FOXC2","ZEB2","miR101","SNAI1","TWIST2","miR34a","miR200c","TGFbeta","GSC","miR141","GRHL2","NP63","miR205","CDH1","ZEB1","CLDN7","miR200b","miR200a","SNAI2","OVOL2","TCF3","TWIST1","KLF8"
"TGFbeta",0.10161611375731,-0.0905431074671916,-0.028213172590649,0.0263848706722002,-0.125468189770937,0.0986828099336354,0.00844040065621175,-0.059759188451717,0.0399137089475349,0.07758879288705,0.0775678036194854,0,0,-0.0547027972069666,-0.0777310028191014,-0.07758879288705,-0.041521509063842,-0.0831026447054262,0.0874826454943402,0.0827878174792855,-0.0155528049616844,-0.0167508173502216,0.0284783878443346
"GSC",0.1304014809027,-0.082118375787602,-0.0534066041594359,-0.03850249421458,0.0107471628614552,-0.00369755573627313,0.0176709077131397,0.0400308611972901,0.0403175167400103,0.0547515772174358,0.0543241852194916,0,0,0.0695399171994582,-0.0546714565537858,-0.0547515772174358,0.0764763914902528,-0.0662107277932481,-0.0144159747275848,0.0699165438362426,-0.0847069335640476,-0.0839849810979091,0.0532049126791958
"ZEB2",-0.0823626212592973,-0.0814330056013274,-0.0686313830458302,-0.0560815262311735,-0.0472465441096434,-0.0161339656693834,-0.007571362507082,-0.00267748783869341,-0.00220639681651827,-0.00194166089347387,-0.00159330597798741,0,0,0.0015660428106793,0.00182848734515171,0.00194166089347387,0.00509315067805554,0.0116132374245335,0.0135639372434147,0.014235762506438,0.0471069134051258,0.0480113250504405,0.0687477233960445
"SNAI1",0.112357539440614,-0.0696045200082133,0.0317873303351151,-0.06649403972851,-0.0779280952262502,0.090005264942129,0.0167971434670229,0.0229849575315141,0.0230885844745193,0.0532803719535271,0.0521361772805737,0,0,-0.0624701492041622,-0.0531133649157594,-0.0532803719535271,0.0161318324546492,-0.0599262361710232,0.0731600804994911,0.0636043062181494,-0.000132469552596629,0.000337081180852857,-0.0320833941526225
"miR141",0.106423709443217,-0.0258172727613146,0.00715862982592274,0.0361250184283059,-0.0657759587482008,0.0956731719921379,0.0104124510804396,0.113441424927571,0.113997056233816,0.00189683476395987,0.00201056342072022,0,0,0.0209046802548883,-0.0019006290595712,-0.00189683476395987,0.0141736223208956,-0.0129263164336912,0.0613279742545947,0.0659810618898206,-0.0347477201066817,-0.0337731131291465,-0.00718744723163579
"GRHL2",-0.0808903714972533,-0.025317513315256,0.00574251632366036,-0.0656925928997038,-0.000861916407893449,0.000834098882835008,0.000587633519637827,-0.0750612319845188,-0.0746903832453491,0.00751853427256846,-0.0287835104987251,-0.00853631481530386,0.00853457921643547,-0.0249399222678849,-0.00750128412135669,-0.00751853427256846,0.0615903867781477,-0.0103003643800258,-0.0150894201542997,0.0740161304903764,0.0346630727097281,0.0351948953584361,-0.00587016278697301
"miR200c",0.076003961381875,-0.0162771680326715,-0.00562371286411823,0.0199569342152515,-0.074309954848207,0.093272752127726,0.00447152826571282,0.092007177533941,0.0921253486092978,0.00564501129104447,0.0048847047138856,0,0,-0.0457001949895347,-0.00558586491827948,-0.00564501129104447,-0.0177845608007134,-0.0107940198804886,0.0698600837526678,0.0711013425574558,-0.0132066668511754,-0.0127940487225983,0.0055516693498356
"miR200b",0.124849486736817,-0.0134556983848721,-0.0240958558272147,0.0738622472876944,-0.0456232647168412,0.00710478382999205,0.000440026840106559,0.101348436613043,0.101505240539959,0.00966801523855227,0.00777625639608886,0,0,0.000842573681355135,-0.00957494339914471,-0.00966801523855227,-0.0280271540659862,-0.0108201232262324,0.123438909407636,-0.0558582602662927,-0.0783573950591415,-0.077217149262966,0.0240436242793598
"miR205",-0.0602161286035005,-0.0103107281029672,0.0430413307143631,-0.057213590460877,-0.0256376703183717,5.20054771679612e-05,0.0048100876663873,0.012765238311874,0.013349272592147,-0.00087433942300246,-0.000357170817540624,0,0,0.0133277117010179,0.000763160679881257,0.00087433942300246,0.00296676039989717,-0.00468598867730367,-0.0554367151454345,0.0589591920970221,0.0566142486465322,0.0568901845635043,-0.0429950199314605
"SNAI2",-0.0499757660861382,-0.00699430188158228,-0.0145381066463104,-0.0222134209496949,-0.024483044272708,0.00731659749187357,-0.011489733273142,0.00540286897188023,0.00558513763502791,0.0282064942835716,0.0277569431693499,0,0,-0.104364344878429,-0.0284706133411071,-0.0282064942835716,0.00940580696948553,-0.0175685684370196,-0.0889651909322865,0.0566702274427135,0.0945492906058863,0.0945606253900721,0.0149009105726397
"TCF3",-0.0494600238338875,-0.00690765150315912,-0.014024200016527,-0.0226408780791383,-0.0239489018247492,0.0077791725183589,-0.0112644568129248,0.00498158177030627,0.00490907859829249,0.0284235932747717,0.0279503849621634,0,0,-0.204193789902394,-0.0287856603486115,-0.0284235932747717,0.00979714189681572,-0.0180467331976976,0.0112754955195353,0.0568035010125595,0.0966442344831684,0.0938852799817164,0.0153801827314726
"KLF8",-0.0494600238338875,-0.00690765150315912,-0.014024200016527,-0.0226408780791383,-0.0239489018247492,0.0077791725183589,-0.0112644568129248,0.00498158177030627,0.00490907859829249,0.0284235932747717,0.0279503849621634,0,0,-0.204193789902394,-0.0287856603486115,-0.0284235932747717,0.00979714189681572,-0.0180467331976976,0.0112754955195353,0.0568035010125595,0.0966442344831684,0.0938852799817164,0.0153801827314726
