"","ZEB2","TWIST2","SNAI2","FOXC2","SNAI1","NP63","miR205","miR200a","TCF3","CDH1","miR34a","TGFbeta","GRHL2","CLDN7","miR141","ZEB1","GSC","TWIST1","miR200b","miR200c","OVOL2","KLF8","miR101"
"TGFbeta",-0.102172729300215,-0.16791030854248,-0.227426798639802,0.157969404682048,0.0976400145664168,0.103934012608196,0.103756852619099,3.26440429745168e-05,0.150197055339819,0.053952414284759,-0.0475190324325462,-0.113536937389071,0.107692463354346,-0.101427171613161,0.101427171613161,0.101385143346149,0.0135252086105583,-0.15003369001411,0.141652366201092,-3.26440429745168e-05,-0.101017465609772,0.0646798833545372,0.0647553623692937
"miR101",-0.0887066603243095,-0.0157652933574574,-0.0691160592696457,0.0736978937663782,-0.00748286504382202,0.0962374202420491,0.0963082789445475,0.00142167712595415,0.000204331594907538,-0.0400096739236989,0.0256541641691011,-0.00207699611938117,0.100804738538481,-0.0896060720562812,0.0896060720562812,0.0896993451850509,0.00204681224930596,-0.000207605167357153,0.0125519480956202,-0.00142167712595415,-0.0924084240677343,0.0818527797829297,-0.0179863886781384
"ZEB2",-0.0846436793297749,-0.079181809171526,-0.0757047351813609,-0.0188065741524613,-0.0119646664584347,-0.0111541547005533,-0.0109527292279782,-0.00883583569178885,-0.00458034127203427,-0.00338612983303041,-0.00335667203319446,-0.00215345381920859,-0.000849497311331483,-0.000841585031015013,0.000841585031015013,0.000887001747803732,0.00222919786591126,0.00468263558739303,0.00577657384125772,0.00883583569178885,0.0160063305322661,0.0895922629662583,0.0897941184456899
"CDH1",-0.0618430544302777,-0.240103311107451,-0.225594131527025,0.0769597566869777,0.0515587535883974,0.120547912170637,0.121908980480858,-0.0288358518729281,0.169724966844927,0.0572329362764896,0.0486805508893564,-0.209661130600151,0.132921002287137,-0.121601240805354,0.121601240805354,0.121760070280254,0.209953701748134,-0.170112749049442,0.191000795111779,0.0288358518729281,-0.112559839495964,0.192535920644159,0.19197624932974
"SNAI1",-0.0572239404456248,-0.0285735341704766,-0.112649700816817,0.0913504411609287,-0.0874880739335066,0.0626861021433939,0.063072036963291,0.00953588896362253,0.0185326188337058,0.0628040796175821,-0.026618407494982,-0.0105742197418125,0.0583750840555379,-0.056648631763276,0.056648631763276,0.056697042957303,0.0106411576729816,-0.0186199889919429,0.0437774495580656,-0.00953588896362253,-0.066152647254012,0.00198484905515653,0.00194834803655973
"miR34a",-0.0294578250124108,-0.197878905134791,-0.0469087529240724,-0.0480883367851301,-0.0234901427270721,0.0997382741965481,0.100061849801597,-0.0818257050709805,0.0830865031117374,-0.0526621466634726,0.0627912228392737,-0.023922716387754,0.0975920365745909,-0.090128865061119,0.090128865061119,0.0900941216034786,0.0239619370431613,-0.0832825460364774,-0.00744808021841114,0.0818257050709805,-0.0997316967762677,0.0354268657228427,0.0353903721764383
"NP63",-0.0264447810118257,0.265601048098548,0.245494255794757,-0.0639249004360676,-0.0455153941564179,0.115945693112467,0.215762976001547,0.0943719468538434,-0.183612089344379,-0.0595116393746456,-0.116955170757452,0.126226625942655,0.0342465327911879,0.139853280994808,-0.139853280994808,-0.13984208464821,-0.126298515438231,0.183591894123915,-0.0693932770044758,-0.0943719468538434,0.00743457032936105,-0.220179948486702,-0.219935965812213
"miR200a",-0.017507854262125,-0.0620332857492099,-0.18163372476727,0.159812056760726,0.125844241281498,-0.0450650488738491,-0.0452392091724096,6.90423762357472e-05,0.130622371626057,0.0682951984272055,-0.092732931533571,0.0852090832716176,0.00349952715908022,-0.0131997712654959,0.0131997712654959,0.0130727739594458,-0.0851806767631184,-0.130478916577771,0.0528441372977552,-6.90423762357472e-05,0.0590231346264476,0.0459166941899631,0.045723977789257
"ZEB1",-0.0104197187592958,-0.0396445355766944,0.0517106534070023,-0.100265385945428,-0.0853897969683477,0.0581476103712939,0.058118871435784,0.00271000370508346,-0.0128365705632393,-0.0269334123412916,0.00599628037424257,-1.25567779864062e-05,0.0124022507314525,-3.90139637795179e-05,3.90139637795179e-05,-0.0999430809007186,9.58387485502445e-06,0.0127602516583855,-0.00858451858015651,-0.00271000370508346,-0.0692661284076374,-0.0171215017526461,-0.0171420756164912
"miR205",-0.0012775657702467,0.0674318385052645,-0.0195854608145328,0.105789573097965,0.0929802355924838,-0.0543445269547055,-0.0543742564166022,-0.000463861009376826,0.0113283054443517,-0.0298415827234853,-0.00357032941469257,0.00136643203256732,-0.00849609746773861,-0.000637625814037599,0.000637625814037599,0.000623961387508736,-0.00125533855534149,-0.0111388569043409,0.00155605159458223,0.000463861009376826,0.0660906676009815,-0.00426087331826835,-0.00435224324129232
