"","ZEB2","OVOL2","SNAI2","TWIST1","TWIST2","CLDN7","miR200c","miR200a","GRHL2","FOXC2","CDH1","GSC","miR200b","NP63","miR205","TGFbeta","SNAI1","miR141","ZEB1","TCF3","KLF8","miR101","miR34a"
"TWIST2",-0.146096831241192,-0.0705343898393263,-0.0745690029716831,-0.178412446169917,-0.0550165427458685,-0.0539461678848366,0.0461472698914368,0.0461472698914368,-0.054981626882645,0.0360604519591881,-0.0301408269371643,0.000357601297481626,0.0388865257797293,0,0,-0.000234529580235485,0.0896697277752595,0.0539461678848366,0.0540325851002651,0.178539257505995,-0.0137492014131752,-0.0137153098834505,0.0684400543687291
"NP63",-0.142603087484086,0.143045121402896,-0.0566754626824472,-0.0736099431632961,-0.0419347505574527,0.0198532571720269,0.0619624306727965,0.0619624306727965,-0.0362236662081322,0.0159200468832619,-0.0869025688270216,0.106324892573391,0.0840368355478195,-0.193682862375492,0.0936828623754921,-0.106359125666522,0.0380102158878896,-0.0198532571720269,-0.019641205153122,0.0731993070138515,0.0294292127975495,0.029656747201848,-0.00403260282948267
"SNAI1",-0.129203614562777,-0.0608746865555232,0.0644763650798442,-0.047825818699959,0.0687934423865775,-0.0487093965124183,0.0437000635063993,0.0437000635063993,-0.0481803490851448,-0.0344741064297074,-0.0520909783846481,0.0159593710018594,0.0755654420368068,0,0,-0.0156082883832787,-0.0574490955138098,0.0487093965124183,0.0492263230578897,0.047500352087111,-0.101758406486599,-0.102088163552042,0.0894053187979025
"TCF3",-0.0788040026723418,-0.01734863986781,-0.0122931562302839,-0.0886472373581661,-0.00833144684857896,-0.0119287320711989,0.0329724572044198,0.0329724572044198,-0.0128719636155508,0.00678534693728868,0.0273241701828656,0.00563971832893222,0.0264301236580764,0,0,-0.00667288853012852,0.0432350467010841,0.0119287320711989,0.00940889152700112,0.0923742460706539,-0.011185398360286,-0.0122433628961227,0.020631268288068
"KLF8",-0.0788040026723418,-0.01734863986781,-0.0122931562302839,-0.0886472373581661,-0.00833144684857896,-0.0119287320711989,0.0329724572044198,0.0329724572044198,-0.0128719636155508,0.00678534693728868,0.0273241701828656,0.00563971832893222,0.0264301236580764,0,0,-0.00667288853012852,0.0432350467010841,0.0119287320711989,0.00940889152700112,0.0923742460706539,-0.011185398360286,-0.0122433628961227,0.020631268288068
"CLDN7",-0.0788040026723418,-0.01734863986781,-0.0122931562302839,-0.0886472373581661,-0.00833144684857896,-0.0119287320711989,0.0329724572044198,0.0329724572044198,-0.0128719636155508,0.00678534693728868,0.0273241701828656,0.00563971832893222,0.0264301236580764,0,0,-0.00667288853012852,0.0432350467010841,0.0119287320711989,0.00940889152700112,0.0923742460706539,-0.011185398360286,-0.0122433628961227,0.020631268288068
"CDH1",-0.0786525921047749,-0.0157432902557501,-0.0113220790364561,-0.0906817659106229,-0.00947546706194224,-0.00940889152700112,0.034706953945604,0.034706953945604,-0.0106351684981921,0.00422246982396053,-0.0732187570762518,0.00667288853012852,0.0249702156603838,0,0,-0.00636394976547439,0.0425532378539982,0.00940889152700112,0.0109827472328297,0.0886472373581661,-0.0122433628961227,-0.0115413474323719,0.0193597451092601
"SNAI2",-0.0785850370735901,-0.0167322813034152,-0.111979567552459,-0.0898067205714862,-0.00913990918759252,-0.0109827472328297,0.0337287924044168,0.0337287924044168,-0.0120342186843043,0.00527780825788412,-0.0728666480148329,0.00636394976547439,0.0258584377643055,0,0,-0.0065324297827102,0.0428600231977625,0.0109827472328297,0.0101910756385687,0.0906817659106229,-0.0115413474323719,-0.0119540975971251,0.020300006767351
"ZEB2",-0.0771418424965775,-0.0719726706026684,-0.0322951658758597,-0.0292610922668167,-0.0268463166741508,-0.0244097209293007,-0.023937064811357,-0.023937064811357,-0.0210741858184197,-0.01624582956054,-0.00823660856775103,-0.0081661344589188,-0.0012627374852495,0,0,0.0088268935004795,0.0165429053309802,0.0244097209293007,0.0265654192542831,0.026859611434823,0.0496488407773353,0.0510001786913627,0.0655350820921104
"TGFbeta",-0.0686831346173345,-0.0760604510471833,0.0805429367027086,-0.166441473256323,0.130930581168524,-0.0696658803598226,-0.00332138253096945,-0.00332138253096945,-0.0695748870144739,-0.0539786455289749,-0.0669506660223769,-0.00330996278259552,0.13565427495231,0,0,-0.0968008090144705,0.13574051476281,0.0696658803598226,0.0700297250713801,0.165890115282053,-0.108454533349697,-0.107697665798056,0.146951006330756
"GRHL2",-0.0520649521797263,-0.122820973253187,0.0984437556889885,-0.0760041965865266,0.0514840241277327,0.00571304182319932,0.0221120019960972,0.0221120019960972,-0.0939421777170483,-0.0867258889013956,0.0106833928772291,-0.0944847843964216,0.00814021361026415,0.186385612021517,-0.186387347620385,0.0942503015613411,0.106742558848793,-0.00571304182319932,-0.00589274909468395,0.0761255908867752,-0.118503835399448,-0.118036385247592,0.0095236439049927
"miR200a",-0.0413484718643252,0.083952802529633,0.0660671533653089,-0.109760091452242,-0.00496849508446427,0.0201720002510429,0.0292834678780106,0.0292834678780106,0.0171189930666655,-0.0705731334413873,-0.0211946922289527,-0.0794305211717172,0.031015203659752,0,0,0.0795418746850342,0.127805972264644,-0.0201720002510429,-0.0197169079715417,0.109350431159712,-0.0865689300633684,-0.0862627451276673,-0.0132955807475693
"miR141",-0.0413484718643252,0.083952802529633,0.0660671533653089,-0.109760091452242,-0.00496849508446427,0.0201720002510429,0.0292834678780106,0.0292834678780106,0.0171189930666655,-0.0705731334413873,-0.0211946922289527,-0.0794305211717172,0.031015203659752,0,0,0.0795418746850342,0.127805972264644,-0.0201720002510429,-0.0197169079715417,0.109350431159712,-0.0865689300633684,-0.0862627451276673,-0.0132955807475693
"miR34a",-0.0151205025080782,0.0799272956996464,0.00405033277396297,-0.0629519838861291,0.116629106020831,0.0680977833399667,0.0870410960070245,0.0870410960070245,0.0679810424742,0.0726001356696287,-0.0320678155020806,0.019838448598186,-0.0196627195276177,0,0,-0.0197376816835241,-0.0108763685946866,-0.0680977833399667,-0.0677520145457788,0.0623984972351564,0.0202877310373991,0.02030789852357,-0.0442166353961844
"ZEB1",-0.00930751657994723,-0.0794491821815161,0.0724895186688178,-0.0322676409081514,0.13760135865738,-0.0136606502023988,-0.00550258474225297,-0.00550258474225297,-0.0105256268781871,0.0799927258076257,0.0633274970426573,-0.00564770583315115,0.0197401203277326,0,0,0.00542931179542272,-0.0534821799756731,0.0136606502023988,-0.0865506667521285,0.0323932365862178,-0.044420003171863,-0.0441753211482765,0.0176022035076939
"FOXC2",-0.00885697403585843,-0.0793287295359647,0.0724879610308201,-0.0323932365862178,0.137744488428373,-0.0134689286619949,-0.00503183827285149,-0.00503183827285149,-0.0103552768485364,0.0797339542630366,0.0633828709799183,-0.00530142214105054,0.0199581320268388,0,0,0.00564770583315115,-0.053766877148531,0.0134689286619949,0.0136606502023988,0.0326748949909046,-0.0438671387177952,-0.044420003171863,0.0175844697585347
"GSC",-0.00405190632955073,0.0763166870794366,-0.0129060868201921,0.230814727942815,-0.0522930702065869,0.0627834210304303,0.0377225855339661,0.0377225855339661,0.0618174462355202,0.0716407517226501,-0.0174507745314114,0.0110966914105301,-0.0188987030738038,0,0,-0.0109267761847812,-0.11589678907962,-0.0627834210304303,-0.0621665884512447,-0.231578208648156,0.113753557421309,0.114118940537685,-0.0813425749171997
"miR200c",0.00794045661935731,0.0959193278210225,-0.121281098350509,0.151316403319944,-0.129750871924342,0.0276178776389677,0.0123166110600799,0.0123166110600799,0.0224521153424378,0.0537419875772352,0.0270235503158269,0.101256755883488,-0.0494039510951837,0,0,-0.101086316832493,-0.105222064186954,-0.0276178776389677,-0.0266427436668535,-0.152651866295231,0.117583729061969,0.118579730646927,-0.135444645803041
"miR200b",0.00794045661935731,0.0959193278210225,-0.121281098350509,0.151316403319944,-0.129750871924342,0.0276178776389677,0.0123166110600799,0.0123166110600799,0.0224521153424378,0.0537419875772352,0.0270235503158269,0.101256755883488,-0.0494039510951837,0,0,-0.101086316832493,-0.105222064186954,-0.0276178776389677,-0.0266427436668535,-0.152651866295231,0.117583729061969,0.118579730646927,-0.135444645803041
"miR205",0.0119891311538186,-0.0919181357024135,0.0416405089337924,-0.0302939310930052,0.126953440217469,-0.0209033698887631,-0.0171126091859224,-0.0171126091859224,-0.0169633774141982,0.0814560468546187,-0.00434285769405572,-0.00905509202074664,0.0103921065441822,0,0,0.00885829786108945,-0.0609909892255394,0.0209033698887631,0.0199083511933431,0.0315088728169869,-0.026372885975454,-0.0272778237062256,0.0307062750527598
"OVOL2",0.0799658613078063,0.209590485167421,-0.168633622539429,0.177577959874733,-0.19004357384401,0.121139692249498,0.0822805528316906,0.0822805528316906,0.148255177925981,0.0978879870430977,-0.10859428888477,0.193261923544512,-0.174946293988384,-0.186889225233431,0.186890305625397,-0.193330816842572,-0.16284691281293,-0.121139692249498,-0.121165099547507,-0.177908871319953,0.193044885892988,0.193237904328442,-0.167716562572769
"TWIST1",0.117563516693692,-0.0666043393031175,0.0207020858364924,0.0262500429978074,0.0542595684944704,-0.0317489474054495,-0.0657009463828253,-0.0657009463828253,-0.0290203261893326,-0.0756315592458282,-0.134271488650372,-0.0150854531833517,-0.0272921739092721,0,0,0.0152988465133217,-0.0133478785543188,0.0317489474054495,0.0318956710504153,-0.126353795234199,0.040876412203414,0.0402569828352917,-0.0279952655920612
"miR101",0.140198457171304,0.0842540127761103,-0.093921130293884,0.0484513644139613,-0.0843659216724905,0.0832492225896755,-0.0263551606772136,-0.0263551606772136,0.0853073558917717,0.0271851603200504,-0.00726778437034061,-0.0105535368266429,-0.12236055016287,0,0,0.0104780771514549,-0.0289651214934554,-0.0832492225896755,-0.083586719705789,-0.0482625884027002,0.205674810423976,0.105238837326706,-0.0595619404077075
