"","miR200c","CDH1","miR101","TWIST2","TGFbeta","SNAI1","FOXC2","miR141","GRHL2","NP63","miR205","TWIST1","TCF3","CLDN7","ZEB1","OVOL2","miR34a","GSC","miR200b","SNAI2","KLF8","ZEB2","miR200a"
"miR200a",0.109660078839491,0.0337980089941596,-0.133288316529517,-0.114943644482279,-0.139430483113819,-0.198003565455097,-0.169439569822375,-0.0323991822052934,-0.0337280137982484,-0.0569765369725068,-0.0568272567165978,0.0012924262130415,0.00132348349153656,0.0323991822052934,0.0325132342674931,0.172193581867338,0.15220537301948,0.139228228773304,-0.168445611845746,0.0992556862063798,0.132920894606675,-0.265801238366629,-0.109660078839491
"miR205",0.134271462920689,0.167051606296689,0.0442639566319658,0.125350961945621,0.084307585860385,0.00632938518668493,-0.00408115271038642,0.0266811174932059,0.0304166106484119,0.0578989996469385,0.0573341398709005,-0.0861616702698312,-0.0862811052189683,-0.0266811174932059,-0.0269941570827763,-0.173994394565143,-0.0479646627277014,-0.0835061257746843,-0.0856052100749622,-0.0447696228611779,-0.043499202892683,-0.246223336718067,-0.134271462920689
"GSC",0.0171081094607718,0.0337018085901304,-0.193190936665173,-0.10904501843384,-0.0963806239309149,-0.24235983736398,-0.256108974367304,-0.170304254428379,-0.172571808447958,-0.0375762470477536,-0.0373597678048563,-0.0671977699345122,-0.0669198501798483,0.170304254428379,0.170409231803945,0.213446247494707,0.193464390583365,0.0961758699718291,-0.188940073018614,0.0690816191082309,0.192842117583405,-0.237041081318186,-0.0171081094607718
"TWIST1",0.0143298859460723,0.0938873791006536,-0.150713339853225,-0.158289172167606,-0.0920995629265947,-0.259729244246543,-0.253444724295681,-0.154123916947215,-0.156113875336998,-0.0387317799779959,-0.0385393060994508,-0.0958029596657922,0.00428281974224813,0.154123916947215,0.154233620328523,0.201289688715598,0.182007677108644,0.0918473138361015,-0.154904440017842,0.104468183721771,0.150353831811598,-0.215436957525352,-0.0143298859460723
"miR200c",0.123197235309745,-0.0281465459311081,0.176410253785972,0.0829892506759131,0.121784034959229,0.212922456601997,0.15591355265787,0.0360852632466047,0.0284142956205342,-0.0422494521073554,-0.0424413838649527,0.0514358986609453,0.0512687809242814,-0.0360852632466047,-0.0362341335508849,0.100911490636055,-0.0469509923560095,-0.121309078137122,-0.042397826636989,-0.158687071987927,-0.176141891695269,-0.205252810915856,-0.123197235309745
"miR141",0.1342605669523,0.115231818278882,0.187791431059769,0.168911488077942,0.210912172831874,0.23942141693022,0.207413811381514,0.058381647278968,0.0570441650711569,0.0630850538099014,0.0625092585371095,-0.00523251989086907,-0.00541738464381581,-0.058381647278968,-0.0587380878725744,-0.201714250797376,-0.184213218923764,-0.209999755778879,0.00753808949588396,-0.160986423895188,-0.186923306712664,-0.202173359356046,-0.1342605669523
"NP63",0.116676404729395,-0.00370340333243415,0.240274448593971,0.222567953699607,0.197690017191846,0.210087752827497,0.187109236709423,0.0993768829040781,0.154927439670972,0.054672845418919,0.154135442151507,-0.0421566893410598,-0.0421813723882942,-0.0993768829040781,-0.0996880056262154,-0.252687477825145,-0.151899721772317,-0.196815361662346,0.12853515978171,-0.171478318549043,-0.239150483464304,-0.14356465048844,-0.116676404729395
"miR101",0.133985345207916,0.0901390441235457,0.224976478924155,0.129316211416639,0.121370350484723,0.251608799768757,0.13977985368001,0.135416233026835,0.136385873604344,0.0474755381037649,0.0470215175284972,0.158995895829749,0.158706730263367,-0.135416233026835,-0.135671662973113,-0.20399571168973,-0.176032500633836,-0.120757450234029,0.0296377887158106,-0.112379729182884,-0.324318531719434,-0.132089146373477,-0.133985345207916
"TWIST2",0.116280925308277,0.136537406392517,0.0780852207509641,-0.0051367290343675,0.10333078528393,0.216629407377085,0.137743231705904,0.159146094575372,0.160486278150356,0.0391150057938012,0.0387932147183686,0.0585598404031021,0.0581979293990128,-0.159146094575372,-0.159310857659831,-0.206166774931613,-0.184363363898375,-0.102968665175757,0.0186409853134913,0.041269769333258,-0.0776576660682844,-0.0697031336832339,-0.116280925308277
"OVOL2",0.0973174531069344,-0.0957878378060628,0.0308162106583147,0.0585593025848095,-0.14785630593095,-0.135900082574112,-0.113880646780962,0.0837133260779159,-0.0466358792929969,-0.194994293602582,-0.194919746556914,-0.0359165950689981,-0.0357421471875507,-0.0837133260779159,-0.0836640060288404,0.120222229050071,-0.0462318797109765,0.147732297994442,0.0618710765262301,-0.0448940265080141,-0.0308644652671782,-0.0196353801482801,-0.0973174531069344
