"","miR200b","miR200a","CDH1","GSC","TGFbeta","ZEB1","CLDN7","OVOL2","TWIST2","KLF8","TWIST1","FOXC2","TCF3","miR34a","miR101","SNAI2","SNAI1","NP63","miR205","ZEB2","miR141","GRHL2","miR200c"
"miR200c",0.211126993810369,0.193947202498644,0.170096576133051,-0.127049112091923,-0.127169555687959,-0.189826650118159,-0.189709919729646,-0.131641090319617,0.133223271365936,0.151109960947396,0.0267292358031976,0.0273538983702109,-0.0268726908514843,0.0826523996515273,-0.150973078270259,-0.15280794024603,0.148056934667899,0.153549243227227,0.153524363184575,-0.199496171556263,0.189709919729646,0.209179361435191,-0.00623624398262782
"miR200a",0.211126993810369,0.193947202498644,0.170096576133051,-0.127049112091923,-0.127169555687959,-0.189826650118159,-0.189709919729646,-0.131641090319617,0.133223271365936,0.151109960947396,0.0267292358031976,0.0273538983702109,-0.0268726908514843,0.0826523996515273,-0.150973078270259,-0.15280794024603,0.148056934667899,0.153549243227227,0.153524363184575,-0.199496171556263,0.189709919729646,0.209179361435191,-0.00623624398262782
"TWIST1",-0.0691948792998508,-0.0594140080478546,-0.15687270939388,0.0749999148103233,0.0750534981574963,0.212758873668462,0.212712598338889,0.17069556669309,-0.113846276540366,-0.154990832803894,0.138405298336034,-0.0423131662923719,-0.238275403803859,-0.0351203572597796,0.154996808006802,0.104195062601269,-0.28982940699569,-0.193580886443682,-0.193510181753604,-0.119128581663062,-0.212712598338889,-0.229567568312507,-0.175338838471721
"SNAI1",0.0779213382814148,0.144389905114222,0.234508709782698,-0.053166332160504,-0.0532055581784778,-0.168036738961188,-0.16798817334549,-0.149588798732898,-0.0688760954748688,0.181215189319227,-0.303806826825343,0.140622197213685,0.303658144275361,-0.10046536358863,-0.181275400401186,0.055603367187464,0.242079912136663,0.161568007784835,0.161483469681429,-0.110169983975844,0.16798817334549,0.178193955134693,0.0358374161965779
"SNAI2",0.0674095564919476,0.0969180195232387,0.0756540044368322,-0.025223838361377,-0.0252630498231889,-0.107433392563471,-0.107342724827302,-0.10578733432756,0.0136143019751255,0.0266027046549852,-0.0789076200642512,-0.00688147194306822,0.0787784035245341,0.0457358330504049,-0.0263925142349512,-0.11024141108973,0.0506807464882259,0.110548014328137,0.110659242998005,-0.0866885553536277,0.107342724827302,0.117151645846882,0.00982280217359761
"TCF3",0.0676316701261058,0.0968922338823876,-0.0243144951958955,-0.0257351331720619,-0.0253363657259861,-0.107222399467529,-0.1072626291424,-0.105791390282884,0.0142705244972458,0.027791546615644,-0.0785818563797798,-0.00659903481743989,0.0782914401164691,0.0455324469929423,-0.0270912038947381,-0.0104919298198849,0.0508447379972185,0.111249895283572,0.112463768115942,-0.0864871767094247,0.1072626291424,0.117282348747373,0.00975542339594973
"KLF8",0.0676316701261058,0.0968922338823876,-0.0243144951958955,-0.0257351331720619,-0.0253363657259861,-0.107222399467529,-0.1072626291424,-0.105791390282884,0.0142705244972458,0.027791546615644,-0.0785818563797798,-0.00659903481743989,0.0782914401164691,0.0455324469929423,-0.0270912038947381,-0.0104919298198849,0.0508447379972185,0.111249895283572,0.112463768115942,-0.0864871767094247,0.1072626291424,0.117282348747373,0.00975542339594973
"CLDN7",0.0676316701261058,0.0968922338823876,-0.0243144951958955,-0.0257351331720619,-0.0253363657259861,-0.107222399467529,-0.1072626291424,-0.105791390282884,0.0142705244972458,0.027791546615644,-0.0785818563797798,-0.00659903481743989,0.0782914401164691,0.0455324469929423,-0.0270912038947381,-0.0104919298198849,0.0508447379972185,0.111249895283572,0.112463768115942,-0.0864871767094247,0.1072626291424,0.117282348747373,0.00975542339594973
"miR101",0.104208480049644,0.064775055565347,0.0126012912558146,-0.00191687857645502,-0.001998207337491,-0.0526460873275174,-0.0525887391847403,-0.0705394415810305,0.128320769535799,-0.194692180114749,0.27902159552149,-0.10560638752104,-0.278994315751076,0.112483934219942,0.0948729494477638,-0.135084120453376,-0.25483208704438,0.0685019037160915,0.0685255232835909,-0.082163576753174,0.0525887391847403,0.0645453230844388,-0.0202913036129569
"OVOL2",0.0123877031710232,0.117237942982956,0.00776908484056615,-0.0462165138815293,-0.0462220253453741,-0.111877825070667,-0.111830135436437,-0.110527114639372,-0.0582715001585013,-0.0865522598555826,-0.0307316718877682,0.00396465425529303,0.0306435487311607,0.128233401154284,0.0866860567256132,0.0750985352457315,-0.0522379252926543,0.0223051106037992,0.0224120694084535,-0.0264927599229067,0.111830135436437,0.0459087141278363,0.0973153522850161
"FOXC2",-0.222654011280209,-0.18492448724841,-0.198443399215039,0.0911101960367812,0.0912632555997473,0.185406726176209,0.185253263923247,0.130035609894639,-0.210410529169198,-0.13734870164449,-0.0240032510953344,-0.110935753073951,0.0242229446509901,-0.16328858321486,0.137062855316845,0.130763541188053,-0.151898493022679,-0.155759362896813,-0.155813578131294,-0.0145965302513726,-0.185253263923247,-0.217143788696757,-0.19689716347461
