"","TWIST2","ZEB2","miR101","ZEB1","GRHL2","GSC","TGFbeta","miR200a","TWIST1","TCF3","miR200c","SNAI1","FOXC2","miR200b","CDH1","miR34a","miR141","CLDN7","NP63","miR205","OVOL2","SNAI2","KLF8"
"ZEB1",0.2269462914765,-0.117622746439168,0.122018032048921,0.0998596148618579,0.158623998469162,0.0726909514789703,0.07254116289812,0.162654428475365,-0.145013156654543,-0.145686806200536,-0.162654428475365,0.100333668854966,0.0884457523499051,-0.200966265355744,-0.21031375819083,-0.214099985615641,-0.199356180620513,-0.199356180620513,-0.20439493696299,-0.204432297579153,-0.238605508364032,-0.131296789984738,-0.122242874989514
"TWIST1",0.154793826120451,-0.117087983369412,0.110476691453117,0.094254890374759,0.0882598905506527,0.0203529751934665,0.0203783567789695,-0.00990847182045916,-0.1417319906715,-0.0419239731561618,0.00990847182045916,0.025499970642052,0.116297389970726,-0.0207082709255532,-0.0768556960831722,-0.076458553173351,-0.0940040163880344,-0.0940040163880344,-0.114277954575082,-0.113865510549628,-0.133097281711123,-0.136742213058453,-0.110773459864211
"NP63",0.0518116726650976,-0.108101996752216,0.0371082318455087,0.048845886790007,0.0671280518638848,0.109812062095222,0.1095844120259,-0.00069755882320355,-0.108361164717991,-0.109404584441989,0.00069755882320355,0.0196764926831218,-0.00613276025069577,0.0321873539412362,0.0365543641456482,-0.0652189217882918,-0.0483759795161138,-0.0483759795161138,-0.238407318742347,-0.139079072826612,-0.194693175232431,-0.04405173062368,-0.0373056110877917
"ZEB2",-0.0913590100826635,-0.0812670031847386,-0.0740227093142051,-0.0323000839780371,-0.0279602913161633,-0.00532573474864597,-0.00527462291225311,-0.00395300445722101,0.000399886521151684,0.000615841186909068,0.00395300445722101,0.0102453352827328,0.0131063558314696,0.0173506414836421,0.0179608399933933,0.0256372871005928,0.0322369915660658,0.0322369915660658,0.0423024275310177,0.0426355542741228,0.0504402736898881,0.0644621291612757,0.073997850265014
"miR205",0.219893390038735,-0.067100296016161,0.111634194365358,0.208421731128259,0.174522484213858,0.0490634634818284,0.0485540205362642,0.0766121183208825,-0.132680571192221,-0.133776077967065,-0.0766121183208825,0.0972304225267042,0.0876143271509338,-0.103706450816014,-0.161709759358384,-0.217271414898804,-0.208021114986844,-0.208021114986844,-0.214026173364471,-0.215651383948159,-0.242641201050839,-0.118158175232501,-0.112766931082299
"SNAI1",0.0628255351393878,-0.0651077808556138,0.0947900122354538,0.0286775422102959,0.0285464616295197,0.00134489550489579,0.00143915504062366,-0.029081795952386,-0.0342003699548703,-0.0341048248110672,0.029081795952386,-0.0785655408886587,0.0252615396178914,-0.00940751226707318,0.0955431658044248,-0.0687374952635917,-0.02857400247953,-0.02857400247953,-0.0418451079685588,-0.0411197955451332,-0.0525459828486827,-0.0653534609317714,-0.0945438643408138
"miR101",-0.0174815262541983,-0.0611565292916381,0.0690226085845343,-0.122244006906996,-0.103129276486392,-0.0368740169719425,-0.0366124234312907,-0.0967713688002479,0.00486548229541052,0.00542308080266148,0.0967713688002479,0.00407402589969424,0.0196967250184249,0.029899156180013,0.0442279432941718,0.0509209000434245,0.122048232212688,0.122048232212688,0.155581362559415,0.156431666989396,0.185557540131769,-0.0516731989762706,-0.168759429702646
"OVOL2",-0.0420809770182428,-0.0564032946175276,-0.0899974091810807,0.280670262806947,0.239268823379856,-0.176937897939028,-0.177455975540439,0.227393358915495,0.0636759044777238,0.0630968094485892,-0.227393358915495,-0.0555722179326144,-0.0592941605528443,-0.174655485715584,-0.0194571391514702,-0.202922036019022,-0.280903276261945,-0.280903276261945,-0.00827861772570284,-0.0109223368670073,-0.0756385689930182,0.0757292448383564,0.0890542509169306
"TGFbeta",0.0693564168052421,-0.0473092277199743,0.0255822371029427,-0.081384471365614,-0.0731914533978305,0.173974807475749,0.0743601195698576,-0.0731928072832456,-0.0551291082798219,-0.0546571640055497,0.0731928072832456,-0.000611911557855812,0.0104308194935709,0.100526707699341,0.11452113729603,-0.00223148737133848,0.0813709193938021,0.0813709193938021,0.0851378676384456,0.0866805223127438,0.0915588201376492,-0.0543965550510477,-0.02522838594202
"GRHL2",0.0649884714690273,-0.0453879202123625,0.0535938341129573,0.0470459713000076,-0.0852898919525723,0.139194081824789,0.139130333536292,0.0541403331084775,-0.0747578006626027,-0.0753936755686666,-0.0541403331084775,0.0815452517039386,0.080359933714385,-0.0672102760286336,-0.109804985455782,-0.0679188217962491,-0.0464251842127284,-0.0464251842127284,-0.210914234714436,-0.210322395500315,-0.186665840823208,-0.048896529959166,-0.0539521245306694
