"","miR101","ZEB2","TWIST2","FOXC2","CDH1","OVOL2","TCF3","NP63","GRHL2","miR141","CLDN7","miR34a","GSC","miR200c","miR200a","TGFbeta","ZEB1","miR200b","miR205","TWIST1","SNAI1","SNAI2","KLF8"
"ZEB2",-0.0956405844953492,-0.0903048780095987,-0.0894489398039932,-0.0228195384406991,-0.0228114833761748,-0.00925659576521325,-0.00881780001570218,-0.00805481841907785,-0.00641494255772902,-0.00546576669426437,-0.00546576669426437,-0.00512892471869704,-0.00386629691422477,-0.00367040877121512,0.00367040877121512,0.00401840081288786,0.00557795825952083,0.00582998718930959,0.0082097610902895,0.00891035201531249,0.0296219488893887,0.0753632538553535,0.0955679960717112
"TWIST1",0.0157295221078623,-0.0878232836331756,0.149410232198074,-0.0770738932585093,-0.0295571061597035,0.048427962204521,0.084770058636938,0.0556040042228775,0.0686768296367793,0.0641145827968778,0.0641145827968778,0.0814739038180732,0.0167880288498952,0.0164521923972027,-0.0164521923972027,-0.016825944551696,-0.0641926955531968,-0.0332886149573845,-0.0558004061397602,-0.184749634968357,0.139295289130844,-0.126423015882084,-0.0156508486029079
"SNAI1",-0.0874424414461989,-0.0854185481239028,0.0608298802666335,-0.143423651532594,-0.0713175864613301,-0.0849547619418896,0.163666910471349,-0.099093528413981,-0.117571546810471,-0.109945383685358,-0.109945383685358,0.0659812319416718,-0.0186572039247581,0.100328417129824,-0.100328417129824,0.0187307771027486,0.109957196943231,0.0449495465389538,0.0990592230966568,-0.163566255961567,0.0102055025850065,-0.0601417862427449,0.0874171715102473
"SNAI2",-0.23755372541082,-0.0477959740055935,-0.253337106083651,0.0538197601267514,-0.213511845599914,-0.0145257367799575,-0.132631475223312,-0.0162986674823837,-0.019585122774831,-0.0179154046506057,-0.0179154046506057,-0.0084117104930544,-0.214969728073784,0.0324166199439124,-0.0324166199439124,0.214993427308945,0.0178521600482497,0.241002380108025,0.0160192393605205,0.132552131734012,0.00620094264863319,0.157751674260849,0.237544707339993
"TCF3",-0.237560882811508,-0.0476953936001303,-0.253451836120358,0.0535714034980653,-0.313367589742926,-0.0143335572069676,-0.131910746650028,-0.0161990030996063,-0.0194138860576037,-0.0175536649220619,-0.0175536649220619,-0.00816364479690778,-0.214831403615681,0.0321766031926303,-0.0321766031926303,0.21513954209674,0.0179523044276027,0.240846380053237,0.0173550724637681,0.132636787308305,0.00619600802850841,0.257701999085162,0.237307567359266
"CLDN7",-0.237560882811508,-0.0476953936001303,-0.253451836120358,0.0535714034980653,-0.313367589742926,-0.0143335572069676,-0.131910746650028,-0.0161990030996063,-0.0194138860576037,-0.0175536649220619,-0.0175536649220619,-0.00816364479690778,-0.214831403615681,0.0321766031926303,-0.0321766031926303,0.21513954209674,0.0179523044276027,0.240846380053237,0.0173550724637681,0.132636787308305,0.00619600802850841,0.257701999085162,0.237307567359266
"TWIST2",-0.00579685874480982,-0.0137080412582306,-0.141806189474162,0.113950724680384,0.115215682240519,0.0525355462967823,-0.10261427546439,0.0617164266428255,0.0777026697616944,0.0730356364359363,0.0730356364359363,-0.048505675868076,-0.00580342333192418,-0.0311327923006169,0.0311327923006169,0.00579168922141069,-0.0730516715107792,0.0337902696018581,-0.0617729112464919,0.102560131298424,-0.175928285968683,0.146382670423544,0.00578382354106958
"TGFbeta",-0.0643777327650071,-0.00938190358035045,-0.188540242986491,0.0932499569728073,-0.0223677966246855,0.0714048085982429,-0.033942796700815,0.0786226213054304,0.0875248342539267,0.0828867820449569,0.0828867820449569,-0.0513492786962467,-0.200840452028452,-0.0363100172390989,0.0363100172390989,0.100826116854714,-0.0827558940134066,0.11080829404119,-0.0781320244125441,0.0340108655865273,-0.0728286061015202,0.203692527300974,0.0643257976631104
"OVOL2",-0.11566025762696,-0.00580315373739743,-0.134231256419384,0.0857618180502769,0.00693298184386949,-0.080329976290127,-0.0360995334260266,0.0233359139475155,0.0274453395843816,-0.0102857902742662,-0.0102857902742662,-0.0650375604091011,-0.0388441517851534,0.00870688849584951,-0.00870688849584951,0.0388296841925609,0.010344621076607,0.0942282036465682,-0.0231057904587137,0.0361337036296091,-0.0663153986467525,0.12852922083953,0.115631743539904
"miR200b",-0.0146042516634198,-0.00578209490213046,-0.0956978392923815,0.0861266019403687,0.00176580584008366,-0.00928908625044635,-0.0115114422558967,-0.00283157995328023,0.00514726370798535,0.0117855957576046,0.0117855957576046,-0.079161688554055,-0.128904972779472,-0.00370937725536437,0.00370937725536437,0.129045869061629,-0.0115465551340902,0.0624586257747264,0.00352466685571492,0.0116963070088434,-0.0652301280932893,0.104205260409327,0.0144637668105687
