"","SNAI1","miR101","ZEB2","miR200b","OVOL2","miR205","GSC","miR141","CLDN7","TWIST1","TCF3","GRHL2","miR200a","miR200c","miR34a","ZEB1","TGFbeta","NP63","CDH1","FOXC2","KLF8","TWIST2","SNAI2"
"NP63",-0.140608657837673,0.336341363156509,-0.111100856196147,0.205106815647254,-0.123652055169544,-0.114771008177951,0.0364304517696578,0.0206465008640291,0.0206465008640291,0.256017125004132,0.255328243594954,0.101661261969208,0.0256624009136769,-0.0256624009136769,0.050018958306558,-0.0212046217777867,-0.0369559297492207,0.0136370872837122,-0.16922199841554,0.15404943284527,-0.335842432294071,-0.28542129614491,-0.336849637463602
"ZEB2",-0.116796501455019,-0.104042673772694,-0.0820958310091124,-0.0539204077862837,-0.030439255959298,-0.0227527257003635,-0.0218433767896557,-0.0160174120867721,-0.0160174120867721,-0.0120831299726331,-0.0114287710981953,-0.0110388680841593,-0.00275469439224849,0.00275469439224849,0.0129878274000396,0.01727508689817,0.0226174439986415,0.0249529116315689,0.061272244930946,0.0988362703744973,0.104439424197784,0.146873313055612,0.175600660732728
"TCF3",-0.131499114966578,0.388027160316997,-0.0460029272359365,0.318582944090389,0.071031900974895,0.0721014492753623,0.246407395096609,0.0907912084685119,0.0907912084685119,0.284062979495239,0.282610898178685,0.0821529639169599,-0.0241804267356893,0.0241804267356893,0.110142226265143,-0.0916726040725057,-0.247603697434836,-0.0742401775990617,-0.273060192906412,0.152848562089926,-0.386551970330407,-0.349857106658429,-0.420222185911169
"CLDN7",-0.131499114966578,0.388027160316997,-0.0460029272359365,0.318582944090389,0.071031900974895,0.0721014492753623,0.246407395096609,0.0907912084685119,0.0907912084685119,0.284062979495239,0.282610898178685,0.0821529639169599,-0.0241804267356893,0.0241804267356893,0.110142226265143,-0.0916726040725057,-0.247603697434836,-0.0742401775990617,-0.273060192906412,0.152848562089926,-0.386551970330407,-0.349857106658429,-0.420222185911169
"GSC",0.259619501043598,-0.23092677528162,-0.0194112772136117,0.0488963379550954,0.107612038706278,0.103993092239234,0.0217549223127638,0.107404660701356,0.107404660701356,-0.150068406146469,-0.149518955597019,0.097647032197504,-0.0395226265558673,0.0395226265558673,-0.0416006726004147,-0.106727496297133,-0.0212983515442947,-0.102870465368987,-0.081270172091313,-0.281312281207359,0.230958928995862,0.0483221834439876,0.117021314142997
"FOXC2",-0.137351367566023,0.02002863740011,-0.0185284332794932,-0.0201311550758783,-0.106816580209858,-0.0785385204962862,-0.00992490131571979,-0.0281230870745443,-0.0281230870745443,0.109316388388768,0.107254648866461,-0.0049891157558963,0.0241625313677473,-0.0241625313677473,-0.0144585332799488,0.0247362899295374,0.00823039083493908,0.0729407975361344,0.0936774776422426,0.141170402618453,-0.0209991455903776,-0.0658780501316673,0.0195644109023662
"ZEB1",-0.137199812354601,0.0209008222709723,-0.0181076745002237,-0.0182234244665228,-0.104813754513649,-0.0729407975361344,-0.00823039083493908,-0.0247362899295374,-0.0247362899295374,0.1083194351356,0.109316388388768,-0.00260383762453414,0.0224911836087378,-0.0224911836087378,-0.0119030388752524,-0.0732111634966603,0.00921670861998904,0.0763980914779668,0.0922639735816685,0.142285890399437,-0.02002863740011,-0.067788037409021,0.0201020356482016
"miR200b",0.235211510710821,-0.0189745048405986,-0.00724102769393513,0.0967128351715165,0.104140132646626,0.0798553553284354,0.133876287843943,0.0347114214367109,0.0347114214367109,-0.0570810308457748,-0.055754441378629,0.0162691917661563,-0.0155165679580022,0.0155165679580022,0.00320945565860594,-0.0326359417373084,-0.132817293207092,-0.0765178753213268,-0.130092884217798,-0.200509106921365,0.0195868747120009,-0.053091814243675,-0.139271400042677
"TGFbeta",-0.19811332673404,0.0446467845317694,0.00852694649387615,-0.110257426241621,-0.0101626358114196,-0.011024888241694,-0.204551739405035,-0.0139596235655628,-0.0139596235655628,0.0139305974383118,0.0138693354411707,-0.012266846312402,0.00432367602048778,-0.00432367602048778,0.140160908246038,0.0138856881244118,0.104529585045622,0.0109349454779982,0.110418391157015,0.155922601491347,-0.0446557866160982,0.149466571036327,0.107088469132337
"GRHL2",-0.02693957842901,0.0481139078460683,0.0157123003885695,0.0774634150071907,-0.124108550571958,-0.0184251320500273,-0.10759558174326,0.0231948110619547,0.0231948110619547,-0.00438530563325304,-0.00343149327415714,-0.014092252655652,-0.0216125802412083,0.0216125802412083,0.0312873630650571,-0.0211874611874004,0.108500807439917,0.021769631069414,-0.103123163190746,0.0509988332443329,-0.0471376324818357,-0.0175220280607062,-0.0511866528172211
