"","KLF8","ZEB1","miR141","CLDN7","CDH1","TCF3","SNAI1","miR34a","ZEB2","FOXC2","miR200c","GSC","NP63","miR205","TGFbeta","miR200b","miR200a","TWIST1","OVOL2","GRHL2","SNAI2","miR101","TWIST2"
"NP63",0.0608663283840165,0.0168947038791821,0.016943899947568,0.016943899947568,0.154821541468396,0.121383977512749,0.0515707222945847,-0.0029350416092535,-0.159067201530722,0.0807759410599584,-0.0469176990705597,0.0639539599012986,0.0215802590359401,0.12148890048048,-0.0640395426341264,0.0482077731241061,-0.066871554115501,-0.12111246399317,-0.0899015681147013,-0.137280483891471,-0.0629222502711351,-0.0605839664124172,-0.0444385041536977
"miR34a",0.075361054822702,-0.102111442215874,-0.102088359233743,-0.102088359233743,0.0107871692303122,0.106026892365099,0.0855611851684981,-0.100118918847192,-0.116692906704119,0.136985181988262,-0.147605187917625,-0.0313944179606325,0,0,0.0316134502362149,0.0601485517833608,0.0540054065613515,-0.105993037562835,0.104820419753981,0.0988146498029312,-0.0672453180674948,-0.0755809764576128,-0.138813229868035
"SNAI1",0.101563771230626,0.0828003820256703,0.0829009877446769,0.0829009877446769,-0.00636040043067038,0.0172149495068149,-0.0775532909607344,-0.014203461952318,-0.105239871951903,0.0957991524484349,-0.0127078917876,-0.0175040009271942,0,0,0.0173258250346071,-0.0364717856792302,-0.0915572521553271,-0.0170008670723042,-0.085738217530677,-0.0816452943774552,-0.0815302352071597,-0.101161636077026,-0.0079097635460771
"CDH1",0.0383146378869367,-0.0277909755921881,-0.027574389944597,-0.027574389944597,0.109168228377258,0.0957135612524747,0.0307024091798662,-0.0258021845770568,-0.075226374843952,0.0615952514628308,-0.0509375835637213,-0.023314170661827,0,0,0.0239463698557219,0.000201746263564802,-0.0227830190957606,-0.0947414496986898,0.0307186484839646,0.0271772555657652,-0.04118936803234,-0.0383631643014817,-0.0250716724829622
"TCF3",0.0359751951809316,-0.027574389944597,-0.0285655028436937,-0.0285655028436937,0.208685942208164,0.0939226609620584,0.0303450756274779,-0.0271266878883151,-0.074567293549837,0.0620433069022238,-0.0520733923232483,-0.022824774250734,0,0,0.023314170661827,-0.000148809152294502,-0.0227681580465705,-0.0957135612524747,0.0313500704649054,0.028057040002346,-0.0422421539868135,-0.0383146378869367,-0.0250506168962132
"CLDN7",0.0359751951809316,-0.027574389944597,-0.0285655028436937,-0.0285655028436937,0.208685942208164,0.0939226609620584,0.0303450756274779,-0.0271266878883151,-0.074567293549837,0.0620433069022238,-0.0520733923232483,-0.022824774250734,0,0,0.023314170661827,-0.000148809152294502,-0.0227681580465705,-0.0957135612524747,0.0313500704649054,0.028057040002346,-0.0422421539868135,-0.0383146378869367,-0.0250506168962132
"ZEB2",-0.187685177634565,-0.157143334592984,-0.156731638192689,-0.156731638192689,-0.129274307344191,-0.124477346738877,-0.118145842399746,-0.105920123033277,-0.0582514770439277,-0.0582065548075474,-0.0536403059867587,-0.00951334777176665,0,0,0.00927995757908119,0.0507003856970791,0.0949096703397618,0.124806961755033,0.139809289666585,0.150460401957387,0.169437062904692,0.188443875815877,0.189661061890891
"TGFbeta",0.115360708486561,0.101502605690161,0.101293150530891,0.101293150530891,0.0693258696580009,0.133193081243762,0.101800510582536,-0.0488172353235487,-0.0549009471223079,0.0617281650644255,0.0270521553235957,-0.00164273525485934,0,0,-0.0980692580727689,0.056480517877802,-0.0746514552438187,-0.133535694635181,-0.0999487815966464,-0.100452556942813,-0.123735096920789,-0.116071873148532,-0.0969906497986715
"ZEB1",0.128500734505935,0.228657148832588,0.328246057828146,0.328246057828146,0.301735640666507,0.14081562170296,0.122172961052571,0.283788027286017,-0.0432604345850966,0.147769789570288,0.266391751757362,0.048991744593882,0,0,-0.0490102680672391,-0.238260658120492,-0.298936034113494,-0.14149047312147,-0.208026905050771,-0.305969270894683,-0.132847464016312,-0.129085620063817,-0.247096754309509
"miR141",-0.0199048054452522,0.290001830481382,0.289608786094819,0.289608786094819,0.190796452578843,-0.034713165002388,-0.0366825366007352,0.252146880231094,-0.0144155180133516,0.0111206110507596,0.145255367903183,0.114010177327344,0,0,-0.114093124332162,-0.155943800658399,-0.157866427485703,0.0340343416295676,-0.193243958684745,-0.279049772329655,0.0104970367081807,0.0193140486281347,-0.106424013177705
