"","SNAI2","ZEB2","miR101","miR34a","CLDN7","OVOL2","SNAI1","miR200c","miR200b","TWIST1","TCF3","CDH1","NP63","miR205","GSC","TGFbeta","miR200a","FOXC2","GRHL2","miR141","ZEB1","TWIST2","KLF8"
"miR101",-0.0330988150059352,-0.105139027566001,-0.0670679936710812,0.199937375859196,0.279095373387396,0.201137265106768,0.0343901098530888,0.198418571029461,0.0692623937073605,-0.0441804966314605,-0.0442012292569747,-0.0770652143245716,0,0,-0.0442487632732526,-0.0446403151433948,-0.0941839754908926,-0.0412321385330315,-0.270735771546125,-0.279095373387396,-0.279534383307966,0.075867063895606,-0.0328655470153106
"miR34a",0.0646186993336783,-0.096132492244607,0.0061751881854353,0.178669747915923,0.266727362291446,0.203355965503917,0.0386364341653261,0.237512751755389,0.122500569594306,-0.0452574273962427,-0.0454377239013249,-0.0824593076928223,0,0,-0.0538620391767149,-0.0542168352594765,-0.160496970626256,-0.0476173306187348,-0.26034365887676,-0.266727362291446,-0.267097165943316,0.073522645002303,-0.00618671246324722
"FOXC2",0.121365693451462,-0.0805514848846369,0.0558385794277041,0.323932955992266,0.336270859682073,0.213135928368122,0.126347293037943,0.315225428405312,0.266773079660681,-0.0986226603780446,-0.0985381628566386,-0.176519475477168,0,0,-0.0624352358040785,-0.0630463885271275,-0.259662509976406,-0.116391978339808,-0.31288317931397,-0.336270859682073,-0.337051774249085,0.0693767296478905,-0.0556725489260181
"ZEB2",-0.0847030764422757,-0.0800493659156519,-0.0780734589803578,-0.0476921941000143,-0.0380232674720304,-0.0362014313510927,-0.0332953743771153,-0.0263654374086149,-0.0199360952306919,-0.00319782171545651,-0.00318320824183383,-0.0018430983106303,0,0,0.00737896147414565,0.00740051465816673,0.00756996488811007,0.0320672796564321,0.0375436578061233,0.0380232674720304,0.0380878328586003,0.0745032483159739,0.0779829720413022
"GSC",-0.0230165193438435,-0.0799265591203629,-0.0649900497598856,0.210147673968455,0.287353332543763,0.22251898731405,0.0484782808519032,0.200278722642529,0.0870507529320666,-0.156279190064787,-0.156323912783928,-0.0790355327423924,0,0,-0.0446157926664227,-0.0450540272594513,-0.117612324939365,0.145519083083451,-0.278435223958163,-0.287353332543763,-0.287861809165181,0.0815822125394164,0.0650923570324711
"NP63",-0.018809539797453,-0.0655456615299407,-0.0251057862185311,-0.130390904425883,-0.15649750556453,0.0333870939740054,0.0403231576828698,-0.0809876748628937,-0.0177492069134576,0.036149219860687,0.035752047191552,0.147655932853953,-0.193682862375492,0.0936828623754921,0.0299948851655927,0.0301181243008648,0.119600099193088,-0.0427280543382189,0.168522194183139,0.15649750556453,0.15677130713134,-0.0222825148955572,0.0248261656252968
"TWIST1",0.0630502601288435,-0.0632050552804448,-0.00401603969563633,-0.0833660620747876,-0.180108938049716,-0.151582531167456,0.00512617284314317,-0.0623851649133303,-0.0679787557368524,-0.00594134990273753,0.0938601320386547,-0.080025851804199,0,0,0.00564067727567951,0.00577698579041806,0.131999211495449,-0.126380791393911,0.175561496345555,0.180108938049716,0.180371658520811,-0.0994302573443719,0.00389753150462902
"miR205",0.0689980659785148,-0.0399763721052006,0.0292524649569808,0.280193333962494,0.290328346948406,0.187612847271511,0.110275131732478,0.169963755191518,0.136903444953567,-0.101045023192751,-0.101012075620575,-0.0825155602316993,0,0,-0.0377222944785175,-0.0381158827978318,-0.136055582164917,-0.102809320684392,-0.277764854653091,-0.290328346948406,-0.290861259583032,0.0893588251935464,-0.0291610950339569
"miR141",-0.0295551702613932,-0.0394496864609862,0.0167231703512982,0.175280529522951,0.283236012607955,0.185834669141571,-0.00612536952818703,0.165189062279938,0.100867056798919,-0.0895698717558815,-0.0897340316564982,-0.0617245792921348,0,0,0.0742452086028043,0.0738225197563358,-0.13111623815107,0.0514686769549088,-0.273983710125868,-0.283236012607955,-0.283734404496198,0.0690069497016487,-0.0167267725270123
"OVOL2",0.0831613502799771,-0.0375456256682937,0.0792659781834683,0.224729928753213,0.306646704014766,0.295445896808415,-0.0370016725788507,0.278949492419331,0.132935951324224,-0.0292808129161698,-0.0293923156857547,0.084492327906858,-0.186889225233431,0.186890305625397,0.17099912630639,0.170531340812563,-0.249943843213986,0.0732531240223978,-0.289658568576073,-0.306646704014766,-0.307224821945389,-0.0376445717342382,-0.0791870160962372
