"","TWIST2","KLF8","ZEB2","SNAI2","CLDN7","ZEB1","GRHL2","miR34a","miR200c","SNAI1","miR200a","FOXC2","TWIST1","TCF3","TGFbeta","GSC","miR200b","CDH1","miR141","NP63","miR205","OVOL2","miR101"
"ZEB2",-0.0947197499074803,-0.0904895696427085,-0.0877549014567608,-0.0754201001030982,-0.0348677631716357,-0.0348051617511972,-0.0300142490125762,-0.0273901672962603,-0.0210960413261691,-0.0158076587668308,-0.00941191311651904,-0.0074905522423858,-0.00112919914032671,0.00101066763205386,0.00557985483163927,0.00569131558329116,0.0198331914760236,0.0260087380018043,0.0348677631716357,0.0445766849882843,0.0445844321218449,0.0532583870853736,0.0907829064231633
"NP63",0.0797951423953327,0.0513445174574005,-0.0797287558616649,0.0455878006312709,0.215601347942055,0.215619329953258,0.194819890971536,0.168917048623272,0.160595140974313,0.0718050263420093,0.110459676327006,0.00625137985995766,0.107179169880418,-0.107886002596675,-0.142666032077884,-0.142590719272995,-0.0554900425641381,0.0859081999666921,-0.215601347942055,-0.373137460969179,-0.272293737839343,-0.337300884085113,-0.0515528622131436
"miR101",-0.0252379091091578,0.000225617362149135,-0.07297504697685,-0.09389135835686,0.158179377545729,0.158251227517714,0.132149371013855,0.012267371943139,0.122930080074108,0.188395289797505,0.0452175297417887,-0.0611526651529159,0.208065013168468,-0.208602970241022,-0.0497737425796237,-0.0496387536051207,-0.099319222290994,-0.0182705277134883,-0.158179377545729,-0.185955345406368,-0.185477705263601,-0.21804518555315,-0.10012194083292
"GSC",0.126571587972435,-0.0555054512047902,-0.0695518977991145,0.104379651205346,0.194576143107994,0.194566007361388,0.169571297223221,0.173782729972252,0.141948784747528,-0.125273941391635,0.0682169023683613,-0.123598679771816,-0.256688397508138,0.25637214399421,-0.0399978807223888,-0.0399844341937324,-0.155409272038397,-0.0384264837291408,-0.194576143107994,-0.206658810595744,-0.206407847933624,-0.232873944399665,0.0554265284516528
"TWIST2",0.0802660729304332,-0.00346353704002247,-0.068591849739229,0.0913488102178539,-0.17706858461386,-0.177083113037375,-0.156274916842572,-0.0535456302309743,-0.05765308109483,-0.093832674536174,-0.125965092229131,-0.0493047208156777,-0.227388033214698,0.227728571521695,0.033711060162431,0.0336742205131444,0.00688645465737196,-0.110251954260632,0.17706858461386,0.19352582088533,0.193150968515544,0.219047659862828,0.00348265533884148
"SNAI1",-0.146942925517991,0.100469093981568,-0.0434196335235297,-0.121824701557554,-0.0967856079459361,-0.096740594028683,-0.0895718029817814,-0.207864678394418,-0.0209222547633223,0.136802066965876,-0.0753503809389362,-0.082491617432699,0.273837391283719,-0.273866514669798,-0.00443139936985249,-0.00437421915459728,0.0547953758711013,-0.031567102717958,0.0967856079459361,0.11068066026,0.110763973173502,0.126183031766132,-0.100513706337631
"OVOL2",-0.184384546770136,-0.163492223052952,-0.0268355478102404,-0.171078826278224,-0.211011214003099,-0.210926568299039,-0.0248176818431004,-0.150704471717931,-0.196572031732085,-0.0697844283902118,-0.216907160670634,-0.030430588239215,0.0101261064759989,-0.0100487739099964,0.222578865456022,0.222657403815811,0.172817939717064,-0.0355034542444768,0.211011214003099,0.3200836687529,0.320253290291594,0.298602214867106,0.163469192444176
"TGFbeta",0.051299563987795,-0.0849037941668624,-0.0199264737804998,0.0222477281561794,0.137088847241694,0.137066374984639,0.124573985237379,0.221706345976822,0.0797952784320342,-0.19954696323354,0.0624707732133128,-0.0164764716152015,-0.171263001154243,0.171110980642818,-0.110911654984193,-0.0109259901579306,0.0056621705140008,0.0569437754037873,-0.137088847241694,-0.149066674587894,-0.14891404444344,-0.167184223242906,0.0846981311633516
"TCF3",-0.0411505195021382,0.0194627390004884,-0.0154731511482154,-0.0345989978128152,0.0329480523780328,0.0332954904791922,0.028367740909827,-0.0194049814242614,0.0252839711173439,0.101915525764464,0.00903794754554463,-0.00891107613455786,0.156335275568135,-0.156674094541997,-0.0124398066574046,-0.0119322844533082,-0.00588692550589637,-0.00204881355946867,-0.0329480523780328,-0.0417512775404205,-0.0409420289855072,-0.0506532371318291,-0.0196266489989983
"miR34a",0.0421610549750754,-0.0774735219701506,-0.0148835097125104,-0.0141863097985425,-0.183813361783652,-0.183872854005639,-0.160075806417561,-0.0255446921241306,-0.143439238846777,-0.167671511892434,-0.155631035873986,0.0640525910358608,-0.131460908319436,0.131902595390838,0.0322641837473275,0.0321489353598998,0.0956089908763326,0.0218106253317145,0.183813361783652,0.198919405742268,0.198372544047186,0.225647877888973,0.077465839118276
