"","miR200a","miR101","TWIST2","TCF3","TGFbeta","GSC","miR34a","OVOL2","NP63","ZEB1","CLDN7","GRHL2","ZEB2","miR141","miR205","TWIST1","SNAI1","FOXC2","SNAI2","miR200c","KLF8","CDH1","miR200b"
"miR200c",0.106702730597396,-0.114433608213123,-0.0757781932371205,-0.186826533765501,-0.0873882410142207,-0.0880802235612619,-0.0957867602480093,-0.0409234644019627,-0.0219743550115663,0.0260165511580565,0.0254570041523137,0.0260164354916536,-0.183510436692623,-0.0254570041523137,0.0204637809934394,0.186765898126534,0.201261185261014,0.204233508041,0.0708932994347403,-0.0789379534587538,0.114489441936692,-0.0741593930247378,-0.0537738682133384
"miR200b",0.106702730597396,-0.114433608213123,-0.0757781932371205,-0.186826533765501,-0.0873882410142207,-0.0880802235612619,-0.0957867602480093,-0.0409234644019627,-0.0219743550115663,0.0260165511580565,0.0254570041523137,0.0260164354916536,-0.183510436692623,-0.0254570041523137,0.0204637809934394,0.186765898126534,0.201261185261014,0.204233508041,0.0708932994347403,-0.0789379534587538,0.114489441936692,-0.0741593930247378,-0.0537738682133384
"miR205",0.0855108873718447,0.0565620327464935,0.116083346187906,0.0985848639940738,0.0149868438810273,0.0156280119495878,0.00151697359704071,0.0571911523818166,0.0394077127731903,-0.00131771925466561,-0.000853749862981033,-0.00680616989693747,-0.164662093909638,0.000853749862981033,-0.0378518709339276,-0.0989596426275733,-0.0996789442400419,-0.105261438062146,-0.0449791905881274,-0.0856215679521957,-0.0565057088213417,-0.0489466169560962,-0.0999789172511956
"SNAI1",0.119047975012453,-0.159241844338258,-0.0449809141823377,-0.271372231108692,-0.0105845762105653,-0.0104360637743563,-0.132349507797739,0.0964678446196825,0.0938766991050607,0.0960493460348772,0.0961485619588399,0.0904341751473704,-0.153068758505526,-0.0961485619588399,-0.0935250696024878,0.271438141929818,0.184001006101313,0.303942265498202,-0.0526049828566001,-0.0234973538174058,0.159192864338944,0.118615537925925,-0.0327204029848455
"TWIST2",0.0209456541175811,0.131136860698081,0.124072783337704,0.280229780284701,0.0440904048179802,0.0438025097809632,0.0420014042492311,-0.0721831161980189,-0.0648724399914531,-0.0591957760882507,-0.05941198055375,-0.0551216675757142,-0.0943165850755204,0.05941198055375,0.0642442627324969,-0.280464879952712,-0.158929862337111,-0.200045688248273,-0.116934827823405,-0.0792134472159139,-0.130989997402608,-0.121584840084769,-0.0900763764761427
"KLF8",0.0359968971231992,-0.0703208499900078,-0.0453141190373539,-0.170480732091393,-0.00701437576916759,-0.00674248887411593,-0.0328190576085829,0.0269017456800424,0.0251648236575354,0.0233210256340284,0.0233393118498789,0.0212003191849349,-0.0492593046084378,-0.0233393118498789,-0.0245289855072464,0.170529134801944,0.125343551585104,0.14457605531657,0.0361035822062033,-0.0124709344313089,0.0702463454452306,0.0984511645299347,0.00363389277790764
"CLDN7",0.0359968971231992,-0.0703208499900078,-0.0453141190373539,-0.170480732091393,-0.00701437576916759,-0.00674248887411593,-0.0328190576085829,0.0269017456800424,0.0251648236575354,0.0233210256340284,0.0233393118498789,0.0212003191849349,-0.0492593046084378,-0.0233393118498789,-0.0245289855072464,0.170529134801944,0.125343551585104,0.14457605531657,0.0361035822062033,-0.0124709344313089,0.0702463454452306,0.0984511645299347,0.00363389277790764
"CDH1",0.0361009244675297,-0.0705828926285507,-0.0455948601940074,-0.170529134801944,-0.00676681556702752,-0.00701437576916759,-0.0329356138999737,0.0268574762422642,0.024599851906123,0.0235135462096649,0.0233210256340284,0.0211126653849803,-0.0492414916004888,-0.0233210256340284,-0.0251648236575354,0.17091691700646,0.125639275904322,0.144964370030711,0.0360669180187341,-0.012596191845911,0.0703208499900078,-0.00156873332772928,0.00360874745271942
"SNAI2",0.0362053611621083,-0.0706585056839425,-0.0456016163928198,-0.17091691700646,-0.00676121392962582,-0.00676681556702752,-0.0328802365262456,0.0269744211571767,0.0245374553352215,0.0235140603934239,0.0235135462096649,0.0213465534894884,-0.0492257921918332,-0.0235135462096649,-0.024599851906123,0.171204820524777,0.125721649327538,0.145278807416934,-0.06392109474654,-0.0124768356235354,0.0705828926285507,-0.00147367414671648,0.00368005042582755
"ZEB1",0.00536397145427272,0.0349112424474252,0.0893510990826706,0.0688215019852908,-0.00919525315989945,-0.00896771172792062,-0.0120800839648287,0.0511422786468215,0.0332945194520592,-0.109157551397521,-0.00908165907191621,-0.0142076808363579,-0.0384577086922587,0.00908165907191621,-0.0325990372127214,-0.0694807290610749,-0.069953221296,-0.0760747412121774,-0.0244875927912024,-0.0186836752086432,-0.0347635514962514,0.0477678192268707,-0.0225814435661083
