"","TWIST2","SNAI2","ZEB2","KLF8","miR34a","miR205","CDH1","TCF3","TWIST1","FOXC2","miR200c","miR200a","TGFbeta","miR141","CLDN7","GRHL2","ZEB1","GSC","miR200b","NP63","miR101","OVOL2","SNAI1"
"TWIST1",0.0773225508083955,0.0776538343775624,-0.101004663590355,0.069461674540075,-0.0505880755919988,0.0176707495903726,0.122260499983876,0.215051264025405,0.115150114581337,0.0704819619778512,0.0469473066058787,0.0538061665761781,-0.0193569996667647,0.0113276386025526,0.0113276386025526,-0.008700416707735,-0.0113452849282297,0.0193360050219659,0.00958388738771754,-0.0177139580120868,-0.0696120504799247,-0.0732009798078719,0.036772352616589
"NP63",-0.0172953059077758,-0.0119473421372356,-0.0936634957114113,-9.11371034037395e-05,-0.0362097130863499,-0.0883489712499452,-0.0430109703936427,0.0673796323238752,0.0672651927412431,0.0172835531564649,0.00592358873050697,0.0555920478355042,0.0779847829768753,-0.0411328843125879,-0.0411328843125879,-0.0817619768252397,0.0410748668802156,-0.077916316790613,-0.0312768617252817,-0.011613410521336,-2.67421662930641e-05,-0.124384899498382,0.0302018462865472
"GSC",0.0914311548257033,0.0879746584689829,-0.0916838030084655,-0.0358302641172372,0.0978966439446872,0.0295940925088274,0.0647819883086984,0.0875529606016961,0.0873069856464188,-0.0139900745416131,0.108783810830405,-0.017383604044062,-0.00529521125545546,0.124244605362943,0.124244605362943,-0.123126346227151,-0.124195133266412,0.00541928604260302,-0.0337267341099793,-0.0295538618530677,0.035987135268535,-0.16394383540332,-0.0834895189541616
"ZEB2",-0.138428834691711,-0.114417745063804,-0.0801323779553827,-0.0733128016467528,-0.0696862106522266,-0.0288807549977381,-0.0213008635905203,-0.0161053149357281,-0.0159510616030442,-0.0159303718260063,-0.0109710561630301,-0.00988166116623186,-0.00757500037932955,-0.00678204073876881,-0.00678204073876881,0.00348130883207268,0.00680487184504639,0.00764951281551673,0.0149735453972124,0.0287413065936476,0.0733078298369146,0.0939255765109102,0.0947346084604812
"TWIST2",-0.0394986909446424,-0.0181464752601371,-0.0710149699516333,-0.0286010000705145,0.0299086727544608,-0.0160851078106711,0.103070540232119,0.0366176202214107,0.0364965082712233,0.0412153170609634,0.0324093154344979,0.0380259481877932,-0.0291340075859648,-0.00501722612441213,-0.00501722612441213,0.00355952675180718,0.00508879206246939,0.0292008647272626,0.027844587165565,0.0161569973062464,0.0288660492132326,0.0648091465285113,-0.0499418742020152
"SNAI1",-0.0714063744902734,-0.0557237037041164,-0.0569729589793401,0.0557003887536972,-0.110247027737427,-0.0109949701985193,0.10510687022803,0.0279584610323599,0.0278169315947478,-0.0717332035651916,0.00326963486984178,0.0626150736399645,-0.0390352149345305,-0.0660725209392306,-0.0660725209392306,0.0648470921595236,0.0661243294100314,0.0391201070629811,0.0595228806954046,0.0110084472874681,-0.0554960454444588,0.0929891448891495,-0.0338907216554557
"OVOL2",0.1442456692777,0.126367032083248,-0.0393147572917324,0.0950317211860623,0.133466281937319,-0.235651590781032,-0.128345690847194,0.0424677052757714,0.0424029617321415,0.0245459449969161,0.107257609054858,-0.078195602495477,-0.176801436479231,0.0888585995268961,0.0888585995268961,-0.132607380176387,-0.0888505833205726,0.176826926999514,-0.102654971641907,0.235661314308728,-0.0950909427514856,0.0619213086781972,-0.133098587886868
"miR101",0.0956567275157822,0.0994997998992474,-0.0236712542784729,-0.12912294041421,0.0765965700605939,0.0384868312040667,0.0458776358920345,-0.017969545062593,-0.0181932391799833,0.0881025855633542,0.0528271159952487,-0.0331443400372566,0.0156342704161237,0.0880886117239651,0.0880886117239651,-0.0852457413091695,-0.0880464245844509,-0.01551772714,-0.0474774782181403,-0.0385104507715662,0.0292532006688817,-0.149467930440122,-0.0863266744893836
"GRHL2",0.0598184582436251,0.0298632572555049,-0.0210053535879795,0.00563369816900669,0.107145948167292,-0.0103410434656875,0.00498927139736327,0.00733152309881038,0.00729394867254297,0.0369657846736766,0.100147981571779,-0.0875255515767241,-0.101138436693301,0.0920898019343785,0.0920898019343785,-0.0298294959704829,-0.09212714086928,0.101087992395447,-0.101997739632747,0.0103219518781352,-0.00566450938428905,0.102099205251021,-0.103004084431028
"miR200c",0.125605203009407,0.123794659137821,-0.0186193484809834,8.43528176542716e-05,0.121149214587298,0.0561778693895455,0.0788261574970191,0.0207518504302066,0.0207976968889374,0.0291691569835693,0.0134594017741119,0.0028288462939383,-0.0813576208129005,0.00986987854641593,0.00986987854641593,-0.00257589780792291,-0.00985135345607821,0.0813098978786218,-0.0355050624848402,-0.0561991951403896,-8.07506419401403e-05,-0.150431348755757,-0.14710288420935
