"","miR200b","SNAI2","OVOL2","miR205","SNAI1","GRHL2","CLDN7","ZEB1","TWIST1","miR34a","ZEB2","FOXC2","TCF3","miR141","NP63","GSC","TGFbeta","miR101","KLF8","TWIST2","miR200c","miR200a","CDH1"
"TWIST1",0.0054720654318331,-0.206421981826298,-0.121022422503836,-0.104749872135375,-0.0366044064104719,-0.0762432252248651,-0.0670778780969032,-0.0671128005456208,0.00276762226001306,0.0102729332589675,-0.197459078221303,-0.00131749375619154,-0.102583809242784,0.0670778780969032,0.104749872135375,0.0199237450808913,0.0199177913756498,0.0920588525238884,0.0919821707532366,0.16158870522977,-0.119262243518955,-0.119262243518955,0.0439826326947705
"TWIST2",0.0289953502530168,-0.154390415949854,-0.117401379626167,-0.100693730891328,-0.109807636402892,-0.0713557917387321,-0.0629778316242282,-0.0629899924528003,0.0396852253961227,0.0257802748226176,-0.195094528251865,0.0272474785498144,-0.0395698128318265,0.0629778316242282,0.100685172618045,0.011546454552748,0.0115319915793244,0.0328883063532685,0.0328326894839769,0.130051695679254,-0.129140845931661,-0.129140845931661,-0.137004798103479
"CDH1",-0.154504754694621,-0.25513214100202,-0.0246345622559078,-0.0197981067269833,-0.11475124251501,-0.0106985888256729,-0.00819299841633155,-0.00815128562494364,0.057612805959063,0.0450857454951579,-0.18928599266941,0.0424963510755957,-0.0577031114039501,0.00819299841633155,0.0195926624537424,0.188032440118635,0.187973107508204,0.187724839061908,0.187999822077663,0.234935039072857,-0.0985863624027213,-0.0985863624027213,-0.226809823256782
"KLF8",-0.154648230961871,-0.255152044418074,-0.0247161112202359,-0.0201449275362319,-0.114554092968864,-0.0107472853812032,-0.00820397014584185,-0.00819299841633155,0.0577031114039501,0.0449109110580718,-0.189092276207964,0.0423469992624647,-0.0568318626140179,0.00820397014584185,0.0197981067269833,0.187923685360614,0.188032440118635,0.187999822077663,0.187269677538846,0.234956094659606,-0.0984271368756848,-0.0984271368756848,-0.126808875739751
"miR141",0.0768761053898669,0.0826241188341532,0.183621431984246,0.15196252303382,0.0154057884047515,0.0511834112821404,0.0365853472736156,0.0366355658920009,-0.0622111406704887,0.104983260506674,-0.175188782667174,-0.0278307362652884,0.0622037460803708,-0.0365853472736156,-0.152129574748766,0.0407592029692754,0.040700117431597,-0.0488835967374857,-0.0490817164017629,-0.0878189859409775,-0.069443861441348,-0.069443861441348,-0.0385586638727935
"miR205",0.0756445133397742,-0.0409198571957264,0.171439489789328,0.140918226185916,0.101261935095121,0.0411670862044295,0.0240851051085877,0.0241236139469872,0.0190147982974849,0.0134466789899196,-0.16883209612482,-0.0933201016067584,-0.0189489031531334,-0.0240851051085877,-0.14115606188109,-0.0489216884191403,-0.0489962797538491,0.0540073682992564,0.053795840669242,-0.0503644601025839,-0.0736265881943317,-0.0736265881943317,-0.0984396761435972
"miR200a",0.0677657420486119,-0.0495546186759705,-0.166894212490149,-0.136706588600793,-0.00269120857658108,-0.0382897680594905,-0.0237617834081292,-0.0238285183721169,0.0693559280314296,-0.0983057067482371,-0.149690399516691,0.0259365540888322,-0.0692716297040858,0.0237617834081292,0.136774120145132,-0.0822144035406106,-0.0822087222389108,0.0314495511150573,0.031579229440766,0.0609096545326777,-0.0914255550731328,-0.0914255550731328,-0.0722041470819025
"miR101",0.0674661800533999,-0.0862454980734451,-0.0903740360484562,-0.0653590315783784,0.00682293623380073,-0.00855282251932636,-0.00169917379140262,-0.00174894143254826,0.0133892906286458,0.0318711629916459,-0.146477403711704,0.0720763981831744,-0.0131765084194209,0.00169917379140262,0.0652750508939358,-0.00307138813020385,-0.00308480318357061,-0.0067363248088614,0.0931679737795428,0.0151737705929726,-0.0789274663393061,-0.0789274663393061,-0.00358171650089002
"miR200c",0.126125601328773,0.169848572050877,-0.128744539653393,-0.100880450821498,-0.0382432198109231,-0.00694869404048533,0.00737766073174231,0.00735601092737173,-0.0807573802557505,-0.00974147078498327,-0.137596054678566,0.00122562527683985,0.0807322386493497,-0.00737766073174231,0.100955090949452,0.0914120111317467,0.0914063298300468,-0.12538976833958,-0.125351945494582,-0.0746070447312147,-0.0695207291921692,-0.0695207291921692,-0.0182985496279637
"GRHL2",-0.115842614874393,-0.0378973925509852,0.347845786329408,0.433960398312886,0.0954045631381361,0.209580258223065,0.140338282698321,0.140411432073713,0.0499632419456425,0.120537242575539,-0.0732389932179081,-0.0291332624474985,-0.0498100539000908,-0.140338282698321,-0.434704970227425,-0.17639969373993,-0.17655546129704,0.0469713017264115,0.0467362561698289,-0.00824832217641046,0.10469268100206,0.10469268100206,-0.0719158111824797
