"","TWIST2","KLF8","ZEB2","miR34a","NP63","OVOL2","miR200b","miR141","CLDN7","miR200c","TWIST1","GSC","CDH1","TGFbeta","TCF3","miR200a","SNAI1","GRHL2","ZEB1","miR205","FOXC2","SNAI2","miR101"
"SNAI1",-0.0724688948022505,-0.289057727944327,-0.171741555877839,0.091607087218118,-0.127890817490946,-0.103527878430115,-0.0667078427309894,-0.153310245053665,-0.153310245053665,-0.00248471802746425,-0.267084917856366,-0.050386311972626,-0.071826361631363,0.0504341247806039,0.267034335133176,0.00248471802746425,0.171729567480129,0.160976746532654,0.153337809322035,0.127780550399547,0.299740939802945,0.200116780494893,0.289105460045569
"ZEB2",-0.124180665376727,-0.105521357219759,-0.0922726908767087,-0.0431588142467962,-0.0326119726797456,-0.0314678279301645,-0.0267857561057532,-0.0225202654508867,-0.0225202654508867,-0.0137510122904652,-0.0132025871598781,-0.00554092323064132,0.00307251869052472,0.0084001070423527,0.0121780202869991,0.0137510122904652,0.0176371459043948,0.0242243284862173,0.0243794048900271,0.0250275289239352,0.0305662656540846,0.0954938947318663,0.104702997320388
"miR34a",0.265406595105536,0.0621999631819276,-0.0778447610736739,0.0249371129091834,-0.0485499927146133,-0.0462085028949262,0.06656774352802,-0.0522978922570172,-0.0522978922570172,-0.0406119922339703,0.066796237959174,0.00264069363740939,0.0739917000108955,-0.003841449087572,-0.0662474752340986,0.0406119922339703,0.0821768464667309,0.0583862613725445,0.0515423410377836,0.0516022000300712,0.0698929736468676,-0.18874657109608,-0.0621250553761501
"TGFbeta",0.157510752151989,0.0344079388912345,-0.0751808354726393,0.0715431489068145,-0.0598322870762338,-0.0574129447569421,0.123019812809416,-0.056323617915891,-0.056323617915891,0.013958133757728,0.0607124734049604,-0.00352387647913574,0.0393575266507509,-0.0957676184188456,-0.0608667628792417,-0.013958133757728,0.0777996619241295,0.0592982282820265,0.0567818117982908,0.0578480951983379,0.0668845489429341,-0.144168932081513,-0.0348005682615733
"SNAI2",-0.401143234632866,-0.348664759832164,-0.0622702245200957,-0.0734091795599652,-0.112552960927864,-0.0845608563596713,-0.299970636185248,-0.146205043317722,-0.146205043317722,-0.0456106250643176,-0.208944079558872,-0.256054893301759,-0.199012450927846,0.257086887269227,0.208370539479075,0.0456106250643176,0.0515270183015582,0.152977525685116,0.146836975157522,0.10992416626684,0.116075637168448,0.309979879457421,0.348734823305509
"KLF8",-0.399995190426394,-0.346396184057822,-0.0622262006203739,-0.0724673580447247,-0.112954469297143,-0.0835106241472736,-0.299206590220497,-0.144759147410309,-0.144759147410309,-0.0452493591971488,-0.208258985694214,-0.253623738912587,-0.299170307473467,0.257067639583242,0.205742044745521,0.0452493591971488,0.0507499910701919,0.15110952551866,0.146920578123837,0.104746376811594,0.114881547281976,0.409880114978859,0.347483950411569
"GSC",-0.0521520342644814,-0.266839032752849,-0.0296786136633888,0.0713746509217268,0.00340136944948265,0.0202971375365989,-0.0491260702336663,-0.0169828932855627,-0.0169828932855627,-0.0124768942294174,-0.359516894402505,-0.0169401969744018,-0.0169271870356673,0.017990248621296,0.359074458931,0.0124768942294174,0.273826780284503,0.016279304888665,0.0176308570864677,-0.00618877916997538,0.194509407059168,0.163301594034401,0.266669494986851
"FOXC2",0.0946950207860783,-0.00791316894182647,-0.0132519524836942,0.02092114327508,0.0215779043082478,0.031977890323573,0.0105352407508624,0.0148195959188535,0.0148195959188535,0.0133633794984272,-0.000810399140703897,-0.00197957194430358,-0.0693394970252392,0.00509612517320904,-0.000321867646137022,-0.0133633794984272,0.0646511953467435,-0.0191731651860382,-0.0128543438539148,-0.029764404714862,0.0687378598963302,-0.00729526292155878,0.00714463600103261
"miR200c",0.0998692279141972,-0.00540077695153489,-0.0128812942448979,0.0997673182188613,0.0111480144498198,0.0167380081684366,0.0367573593846955,3.66273353743088e-05,3.66273353743088e-05,0.00584038426499714,0.0246814996790248,-0.0987709309524786,-0.0562893315195091,0.0989845478963928,-0.0246829785970484,-0.00584038426499714,0.116110173157363,-0.00553585634503717,8.67988689239585e-05,-0.0118055584341809,0.10112702970251,-0.0990174710336461,0.0052638942743979
"miR205",0.121470215723746,0.0149061806791854,-0.0114913347895613,0.0276301965082212,0.0227069271045659,0.032594198281477,0.0167401363086083,0.0197534777041347,0.0197534777041347,0.0144190877188833,0.00280750765959413,0.000195755027397899,-0.00344409935998495,0.00341478298244181,-0.00409246297444937,-0.0144190877188833,0.068885726539735,-0.0230463018955951,-0.017451642944318,-0.0321509861670969,0.0697362266456342,-0.0281999610849492,-0.0158486676933916
"miR200a",0.00591495939823143,0.00237385620498477,-0.00487299628003095,-0.031854240090849,-0.0287225938976541,-0.0356122877466128,-0.00974391599983321,-0.0279203183657733,-0.0279203183657733,-0.0119122638159127,0.0261580354383256,-0.097014486337333,0.0135268498856104,0.0939658998451959,-0.0249704642653957,0.0119122638159127,0.0767585226242753,0.0311744483432339,0.025980094145222,0.0366522189198685,0.0893318883760763,-0.0944313171539605,-0.00170205043429928
"GRHL2",0.108716277435289,0.103981056087967,-0.00142501241696288,0.132444858647404,0.0328072319482097,0.110723373598735,0.169787603827767,0.144254100480619,0.144254100480619,0.129191648846346,0.0347194327363409,0.159566031755333,-0.0617035878633375,-0.159038861126109,-0.0348639497604463,-0.129191648846346,-0.0151971321077609,-0.0726739043685589,-0.143911062663484,-0.0341592634666851,-0.0599720279981829,-0.101173388527185,-0.104117505755646
"miR141",-0.00591495939823143,-0.00237385620498477,0.00487299628003095,0.031854240090849,0.0287225938976541,0.0356122877466128,0.00974391599983321,0.0279203183657733,0.0279203183657733,0.0119122638159127,-0.0261580354383256,0.097014486337333,-0.0135268498856104,-0.0939658998451959,0.0249704642653957,-0.0119122638159127,-0.0767585226242753,-0.0311744483432339,-0.025980094145222,-0.0366522189198685,-0.0893318883760763,0.0944313171539605,0.00170205043429928
"miR200b",-0.0389352163810533,-0.0259780892472558,0.009139498350936,0.00849003886895465,0.0124818182222286,0.0202685667891339,-0.0443307339403029,0.00140740951915558,0.00140740951915558,-0.00404368635877868,-0.0312235443574385,0.0792528783036514,-0.0769908690739511,-0.0781120729223224,0.0306926127869755,0.00404368635877868,-0.0707161734934041,-0.00640294603746708,-0.000712160646842556,-0.015449651881372,-0.078429476247426,0.126239036808414,0.0258538141851182
