"","ZEB2","TWIST2","FOXC2","TWIST1","OVOL2","miR200a","ZEB1","miR141","miR200b","miR34a","TGFbeta","CDH1","GSC","GRHL2","CLDN7","NP63","miR205","miR200c","TCF3","SNAI1","SNAI2","miR101","KLF8"
"GSC",-0.116862372703667,0.0349549738561274,0.00865300874209895,0.0819194550639762,-0.0699632792178322,0.0107073179891025,-0.0949269952299912,-0.0949323044305946,-0.000948899285506767,-0.126570036212187,0.0185863136263774,-0.00540636503082824,-0.0185997601550338,0.0937933965802439,0.0949323044305946,0.0155177701380676,0.0154124041348874,-0.0107073179891025,-0.0820152894621362,-0.189386162092083,0.0363646878153099,-0.122258670165673,-0.122321028884202
"NP63",-0.0906302752455256,0.000257386803035776,0.0492972648487531,-0.0451587940709612,-0.0792516403515754,0.00111444899484677,-0.0465743056257448,-0.0471459978687123,0.0740620607853863,-0.0384136692466823,0.0946128699404451,0.0490063950877948,-0.0951075381361899,-0.0176634802546962,0.0471459978687123,-0.15918502129324,-0.0598084090834378,-0.00111444899484677,0.0448962562049228,-0.0217991724737725,0.0133470703641831,0.00371881074969978,0.00371606937133474
"ZEB2",-0.0893850517648914,-0.0618882911942853,-0.0227786085455677,-0.0226132845924034,-0.0110084841716395,-0.00942224564637583,-0.00831330801167783,-0.00810684607211397,-0.00690081623224745,-0.00681935528365273,-0.00165399399149879,-0.00065042868526598,0.00184674103717307,0.00645580023074976,0.00810684607211397,0.00816868294653654,0.00841659122047518,0.00942224564637583,0.022825991819578,0.0318779607840481,0.047506403729519,0.0792665701551287,0.0794087639165017
"TWIST2",-0.0769113081642569,-0.0275823311660495,0.0333138398110402,-0.19440511614933,-0.0797414764892301,-0.0298423894601366,-0.135121131603782,-0.134923867897829,-0.0110844758946745,-0.0203515412489907,0.0188588344246168,-0.151798539544913,-0.0187051994427774,0.132828427760255,0.134923867897829,0.0236239876658354,0.0237095703986633,0.0298423894601366,0.194338148365108,0.100326179842117,-0.000128258501183416,0.0331550399615371,0.0331341836355527
"miR101",-0.0216251545760518,0.0069204819313298,-0.0603138310206264,-0.176966523017267,0.0272229072224776,0.0140255931224713,0.00822788622147753,0.00879246879950726,0.0608826650110462,0.0664242135986556,0.017100721544737,-0.0538613981089376,-0.0165657962917374,-0.00543838293734861,-0.00879246879950726,-0.025121597315829,-0.0243998883089006,-0.0140255931224713,0.177463014838791,0.165555893080896,-0.141757131476084,0.0607697036414917,0.160925218435335
"GRHL2",-0.0208221991096695,0.0304665129291279,-0.0778430333033231,-0.0567640239502477,0.0296367125644258,-0.01999601012848,-0.0354942780583769,-0.0363543836991764,-0.0598627324220269,-0.0216829217669177,-0.0819450214900156,0.0393851346994097,0.0810952290877029,-0.0623315604142604,0.0363543836991764,0.159592176714896,0.158361637117208,0.01999601012848,0.0558506763579013,0.0901624855670688,-0.0114237894128273,0.00609924970468254,0.00605963528503379
"TCF3",-0.0205479507042656,-0.00256725154211362,0.0330083740302404,-0.0521374451174929,-0.0434563515088384,-0.0147424524212774,-0.0509332786400086,-0.04949598207416,-0.011649923238509,-0.0387480794815489,0.00377492217461679,-0.0931663133085574,-0.00257861983638949,0.0476827947780793,0.04949598207416,0.0170314987015163,0.0178985507246377,0.0147424524212774,0.0516050153014232,-0.014252267211411,0.0079439170525863,-0.00150082884065109,-0.0024693879227551
"KLF8",-0.0205479507042656,-0.00256725154211362,0.0330083740302404,-0.0521374451174929,-0.0434563515088384,-0.0147424524212774,-0.0509332786400086,-0.04949598207416,-0.011649923238509,-0.0387480794815489,0.00377492217461679,-0.0931663133085574,-0.00257861983638949,0.0476827947780793,0.04949598207416,0.0170314987015163,0.0178985507246377,0.0147424524212774,0.0516050153014232,-0.014252267211411,0.0079439170525863,-0.00150082884065109,-0.0024693879227551
"CLDN7",-0.0205479507042656,-0.00256725154211362,0.0330083740302404,-0.0521374451174929,-0.0434563515088384,-0.0147424524212774,-0.0509332786400086,-0.04949598207416,-0.011649923238509,-0.0387480794815489,0.00377492217461679,-0.0931663133085574,-0.00257861983638949,0.0476827947780793,0.04949598207416,0.0170314987015163,0.0178985507246377,0.0147424524212774,0.0516050153014232,-0.014252267211411,0.0079439170525863,-0.00150082884065109,-0.0024693879227551
"miR200c",-0.0167438961276979,0.0860711373967366,-0.0629730001245908,-0.147105222523343,-0.0368912918681042,-0.01400617148527,-0.0367503119927065,-0.0371835312739777,0.0215569334583239,-0.0289871038293031,-0.0960402893897336,-0.0333393335787453,0.0955914665554459,0.0278756154344697,0.0371835312739777,0.0467983701995251,0.0461088375888978,0.01400617148527,0.146467808855182,0.121009452604246,-0.102638643149107,0.00481236355517368,0.00467007761446549
