"","miR101","TWIST2","ZEB2","miR200b","NP63","miR205","CDH1","TCF3","TWIST1","GSC","TGFbeta","miR34a","miR200a","ZEB1","miR200c","FOXC2","miR141","CLDN7","GRHL2","OVOL2","SNAI1","KLF8","SNAI2"
"TWIST1",0.111799853007315,0.0288687420759232,-0.143212863731834,0.0739925316431021,-0.0151866187429503,-0.0150687775928207,-0.0933201929870698,0.275990890466618,0.176140391720631,0.0597455496417313,0.0596643912387031,-0.100680171612946,0.0508133727317332,-0.0448480793113797,0.085146344166974,0.353764878037527,0.0447781110130655,0.0447781110130655,0.0479010147957305,0.0405351418323682,-0.266013342831722,-0.111682340683459,-0.0512279041414022
"ZEB2",-0.173875724826105,-0.163086374726365,-0.0837641239435251,-0.0370766716418216,-0.0229857144765942,-0.0226835762677315,-0.02216571964241,-0.021825222304401,-0.0217911241992814,-0.0193782972898401,-0.019356744105819,-0.0112298597703395,-0.0110357604596952,-0.00849448141600054,-0.00787703460354956,-0.00538976112663126,0.00846575841132876,0.00846575841132876,0.00971273116721787,0.0247854471737917,0.0694556232883739,0.173902572599232,0.174777528857857
"TGFbeta",0.121736804033074,0.0603827787420187,-0.047670707885153,0.138515464267085,-0.00725355577535251,-0.00732714530928546,-0.026097848415544,0.113980026704352,0.113925571595782,0.234683460005566,0.134732547115639,-0.145794547817881,-0.0122887347098436,-0.0698658851771682,0.0535782532811352,0.0788695847290963,0.0698832111158138,0.0698832111158138,0.0709272464374009,0.0649187244677908,-0.145228683125455,-0.121776274710516,-0.108349276629988
"miR141",0.0845436279535494,-0.0422800456485131,-0.0212192428459246,0.0343045787949558,-0.0457046061455127,-0.045747257647201,-0.0887411687483848,0.140233600421139,0.140492411075265,0.0997421853382792,0.0997535479416789,-0.122981894188107,0.000887173116398995,-0.0142952977109058,0.0167458463402072,0.0763428067845126,0.0142995383942361,0.0142995383942361,0.0162798861883388,0.0255297886793917,-0.14767995112916,-0.084532821426407,-0.0522567454048488
"CDH1",0.225061717424432,0.252110711395807,-0.0171845091503809,0.207850824882802,0.00823696453117439,0.00815992292870906,-0.183029000335319,-0.14389111269745,-0.144034538992271,0.200088457384359,0.200057768103102,0.0276919549002009,0.0294089513511558,0.0413088782790974,-0.011512713746665,-0.0667619715296788,-0.0413265259985307,-0.0413265259985307,-0.0422873301961229,-0.0252172956728993,0.0119107617529154,-0.225259058176915,-0.247393809522209
"miR200c",0.130256301808549,0.113509294024674,-0.0127966656784314,0.0502815667456053,0.0415437860605021,0.0415722203949609,0.0754849559304339,0.0476901475518268,0.047564439519823,0.130660589367762,0.130781032963798,0.00100450618060125,0.00706374017014749,0.00281466525062115,0.00353354275297457,0.0210549512663844,-0.00276042914276495,-0.00276042914276495,-0.00648181455217548,-0.0187317674286568,-0.0851709522145527,-0.130204070260694,-0.153159312842931
"miR200b",0.130256301808549,0.113509294024674,-0.0127966656784314,0.0502815667456053,0.0415437860605021,0.0415722203949609,0.0754849559304339,0.0476901475518268,0.047564439519823,0.130660589367762,0.130781032963798,0.00100450618060125,0.00706374017014749,0.00281466525062115,0.00353354275297457,0.0210549512663844,-0.00276042914276495,-0.00276042914276495,-0.00648181455217548,-0.0187317674286568,-0.0851709522145527,-0.130204070260694,-0.153159312842931
"OVOL2",0.135704203175413,0.130538989575854,0.0066576465490397,0.0434771465086486,0.0554115500882277,0.0554126304801939,-0.0954214999920543,0.000822870654630571,0.000729352202720637,0.0269835063471963,0.0270944245570728,0.011714235410189,0.00292955609479905,0.00870079179020393,-0.00698525707657102,-0.00514277642412939,-0.0086444066101314,-0.0086444066101314,-0.0181754653621951,-0.0567616368033326,-0.0738431656919559,-0.135712976740661,-0.133893656184746
"miR200a",0.0854814556100411,0.0680547142849255,0.00855383576449395,0.00333171816988543,0.0351528305896766,0.0348116185761703,-0.000974581300421713,0.0369407635085529,0.0367618144277004,0.104256518367881,0.104496269299614,-0.00938471581038573,-0.0119240090073329,-0.0145867684036385,0.00323874344196912,0.0190046244304072,0.0147530478289589,0.0147530478289589,0.00829313118841404,-0.00810046678913202,-0.0644565462258437,-0.0856921828893178,-0.0969767573290729
"GRHL2",-0.134139781808073,-0.0626455272865296,0.01515224154358,-0.113172054709714,-0.222368750099981,-0.222394784083007,0.110247926466968,-0.0286456589382632,-0.0287526015361012,-0.11966415697572,-0.119570474708276,0.0203264905958794,0.00115292628612018,0.00821126655664807,-0.00970439630008745,-0.03395150156695,-0.00815471226343481,-0.00815471226343481,0.0971057645451252,-0.088191096190376,0.100405080772368,0.134057912007466,0.120802983197652
