"","TWIST2","SNAI2","KLF8","ZEB2","miR200b","TCF3","miR200a","CDH1","NP63","miR205","TGFbeta","GSC","FOXC2","SNAI1","miR200c","GRHL2","OVOL2","miR141","CLDN7","ZEB1","TWIST1","miR34a","miR101"
"SNAI1",-0.0561259198268076,-0.0890658160470576,0.0159979181086882,-0.0906661688499611,0.0552862154045059,-0.0303444641361906,0.127730066740303,-0.0318344493485475,0,0,0.00378768471865753,0.00382808166254091,-0.0223793180683603,-0.0797387021136242,-0.127730066740303,-0.150087290457812,-0.136993224929675,-0.151533023989431,-0.151533023989431,-0.151544682825632,0.030447162392364,-0.0276432984346871,-0.0161660723738478
"ZEB2",-0.121345227461376,-0.105140499709098,-0.0966071253213505,-0.0730216964965422,-0.0470640338699014,-0.0362803095377883,-0.0309671639074942,-0.025801781508874,0,0,0.00119525991064172,0.0013609115249752,0.0164077470605249,0.0193551904108902,0.0309671639074942,0.0351337226466687,0.0352265519662448,0.0354196669644237,0.0354196669644237,0.035509272919169,0.036739822097257,0.0432271560233623,0.0960294010181497
"miR200b",0.0592003446738346,-0.0418619681149438,0.0488444182342226,-0.0566882286343686,0.12581522848834,-0.106125766510388,0.16395880295801,0.0714425385046945,0,0,-0.114315517068396,-0.114263249092757,0.0217804456454197,0.130032068706459,-0.16395880295801,-0.259975205476168,-0.179789842685819,-0.268121807514138,-0.268121807514138,-0.268166669479895,0.106207107001685,-0.147440482549579,-0.0491614096970662
"miR205",0.205756128510619,0.0935489003496304,0.096128365987809,-0.0482713221861195,0.15449982631405,0.0176229166936185,0.147855890418753,0.0457610173750828,0,0,-0.0240215826893297,-0.0239168374108025,-0.104732007231368,0.102227604920148,-0.147855890418753,-0.238984716232649,-0.163209811745706,-0.245678619160922,-0.245678619160922,-0.24568855692567,-0.0173922836883881,-0.229752434576495,-0.0965827123173665
"miR34a",-0.123826363774757,-0.0485880808267082,-0.0331001715930132,-0.0381460578855922,0.0534524682871406,-0.0668496648461135,0.153163565064207,0.0782515447251455,0,0,-0.00957357945740459,-0.00953073843380582,0.0757733954967607,-0.0115586915254847,-0.153163565064207,-0.160227521583304,-0.140255490216742,-0.162961873668106,-0.162961873668106,-0.162974486019167,0.0668032129081229,-0.104392617968656,0.0330281448566887
"TWIST1",-0.0270976171685334,-0.0392767323573902,-0.0319097632794741,-0.0341358933960089,0.0274164131046817,-0.0711927878379238,0.056105159653303,-0.0413199014725915,0,0,0.00415457441341725,0.00421129128966478,0.111136479521747,-0.000288546402791372,-0.056105159653303,-0.0695780047321368,-0.0824080002432045,-0.0698094370570149,-0.0698094370570149,-0.069787101497941,-0.0287394055823871,-0.0533436520115362,0.0316627882259462
"miR101",0.114058079103655,0.124620126592103,-0.0800889859847439,-0.0339330346148338,0.0996402705704778,0.0315329862272546,0.0680535229220277,-0.0092742331747083,0,0,-0.0146960659206599,-0.0146063527512697,-0.000921801538951742,0.0108302711064718,-0.0680535229220277,-0.105672399478876,-0.104653004365514,-0.106345999991269,-0.106345999991269,-0.106321280964209,-0.031442417389482,-0.0699466465201994,-0.0201994474363157
"miR141",0.173595057633665,0.166526259954653,0.0583163164078252,-0.0334207665805423,0.162721996983558,0.12981230356206,0.117041851313802,0.0568675371071398,0,0,0.0721653821865691,0.0722631005758064,-0.069010951182033,-0.0579958352329445,-0.117041851313802,-0.2026007190555,-0.1369261356991,-0.203228725308107,-0.203228725308107,-0.203198147749357,-0.129562366416076,-0.194473975830609,-0.0586531198370965
"TCF3",-0.00704300193737673,-0.00935580233933029,-0.0125587036431285,-0.0296754656318633,0.0209478556860608,-0.0481927979320795,0.0352858066884027,0.000606448469992009,0,0,-0.000219367502707447,-0.000473128604755662,0.0200935103985861,-0.0182725776408733,-0.0352858066884027,-0.0426767312371235,-0.0386429294176283,-0.0425130598474383,-0.0425130598474383,-0.0426191198993712,0.048773630458701,-0.0345826946475926,0.0121563791013314
"GSC",0.0106088954589417,0.0744357682447161,-0.0309629254835404,-0.0108550052507713,-0.0421639828096042,0.134801154793724,-0.0752105068027415,0.0140066043577781,0,0,0.0204815414156691,0.0205719998811757,-0.155412566288116,-0.041800019448148,0.0752105068027415,0.162351966947989,0.142085012947414,0.163765636546995,0.163765636546995,0.163825003062832,-0.134750043114706,0.0672787513610779,0.0308421054663917
