"","miR101","ZEB2","SNAI2","miR205","miR34a","TWIST1","CDH1","ZEB1","miR200a","FOXC2","miR200b","GRHL2","miR200c","GSC","TGFbeta","miR141","CLDN7","TCF3","NP63","SNAI1","KLF8","OVOL2","TWIST2"
"TWIST1",0.0763359702059258,-0.0890994231252327,0.0966241619209311,0.033183849671402,0.0372178914954623,0.111338555897653,0.137727668715555,0.123499888288734,-0.0187403063017957,0.0895389069282552,-0.0409620146553084,-0.121011688930412,0.0187403063017957,-0.00356950915640538,-0.00356167533371925,-0.123521483442534,-0.123521483442534,-0.211269115424477,-0.033160281441376,-0.0188305625461457,-0.0762523173652148,-0.16431179125825,-0.110133485251965
"ZEB2",-0.0916534185825366,-0.0865316633334909,-0.0635894056992324,-0.0296314043494287,-0.0288800756433714,-0.022067413245374,-0.0158257004412728,-0.00886014102084341,-0.00583780162567137,0.0026809466276732,0.00375364766079452,0.00514293005210975,0.00583780162567137,0.00850991117846815,0.00855486496228356,0.00880048554960201,0.00880048554960201,0.0221209959819905,0.0296468986165498,0.0372738000358351,0.0914873601339402,0.097444380878618,0.099511334489706
"TGFbeta",-0.00348505635633674,-0.0759619460754735,-0.0898355631217357,0.0125079120687393,-0.0538985828606971,-0.0488127835953818,-0.00632776350579146,0.0793407282846863,0.00125521907326155,-0.00181391511785255,0.0978781129806928,-0.0780508856712573,-0.00125521907326155,-0.00211213273627711,-0.102142106281366,-0.0793113942697517,-0.0793113942697517,0.0488513559639521,-0.012526990836796,-0.0779601518198241,0.00360208345261057,-0.105252415319427,0.113760743704952
"GSC",0.0380911384926173,-0.0604740859483238,-0.0572527578892422,0.022997944330094,0.0189278161266938,-0.0899281272803085,0.00154080615665682,0.0896410370025891,-0.0105441677846102,0.0536407445249007,0.00326113427607702,-0.0880649767316525,0.0105441677846102,-0.0120699218016893,-0.0120387503034404,-0.089703299446028,-0.089703299446028,0.0900479202780085,-0.0229423877102353,-0.0285987908497783,-0.0380736001030312,-0.129382244812822,0.0150872642395071
"GRHL2",-0.112432874776575,-0.026251682724204,-0.123293257347728,-0.0551080163338498,-0.00567848440753922,-0.0644710482873779,-0.107570245925782,0.0024608897791046,0.0076431106912836,0.0161738072880493,0.113569539502268,-0.0129448720746389,-0.0076431106912836,0.130750084251858,0.130772811902539,-0.00247333609073841,-0.00247333609073841,0.0645722102042517,0.055081982350824,-0.0187020368379038,0.112562281880761,0.225078590219952,0.101407511025308
"miR200a",0.0300355415601908,-0.0143298141501576,-0.063839101783951,0.0593685755517757,0.0158788035232183,0.0169864119516723,0.041396378603934,0.0171897723568477,-0.0029716982273915,-0.012015178672344,0.0223193539175252,-0.00834733867071317,0.0029716982273915,0.0714057726646301,0.071446678036869,-0.0172042799577146,-0.0172042799577146,-0.0171091621476289,-0.0592192952958667,-0.118640992905225,-0.0302444677516104,-0.162160679175859,-0.00785076125075319
"OVOL2",-0.0928980726187034,-0.0131942644950886,-0.116391154995633,-0.227223528940161,0.0791242134227393,-0.0289686912256039,-0.193551488825552,0.12246070342406,-0.109801415577632,-0.0153015445594031,0.00709268925267444,-0.15791491295247,0.109801415577632,0.163364505384051,0.16342030895548,-0.122449698123853,-0.122449698123853,0.0289093429772764,0.227362899503801,-0.1201919970438,0.0927631790530168,0.0262199319713431,0.100280199871512
"TWIST2",-0.0379118303351526,-0.0126615385223519,0.0394806109974858,-0.0310091850933538,-0.0106980121539968,-0.183871983810317,-0.116879754255489,-0.118556515321472,0.0635312005472909,-0.0283040177721161,0.0342302990685822,0.117004146434466,-0.0635312005472909,0.0263111514604223,0.0263174278451156,0.118537897415782,0.118537897415782,0.183799316640204,0.0310194550212931,0.0931651279140897,0.0378822838733414,0.15713933433899,-0.0576743310516218
"miR205",-0.0205643342942127,-0.0066055221456303,-0.0137976311113255,-0.0452667973688896,0.00991102788184671,-0.0910740126405977,-0.00729740432843339,0.00505068375515423,0.000170589131985094,0.0862835759915665,0.00211331227629628,-0.0102632676827491,-0.000170589131985094,0.0203982201822899,0.0203902849339167,-0.00504882042426393,-0.00504882042426393,0.0908928009936309,0.0453262562926831,0.0711551301194952,0.0205105136546233,0.112148273064174,0.0833966693152804
"miR34a",0.0735369759361234,-0.00447155226239975,0.0483656235453623,0.0327254350062701,0.00776356840464503,0.131560599755594,0.0702423391241784,0.119482816656371,-0.109999325276419,-0.050482238702216,-0.0829056447993529,-0.117723127120913,0.109999325276419,-0.0185165186135143,-0.0185068642983371,-0.119518987927339,-0.119518987927339,-0.131441714287177,-0.0327140814762684,-0.108079259504499,-0.0734361385052691,-0.161031550103389,-0.17724198014049
