"","TWIST2","TGFbeta","FOXC2","miR101","TCF3","NP63","miR205","miR34a","OVOL2","TWIST1","ZEB2","miR141","CLDN7","ZEB1","GRHL2","miR200a","KLF8","SNAI1","miR200b","GSC","miR200c","CDH1","SNAI2"
"miR200a",0.10098488287858,0.0652048982588228,0.021734042339771,0.0114291344292483,0.0727972581961607,0.179666660431409,0.178433321174256,-0.256636365644511,-0.114154933330663,-0.0748958428716121,-0.26251533384571,-0.320511745610176,-0.320511745610176,-0.321511430906834,-0.328791954594957,0.0428173868758201,-0.0105285905007155,-0.027243053928768,-0.244248558377108,-0.0642731647800482,-0.295755621776977,-0.147555330853771,0.015028003040157
"NP63",0.271972071339174,-0.0650863520915843,0.140822041897121,0.241330626759699,0.246706550071974,0.0207993876161129,0.120616670505193,0.033185281286587,0.0796606560540105,-0.247058844473411,-0.22444321342204,0.00134838206039025,0.00134838206039025,0.0013487213436205,-0.121539902817117,-0.0840831620728807,-0.241105833733766,-0.128319698513467,0.102923840226878,0.065242112665331,-0.0824915343722988,-0.216257895226627,-0.311862770380565
"SNAI1",0.0704637476924495,0.142833513236214,-0.0797080460915286,0.0752720234950281,-0.107028238130544,0.184185354698376,0.183085134164193,-0.24517071628713,-0.141070503776607,0.106014028983757,-0.217344613664378,-0.235691759271528,-0.235691759271528,-0.236284815701068,-0.24473992769737,0.0329481061785834,-0.0747263800631836,-0.0398292299027748,-0.175141498976129,-0.142142081486558,-0.227213346490923,-0.156250813615843,0.0590393746027183
"miR200b",-0.159688070423964,-0.102317583865447,-0.161800843541625,-0.0176706149423516,-0.0938821706368263,-0.157802456106711,-0.156860568777761,0.147031568135913,0.0994379865213229,0.0954335556435553,-0.163363459326261,0.285328243265824,0.285328243265824,0.286021706587261,0.295295475118111,-0.23398374258115,0.0170636483345205,0.170677230718761,-0.00309805629998612,0.101750589955802,0.0641376226981367,0.00375335908551239,0.163408524015613
"CLDN7",0.281119329969349,-0.161595865266726,0.160519512517049,0.220037036791807,0.253473720177081,0.0209076819971517,0.0190579710144928,0.0401517803713639,-0.0175647265733282,-0.255651842151911,-0.136376304512846,-0.0242233950292611,-0.0242233950292611,-0.0244245434036165,-0.0256541781811031,-0.0554538039029792,-0.219873126793297,-0.138747800102729,0.18541582288414,0.162357148572871,-0.0799482314194457,-0.368850044000476,-0.318800641772493
"miR205",-0.167704480435811,-0.0256263911143925,-0.156185190083929,0.0111236401112682,-0.141352821508408,-0.1683981329844,-0.167218864329163,0.262876729219419,0.103679390790228,0.143407926322872,-0.127309693469655,0.309225986427026,0.309225986427026,0.310160136313363,0.318078038976556,-0.234078243187423,-0.0119209365628609,0.157046990476823,0.0557164418902628,0.024842388575113,0.0936270917297539,-0.00583662500480378,0.0416822496093091
"FOXC2",0.251619352567087,0.142997479098252,0.244401352278444,0.0272988450467192,0.183699543251916,0.209423329428405,0.207349596709511,-0.295724610827728,-0.126535708819418,-0.187175207965751,-0.119155641443776,-0.385061347856462,-0.385061347856462,-0.386673764270547,-0.388219923799988,0.276310331854222,-0.0258661900991814,-0.240215362632176,-0.27253335082243,-0.141565666590789,-0.360130219557034,-0.147506465865781,-0.138205053066796
"miR101",0.0899148292552464,0.0628317630736001,0.23985004573825,-0.0520180116271223,0.222322519967889,0.0950877875379937,0.0949880604752181,0.0121374439975035,-0.0700792181657647,-0.223093991875182,-0.0958793230232404,-0.134856647046238,-0.134856647046238,-0.135153604957975,-0.141652798868155,0.0221292890618954,-0.0476098162166717,-0.214152938379294,-0.0706079277945704,-0.0627537880759058,-0.11862233481068,-0.0640441072103068,-0.179063310074479
"TWIST1",-0.114146422252229,0.0522948875293683,0.066003175521453,-0.123961263652361,-0.0415332322394392,0.059888954330848,0.0603171105096523,0.0361605115845494,-0.0519164751581067,-0.0585329404467634,-0.0565525815065167,-0.0698535932195412,-0.0698535932195412,-0.0698687715276411,-0.074586343785354,4.68088747514854e-05,0.124037945423012,-0.155481323858829,-0.083685447704812,-0.0525183081523765,-0.0636952348024663,0.121172649556639,0.116586380744576
"TWIST2",-0.0374307883751289,0.0467876184967836,0.114481678624062,-0.0355411385805977,0.169710028736344,0.0737115224315776,0.0737063874676079,-0.0028965841689642,-0.0607618575385967,-0.170271418246624,-0.0541073288828306,-0.0916385417648738,-0.0916385417648738,-0.0918080400392199,-0.0957998117039415,0.0197909484429271,0.0356819187809923,-0.0788251268178132,-0.0554007420104732,-0.0468091765137735,-0.0756264500387707,-0.117165596347145,0.0133750489794939
