"","CDH1","miR200c","miR200a","miR200b","KLF8","ZEB1","NP63","GRHL2","miR34a","GSC","SNAI1","TWIST1","FOXC2","TCF3","TGFbeta","miR205","miR141","CLDN7","OVOL2","miR101","SNAI2","TWIST2","ZEB2"
"miR205",0.0727204496551803,0.103192731893878,0.103192731893878,0.0987344089684237,0.0479162011649825,0.017245375769372,0.0502187001315343,0.00757469366129758,0.00700214703976659,0.0188884469997177,-0.0762482512030431,0.0107391746592408,-0.0936317465378576,-0.0110810057205645,-0.0188519448572006,-0.0486727681129038,-0.0172739468430232,-0.0172739468430232,-0.0647378726529448,-0.048503221629342,-0.0441320140251275,-0.116344068235054,-0.23435952788686
"TWIST1",0.143362078994047,0.0964892615908565,0.0964892615908565,0.0238158581254926,0.092682044953022,-0.0061104559245203,-0.0270083997577461,-0.0038759114589643,0.0507867254682675,0.00812743394409673,-0.0164065924252271,-0.00351845995329019,-0.135261582505021,-0.0963973945321559,-0.00806758353877475,0.0265998837706301,0.00590252544363941,0.00590252544363941,0.0405796588801754,-0.0922060204546901,-0.113851575605762,-0.114247927844949,-0.231550902068004
"miR200a",0.114758385776813,0.113611743273327,0.113611743273327,0.0430055837608595,0.0068040779707887,-0.00247597600315393,0.039333689910068,-0.00728401153230369,-0.00785786523552703,0.11133685200049,0.0875059277949516,0.0242942633344189,-0.0139146860551893,-0.0247482911676561,-0.111205045801054,-0.0374321437931318,0.00214006924462067,0.00214006924462067,-0.0558733609002297,-0.00712287052148932,-0.10597846213137,-0.0755579532051842,-0.23139540653187
"miR141",0.114758385776813,0.113611743273327,0.113611743273327,0.0430055837608595,0.0068040779707887,-0.00247597600315393,0.039333689910068,-0.00728401153230369,-0.00785786523552703,0.11133685200049,0.0875059277949516,0.0242942633344189,-0.0139146860551893,-0.0247482911676561,-0.111205045801054,-0.0374321437931318,0.00214006924462067,0.00214006924462067,-0.0558733609002297,-0.00712287052148932,-0.10597846213137,-0.0755579532051842,-0.23139540653187
"miR200c",0.0488169418190487,0.0969664218383381,0.0969664218383381,0.0901261375099964,0.0442149895281289,0.0144342370973931,0.0531849046936536,0.00462526837418793,0.112218278180439,-0.0760076210930494,-0.127613754610614,-0.0100387376232612,-0.0186620997002381,0.0100017646726718,0.0759280828692516,-0.0528685727227988,-0.0141393980090061,-0.0141393980090061,-0.0698077668110332,-0.0447409071823921,0.0475046495980223,-0.044050560790675,-0.212991794680753
"miR101",0.0703982555173507,0.0511831777070181,0.0511831777070181,0.048262945122904,-0.167780735889793,0.0168857537856874,0.0413259016224157,0.0105107326783146,-0.0267724366748201,0.0120577971923222,0.0209916970635349,0.0109894803784307,0.0298805417318641,-0.0109905715692472,-0.0121735020276105,-0.0411238231004757,-0.0165419945160523,-0.0165419945160523,-0.0563657176004782,0.0671932355574966,0.0404800229222805,-0.00866493017453312,-0.126400230887252
"miR34a",-0.00511594370476927,0.11275071311772,0.11275071311772,0.0983493147013367,-0.0198518258363757,-0.0477728308001759,-0.0565735444791258,-0.0448919823038003,-0.00169116006251944,0.0329315325011813,-0.0179679102955211,0.0211463388432862,-0.0745715640457464,-0.0209314002149568,-0.0329568750785214,0.0559131474840268,0.0480077060925802,0.0480077060925802,0.0650272797864634,0.0199728307534009,0.0796030987945068,-0.00985907215932491,-0.109302643913059
"GSC",0.0244796210688087,0.0569003603975322,0.0569003603975322,0.079138303235726,-0.134141551065589,-0.038476845700613,-0.0485186504252724,-0.036510510193898,-0.0620542104269992,0.0193057450237412,0.124151877555137,-0.0157599245552144,-0.0141764965312293,0.016093747708805,-0.0194237077524086,0.047150808129443,0.0388156692300248,0.0388156692300248,0.0571509793136874,0.134265294147669,0.0644796126192501,0.0632157622215109,-0.0835322726778584
"TCF3",0.208915051822722,0.0440238068149511,0.0440238068149511,0.0184536698654578,0.0300304216386087,-0.0334630887044503,-0.05116067688699,-0.0301459922843431,-0.00792958494634517,0.00700923309881262,-0.0179374777117544,0.0705858157465262,-0.0263567863896107,-0.0696177615354904,-0.00686422675478507,0.0465942028985507,0.0326548379638586,0.0326548379638586,0.0554145562370353,-0.0270055371206531,-0.0341759893502537,-0.0253939197265595,-0.0585641051533111
"CLDN7",0.208915051822722,0.0440238068149511,0.0440238068149511,0.0184536698654578,0.0300304216386087,-0.0334630887044503,-0.05116067688699,-0.0301459922843431,-0.00792958494634517,0.00700923309881262,-0.0179374777117544,0.0705858157465262,-0.0263567863896107,-0.0696177615354904,-0.00686422675478507,0.0465942028985507,0.0326548379638586,0.0326548379638586,0.0554145562370353,-0.0270055371206531,-0.0341759893502537,-0.0253939197265595,-0.0585641051533111
