"","TWIST2","ZEB2","miR34a","ZEB1","NP63","GRHL2","CDH1","TGFbeta","miR200b","miR200c","miR200a","TCF3","TWIST1","GSC","FOXC2","SNAI1","miR205","OVOL2","miR141","CLDN7","miR101","KLF8","SNAI2"
"ZEB2",-0.0906052622914175,-0.0846523298259894,-0.0440889264728662,-0.0349591714620986,-0.0325208634099433,-0.031152998117043,-0.0237853329319607,-0.00994786541653989,-0.00877974926107591,0.00694979356835947,0.00694979356835947,0.00929797052167764,0.0093450583811285,0.00992384901148783,0.0230354833052269,0.0249313886427887,0.0324666334750192,0.0337719145910647,0.0349255385420983,0.0349255385420983,0.0969807941309778,0.097041450211004,0.110785066404436
"GSC",0.0818695013554787,-0.0651670302497308,0.0903615268264483,-0.0585305412340399,-0.0664673938945145,-0.0579213340304854,-0.0749907968428665,0.0146380714016279,0.116363074090309,0.0606288311072593,0.0606288311072593,-0.389965435350153,-0.39038071774218,-0.0144724346168152,0.0341954545338447,-0.307571759934669,0.0669731507097791,0.0724134826924297,0.0587062275085497,0.0587062275085497,0.076538404087038,0.0764127122950043,-0.188690230733726
"ZEB1",-0.155148828029853,-0.0489198883207411,0.254676615854802,0.123683906146646,0.151034740276919,0.191703581922506,0.10526190238522,0.0384201766931895,-0.199728425079413,-0.19802170498734,-0.19802170498734,-0.0251931013827098,-0.0256251745527086,-0.0382996597739404,-0.156645679807743,-0.19470337510334,-0.150646764647536,-0.142492528062957,-0.223501310120132,-0.223501310120132,0.070622329823224,0.0705407691486952,0.0203849736035388
"miR205",-0.126238643179632,-0.0308036420876277,0.251029723685716,0.226762709109227,0.156787556480556,0.199821418438626,0.0360933345996748,0.030880315474757,-0.0978568758201476,-0.102609652354088,-0.102609652354088,-0.0207708214511928,-0.0212979826060052,-0.030747003302086,-0.147001303563435,-0.175666536533145,-0.156420893117163,-0.14661212417287,-0.226491905019837,-0.226491905019837,0.0365628289945004,0.0364038703612943,-0.0114538229953221
"miR200a",-0.0122567936657395,-0.0259145208336355,0.256394967894556,0.245179378256346,0.172906537704247,0.21881101266385,0.0366698864405746,0.143539166149877,-0.0350973503218282,-0.11464857767027,-0.11464857767027,-0.0367582881070447,-0.0372921775135549,-0.143376680921261,-0.153280189044731,-0.187321233092451,-0.172405382559409,-0.160795903004257,-0.244929624327576,-0.244929624327576,0.00343986691410716,0.00328857553411365,-0.139498840362793
"miR200b",-0.0341034842340966,-0.0176444231734468,0.240626452020296,0.229180912388877,0.16075468596427,0.206426529190135,0.0938041594361286,0.131887048400189,-0.0716059416057594,-0.109054202308218,-0.109054202308218,-0.0329346461793073,-0.0334330415532517,-0.131746152118033,-0.144803772905693,-0.1797712848517,-0.160310399488351,-0.148862749790103,-0.228947674805709,-0.228947674805709,0.0245364724820366,0.0243959876291855,-0.103449952222199
"miR101",-0.043806985606001,-0.0140365734448829,0.291156710963982,0.255492066252721,0.196860167433912,0.228608158319551,-0.0138729457582431,0.0378309094208667,-0.0829954885549439,-0.12644420922797,-0.12644420922797,-0.295261597877181,-0.296196748406954,-0.0375282322792792,-0.209920849598962,-0.401072462402495,-0.195996741021987,-0.182691866552193,-0.255060307246756,-0.255060307246756,0.130488065035144,0.230203619172901,-0.154392053830325
"TGFbeta",0.106220461496907,-0.00865807675813349,0.174725042994018,0.12927677591033,0.120431195722999,0.120259568308089,0.0465579389152841,0.125580385190165,0.088829023909591,-0.0628603709543687,-0.0628603709543687,-0.0399045010343363,-0.040158624874329,-0.225475694981958,-0.108411890671499,-0.122220567880983,-0.12018862281485,-0.120537209114313,-0.12914931875772,-0.12914931875772,-0.0374607322917531,-0.0375874539403809,-0.192220101614032
"SNAI2",-0.163912362756044,-0.00512194867916222,0.122061963788874,0.0855140735213681,0.0693192453723132,0.0774175762694308,-0.200294950765379,-0.181031500128934,-0.197604755150261,-0.0417354884463034,-0.0417354884463034,-0.00623805142276492,-0.00674811671112182,0.181205150888387,-0.116183878589725,-0.189124847077749,-0.0687739536005219,-0.0650108107968654,-0.0852712073925376,-0.0852712073925376,0.215087406707596,0.214921612943939,0.00913765609360839
"CDH1",-0.16380801701883,-0.0050624812221334,0.121405511171139,0.0852712073925376,0.0687739536005219,0.0771394776085828,-0.200299672927719,-0.181205150888387,-0.197572168723637,-0.0415350072915319,-0.0415350072915319,-0.00515969816911286,-0.00623805142276492,0.181616387257231,-0.115637750497864,-0.188446713436888,-0.0676183295635419,-0.0647456684466759,-0.0848139710254009,-0.0848139710254009,0.214921612943939,0.21462074917376,0.109340082038508
"TWIST2",-0.0841303635649748,-0.00396732782834246,-0.145753068992741,-0.149714771324137,-0.131616640275107,-0.137261955150924,0.0476139239804962,-0.0319860990694012,0.00222706919028349,0.0777231776144852,0.0777231776144852,0.0536962860742622,0.053992654140603,0.0318990483425686,0.0918782087802683,0.152353225094862,0.13137187365922,0.129176281705765,0.149578849850804,0.149578849850804,0.0128356198338213,0.012926866260003,0.145666149085534
"miR34a",-0.163523146389865,-0.00259449775868811,0.13039496880917,-0.0117640598405017,-0.031708284192045,-0.0150182898190636,-0.0950787098696823,-0.0124326928649161,0.000610015850692798,0.049106575905479,0.049106575905479,-0.111638822846155,-0.11222852626234,0.0126643964291686,-0.195082943900296,-0.308807285490289,0.0323913882471474,0.0427659345373625,0.0120172587372779,0.0120172587372779,0.113238381369594,0.113055913637572,-0.00448784985481457
"TCF3",0.163618516738089,0.00490661740257917,-0.120165776071801,-0.0848139710254009,-0.0676183295635419,-0.0765583653792545,0.100332836023826,0.181616387257231,0.197487857927418,0.041121020921237,0.041121020921237,0.00302997890483406,0.00515969816911286,-0.182196412633341,0.114640080386149,0.187280245288861,0.0659420289855072,0.0642260850453851,0.0839472043940876,0.0839472043940876,-0.21462074917376,-0.214427037357339,-0.109684725400719
"KLF8",0.163618516738089,0.00490661740257917,-0.120165776071801,-0.0848139710254009,-0.0676183295635419,-0.0765583653792545,0.100332836023826,0.181616387257231,0.197487857927418,0.041121020921237,0.041121020921237,0.00302997890483406,0.00515969816911286,-0.182196412633341,0.114640080386149,0.187280245288861,0.0659420289855072,0.0642260850453851,0.0839472043940876,0.0839472043940876,-0.21462074917376,-0.214427037357339,-0.109684725400719
"CLDN7",0.163618516738089,0.00490661740257917,-0.120165776071801,-0.0848139710254009,-0.0676183295635419,-0.0765583653792545,0.100332836023826,0.181616387257231,0.197487857927418,0.041121020921237,0.041121020921237,0.00302997890483406,0.00515969816911286,-0.182196412633341,0.114640080386149,0.187280245288861,0.0659420289855072,0.0642260850453851,0.0839472043940876,0.0839472043940876,-0.21462074917376,-0.214427037357339,-0.109684725400719
"TWIST1",-0.105949303619789,0.00721497814254906,-0.189362793390031,-0.156175538181016,-0.135343045710062,-0.141418188569503,0.035099745373006,-0.0380919841782251,-0.0132064152698158,0.0901531043525421,0.0901531043525421,0.34783988226116,0.248283484342741,0.0379669563681546,0.0318158608295475,0.287047411710867,0.134962025991309,0.132744956861332,0.155966373691347,0.155966373691347,0.028735548863416,0.0288699909288445,0.211805245135594
"OVOL2",-0.0853621264956781,0.0127913053844398,-0.1349603040582,-0.107396332113927,-0.0444472664077082,-0.0305313890473433,-0.000912908002690312,-0.0395855375819812,-0.0102115222700374,0.100053419600898,0.100053419600898,0.0242343884930141,0.0243063257637141,0.0395951826437096,0.0772823955798776,0.0820751738598014,0.04443538209608,-0.0204835000169743,0.107354348931656,0.107354348931656,0.0968050582484839,0.096796284683236,0.109157039957157
"miR200c",0.0122567936657395,0.0259145208336355,-0.256394967894556,-0.245179378256346,-0.172906537704247,-0.21881101266385,-0.0366698864405746,-0.143539166149877,0.0350973503218282,0.11464857767027,0.11464857767027,0.0367582881070447,0.0372921775135549,0.143376680921261,0.153280189044731,0.187321233092451,0.172405382559409,0.160795903004257,0.244929624327576,0.244929624327576,-0.00343986691410716,-0.00328857553411365,0.139498840362793
"miR141",0.0122567936657395,0.0259145208336355,-0.256394967894556,-0.245179378256346,-0.172906537704247,-0.21881101266385,-0.0366698864405746,-0.143539166149877,0.0350973503218282,0.11464857767027,0.11464857767027,0.0367582881070447,0.0372921775135549,0.143376680921261,0.153280189044731,0.187321233092451,0.172405382559409,0.160795903004257,0.244929624327576,0.244929624327576,-0.00343986691410716,-0.00328857553411365,0.139498840362793
"FOXC2",0.155131334391176,0.0488509818139981,-0.254164783163553,-0.223501310120132,-0.150646764647536,-0.191438047397352,-0.105233725863117,-0.0382996597739404,0.199715258882682,0.197850119877169,0.197850119877169,0.024505854875274,0.0251931013827098,0.0381379159804514,0.156172053560336,0.194249653738304,0.150199488963069,0.142279131912634,0.223146348953309,0.223146348953309,-0.0705407691486952,-0.0703336589352518,-0.0205353455794745
"GRHL2",0.0424459419134808,0.0504885440812902,-0.11541441759698,-0.107231542371183,0.095540059560882,-0.113560492269001,-0.0724692953377559,0.0640290322760386,0.095839210348378,0.090068560915731,0.090068560915731,0.00897266302615648,0.00916631583845777,-0.0640362386043035,-0.00627240330249148,0.037377203289173,-0.095611219114486,0.00396325728568127,0.107119525566479,0.107119525566479,-0.0167206941418688,-0.0166881222857131,-0.00555160043672535
"NP63",-0.182592722399514,0.0830229778221481,0.0424979903228868,0.0129118097845562,-0.154830988526142,-0.0480519164886945,-0.113307377519292,-0.100100575810649,-0.137793004115476,-0.0339539724106378,-0.0339539724106378,0.0329264115140015,0.0326010440731847,0.100235796528517,-0.0898794925859714,-0.131192328644937,0.0551803006499599,0.0580630224618405,-0.0127608287470959,-0.0127608287470959,0.21021349986761,0.210087396462818,0.1604545305281
"SNAI1",-0.00809147695268769,0.0832133165787883,-0.365219910931244,-0.227154198412514,-0.194844323054829,-0.205737803632785,0.102124606687574,-0.058562948673528,-0.0176496962731741,0.0810006075757153,0.0810006075757153,0.350696980882086,0.351496596657764,0.0583039788931742,0.220406989902983,0.351369849315745,0.194085930503984,0.187423236477619,0.226779803069871,0.226779803069871,-0.120829330262786,-0.120585054215254,0.225363557285525
