"","TWIST2","OVOL2","ZEB2","miR141","GRHL2","miR101","miR200c","TCF3","miR200a","GSC","FOXC2","TGFbeta","SNAI1","miR200b","TWIST1","CDH1","SNAI2","KLF8","miR34a","NP63","ZEB1","CLDN7","miR205"
"ZEB2",-0.113610877034938,-0.0928984655499345,-0.0925413688095757,-0.0867385228039385,-0.0785655896288281,-0.0751846486787449,-0.0402193846525645,-0.0371723603010976,-0.031031432084086,-0.0123266451839555,0.00384374069941607,0.0121819309483853,0.0166105262218945,0.0227855663177849,0.0375084701944192,0.0436196317400113,0.0716484155005744,0.0751697332492302,0.0811181885219989,0.0866547028249391,0.0867289484690479,0.0867385228039385,0.0867399212941055
"OVOL2",0.105611539517262,0.146693226948041,-0.0697014478765806,-0.146396237420821,-0.146947554153002,0.100140225899368,-0.141767058024211,0.136168237605751,-0.192542221397466,0.23525263752651,-0.0517632160143241,-0.235395935586475,-0.145300230944104,0.144818823939937,-0.136020766200816,-0.0256053025079283,-0.140300260796733,-0.100004235638025,0.17436447081535,-0.16575308491266,0.146468383277733,0.146396237420821,-0.165242059512645
"miR101",0.0194400221312481,0.141382520185322,-0.0640413103617085,0.180680869671258,0.167517898595876,-0.0769126974631177,0.123841230607691,0.0182937358541932,0.0534768506853259,0.0282900588377373,-0.0973383694722023,-0.0280812870697171,-0.0154949320699222,-0.0538358253017436,-0.0184323170878936,-0.0106714258197194,0.0574721079785324,-0.0231471159191297,-0.0831313590062252,-0.148241558504888,-0.18075832262271,-0.180680869671258,-0.14882155010682
"GSC",0.0327990379239429,-0.0736456744979558,-0.041789244941914,-0.0596634127592406,-0.0583170000220671,0.0894703583680595,-0.0021126608831725,0.102940299143283,-0.0493843766297462,0.00346872769043285,0.0576455029707199,-0.00364842220975001,0.0187488874852382,0.0772377803134799,-0.102882798504387,0.0452460449347923,-0.0748193353651969,-0.0894966659524386,-0.00174938897562585,0.0671473890622918,0.0597553584605981,0.0596634127592406,0.0674692343083693
"ZEB1",-0.0919717438836964,-0.113440808085632,-0.0398930947687079,-0.152745687417338,-0.138403763155862,0.00548400123476665,-0.155874919489477,-0.0143926141460741,-0.181129086245054,-0.0259612596802976,-0.0909241674236409,0.0259262708972898,-0.0772113535627102,0.193802073320776,0.0142862484282858,0.207039166004028,-0.031474321738016,-0.00555747931992776,0.166281320137366,0.113047098777052,0.052779952575126,0.152745687417338,0.113141937264234
"CLDN7",0.0443343146860567,0.11404283458207,-0.0392906376883602,0.121062248802947,0.113050587744,-0.0112660300107441,0.0796805149244986,0.139879222747125,0.0397694562645719,0.0202016447226685,-0.084263906136682,-0.0210354312008269,-0.0708641425798946,-0.0172662558680397,-0.139395195641607,0.104286087243082,-0.0298756797615833,0.0116087509167193,-0.0432353342499906,-0.111583102957192,-0.121438944849467,-0.121062248802947,-0.110253623188406
"CDH1",0.0449730008174436,0.114166323013767,-0.0391503602507614,0.121438944849467,0.113235634655015,-0.0106545971874773,0.0798312484234265,0.139395195641607,0.0400560622132376,0.0210354312008269,-0.0838636432774909,-0.0210702123862515,-0.0711927251568035,-0.0173121091080889,-0.138848050887291,0.00398761937812243,-0.0297426411384806,0.0112660300107441,-0.0437333474950237,-0.112918490733258,-0.121053903698194,-0.121438944849467,-0.111583102957192
"TWIST2",-0.0776625539839935,0.140313675778067,-0.0357761414691373,0.166851876494725,0.158298641581536,-0.0819129042203699,0.101193186668872,0.162921803801187,0.0608297704078007,0.0129771879040318,-0.106307741206817,-0.0128486584609654,-0.0791477913720569,-0.0650698583108247,-0.163145504697415,-0.115502632855531,0.0834233152346865,0.0817251972865105,-0.0416455979046848,-0.146237454976635,-0.166930329981708,-0.166851876494725,-0.14683139914246
"GRHL2",-0.0341948194847196,-0.185037492759639,-0.0274173289439896,-0.0518992940378376,-0.0128475591300235,-0.00713380558301476,-0.0599255304932498,-0.0483215266011605,-0.0709527671579512,-0.130366258874397,-0.0181532722258392,0.130294749924692,0.0184217873417878,0.0758507399964755,0.0483966754536953,0.12136885433002,0.0163530335056963,0.00727377653244035,0.0535557246091791,0.0572695299731706,0.0520676467794107,0.0518992940378376,0.0578891387691857
"miR200a",-0.00447646306322245,-0.0994937233246324,-0.0249646170861049,-0.147361965640578,-0.141025748944278,0.0127490756891988,-0.0588908080053118,0.0910648054878625,-0.0810572600055902,0.100428789608587,-0.0278177838875757,-0.100627635168082,-0.0821848980486048,0.124786825785508,-0.0909272661116702,0.162177110696076,-0.112281305293851,-0.012781495270626,0.159440147617925,0.105425417555933,0.147434503644912,0.147361965640578,0.105755966694017
