"","miR200a","miR200b","CDH1","miR141","CLDN7","GRHL2","miR34a","TWIST2","SNAI1","FOXC2","TCF3","TWIST1","GSC","TGFbeta","miR205","NP63","KLF8","miR101","ZEB1","SNAI2","OVOL2","miR200c","ZEB2"
"miR205",0.180813343561091,0.117490437145728,0.0686689691590065,0.0553444195480593,0.0553444195480593,0.0379822717144991,0.0495911841396137,-0.0526672904213857,0.07932905996189,0.0666685422890637,-0.0177576880495918,-0.0170616705873785,-0.0385283899772003,0.0386458316531247,-0.06924869679556,-0.0699225645985527,-0.0544600725473632,-0.0544763439035182,-0.0556978313069195,-0.0519570485546391,-0.200735131419084,-0.116741673004481,-0.318009617702466
"miR101",0.107942139239118,0.155648418097479,0.129953295283786,-0.0750608338109787,-0.0750608338109787,-0.074269099723685,-0.0165142436204166,0.0167784701863689,0.000869093712434873,-0.0649748990717486,0.015657029273228,0.0157148623865045,0.0894216855431128,-0.0893881479096959,0.0361210653795785,0.0352628877604309,0.159893992626052,0.0589954627060694,0.075185088120329,0.0388854157591313,0.134376615190376,-0.178877178600393,-0.305102614819007
"miR200a",0.153123261289793,0.0601987304282907,0.05175082672956,0.024199872506261,0.024199872506261,0.015074603803147,0.106906558415072,-0.0711773913677475,-0.0113633237413818,-0.097904560905495,-0.0895298858192095,-0.089090647166208,-0.12892772371354,0.129461766073325,-0.0584068006403052,-0.0587906641554998,0.0435145085863953,0.0436766064935312,-0.0245027465735896,0.0582085270130312,-0.164016767111088,-0.12580077715595,-0.293237760696028
"miR141",0.153123261289793,0.0601987304282907,0.05175082672956,0.024199872506261,0.024199872506261,0.015074603803147,0.106906558415072,-0.0711773913677475,-0.0113633237413818,-0.097904560905495,-0.0895298858192095,-0.089090647166208,-0.12892772371354,0.129461766073325,-0.0584068006403052,-0.0587906641554998,0.0435145085863953,0.0436766064935312,-0.0245027465735896,0.0582085270130312,-0.164016767111088,-0.12580077715595,-0.293237760696028
"miR200b",0.171484940155142,0.0983617039671977,0.0406268124203708,0.0679595232449234,0.0679595232449234,0.0522894013392477,0.0644470711984241,0.0276023292765633,0.0594830037094759,0.0947679935910178,0.0655225928992074,0.0660831028301419,0.0557364442727647,-0.0561023201022347,-0.0696983051788778,-0.0702812090352844,-0.105128635027739,-0.105314147077016,-0.0681646384017952,-0.128408369305812,-0.212150393307614,-0.0941824832836183,-0.277188810235848
"GSC",0.156817303232217,0.0146533540566196,0.0222532624351275,0.11862570861673,0.11862570861673,0.113542724270241,0.108663116913289,-0.0726016690786996,-0.0737077544200228,0.0721601712670398,-0.0241277355348503,-0.0235926601451237,-0.0635060293481886,0.0636637204569772,-0.0294614806689149,-0.029896354900222,0.111747463949273,0.11128951711008,-0.118707759898782,0.0550900513884422,-0.16073577356521,-0.0347026293408628,-0.211251128642332
"NP63",0.0681364391654863,-0.0294909140972375,-0.0383434540735997,-0.00961895618097401,-0.00961895618097401,0.108373700987009,-0.00532247795963545,-0.0181216198870125,-0.00513610849706714,-0.0462584239934852,-0.0867792831755917,-0.0876746046161841,-0.0868866405701917,0.0877818359555708,0.0831079765247455,-0.0169296417039733,0.0208821706538517,0.0214688256239707,0.0092616909395231,0.0281154704350211,-0.149564282040766,-0.0801426368253607,-0.200877796262033
"SNAI2",0.00150286584827232,0.0193203828667791,-0.0771402840203841,-0.0562295399137031,-0.0562295399137031,-0.0529673185347504,-0.0366777178020159,-0.0667606609592246,0.00118976334149869,-0.0292091866653303,-0.0840702030456279,-0.0834603916564367,0.0405209001087309,-0.0406962744489226,0.0263219011391727,0.0258986896147974,0.04093546087876,0.0410027495610811,0.0561333875507717,-0.0302720126105258,0.116203896534298,-0.0588902969443898,-0.0630541531305352
"CLDN7",0.00103346135711223,0.019032914394176,-0.177555115273789,-0.0562356259897337,-0.0562356259897337,-0.0528811212538948,-0.0371328764779038,-0.0665968409463336,0.000717146700194571,-0.0282895538218665,-0.085978696853552,-0.0823968962727195,0.0412149588511563,-0.0416318520902355,0.0271376811594203,0.0260394152634665,0.0432814668106532,0.0403757895643412,0.0565391771728519,0.0695772698665245,0.116878778129041,-0.0584284068948236,-0.0626736425792718
"OVOL2",-0.0924376690139062,-0.006795734345087,-0.163571510500874,-0.114337688246653,-0.114337688246653,0.0366860755920344,-0.137820669957501,-0.114433488065214,0.0731195085382292,0.11638264659071,0.0351958800234803,0.0350502070503129,0.287657898051383,-0.287639985793888,0.29425451395558,0.294065445361494,0.12602015929459,0.12564289598893,0.114366899845968,0.146403345056476,0.250349329783509,-0.125901822764269,-0.0427871373838529
