"","TWIST2","KLF8","TWIST1","ZEB2","miR200b","TGFbeta","ZEB1","GRHL2","miR200c","NP63","miR205","miR34a","miR141","CLDN7","miR200a","GSC","OVOL2","CDH1","SNAI1","TCF3","FOXC2","miR101","SNAI2"
"miR101",-0.0505246534811649,-0.340330648886367,0.223681668708533,-0.11677584334633,0.0849349644779848,0.0490546067202362,0.119327669744301,0.117283361198962,-0.00435067527610186,0,0,0.0334434780944693,-0.11944434355202,-0.11944434355202,-0.118388804673364,-0.0492575094024084,-0.114664011812876,-0.0378455678371642,-0.257837923289637,-0.223780967072838,-0.272329652404324,0.240704150228845,0.13258606429315
"TGFbeta",0.134621886861277,0.0468426906515656,0.105375330553636,-0.0786125742956359,0.167803708515378,0.140793046228288,0.0956163652016411,0.0953271762632431,-0.00679340953827752,0,0,0.0301549773921002,-0.0954799877637871,-0.0954799877637871,-0.0881188248142925,-0.240587575404711,-0.0962087725770788,-0.0709615447284197,-0.038140588294921,-0.105073558493644,-0.113831254014632,-0.0471868472601342,-0.132138317228139
"ZEB2",-0.142254956621025,-0.123958349790375,-0.0826615423804653,-0.077346074872823,-0.0564217487378121,-0.0242681545865583,-0.0156074636856584,-0.0132157640937006,-0.00570371266534094,0,0,0.00105832939649608,0.0151501050728077,0.0151501050728077,0.0196274281692597,0.0235224144194287,0.0294547315605508,0.0564382220972937,0.057558776542064,0.0821890400666653,0.0948547225379698,0.124482378547323,0.175106583660834
"miR200c",0.0243009485098001,-0.00583862583991072,0.136503729236413,-0.0272605657378291,0.0946700019653418,0.135872520345994,0.0299441641795423,0.0256601855824928,-0.00463946193553011,0,0,-0.0198638414938616,-0.0302729287345718,-0.0302729287345718,-0.0291823491759143,-0.136292936671783,-0.0929033342328522,-0.0911870242560572,-0.133534251717071,-0.13695775706965,-0.180677532051355,0.00574496927134331,-0.108742114281499
"miR200b",0.0243009485098001,-0.00583862583991072,0.136503729236413,-0.0272605657378291,0.0946700019653418,0.135872520345994,0.0299441641795423,0.0256601855824928,-0.00463946193553011,0,0,-0.0198638414938616,-0.0302729287345718,-0.0302729287345718,-0.0291823491759143,-0.136292936671783,-0.0929033342328522,-0.0911870242560572,-0.133534251717071,-0.13695775706965,-0.180677532051355,0.00574496927134331,-0.108742114281499
"miR205",-0.0815012330780253,-0.0331781226834171,0.0373599434405472,-0.0156046869534516,0.016991113044827,0.0175915074274706,0.0158460159500241,0.0133844800079182,-0.00210063757037277,0,0,0.00343360850207713,-0.0161888688338392,-0.0161888688338392,-0.0160518674981476,-0.0180327072370246,-0.083703944271829,-0.0559773775039966,-0.143369449519115,-0.0378047356649201,-0.14941033598028,0.0333621141722461,-0.000194096199345027
"TWIST2",0.166330205351511,0.245471796221216,-0.03732403852951,-0.0068445809616798,0.0937704958021909,0.0332948401700185,0.00821198088862287,0.0077650683826636,-0.00192641808744939,0,0,-0.101577250479856,-0.00851191212075157,-0.00851191212075157,-0.00794393746973823,-0.0335439853537119,-0.0484149317316322,-0.209578739551068,0.254593161135966,0.0368481398075973,0.139802816510047,-0.246237397187559,-0.242968255231242
"OVOL2",0.158387787209734,0.160269835210451,0.0698845661734936,-0.0065438110001264,0.0534650468014408,0.0248888020063842,-0.0140432292649125,0.0287524649661267,0.0108709724617528,0.0240834337367673,-0.0241428552949085,0.0503521739415754,0.0139903766503385,0.0139903766503385,0.00693822404312756,-0.0249611399693471,-0.0487776382859138,-0.118471612404924,-0.00113942826681166,-0.070041029737266,-0.0556728604173175,-0.160883984777805,-0.165489431043488
"ZEB1",-0.114986115395609,-0.075660626025032,0.0178904619004013,-0.00402720397710805,-0.00288732834998502,0.00533856486393897,-0.0849613777881196,0.0117872051334727,-0.00820059408182591,0,0,0.00609998865044278,-0.0149701827853174,-0.0149701827853174,-0.0113670275316823,-0.00528207970444272,-0.0799761476243835,-0.0531667799340888,-0.137600726225664,-0.0178225561031692,-0.1310488926031,0.0759008993635088,0.0546443682190921
"miR200a",-0.101564227235042,-0.0343147707528005,-0.0855378717738415,-0.00318622005825183,0.000996979406042678,-0.0947065718210565,0.00312339629429784,0.00248297288087597,-0.000313209945722056,0,0,-0.0814624377419653,-0.00328744378102338,-0.00328744378102338,-0.00317203184387372,0.0944952273978222,-0.071111351108916,-0.0519303186654423,0.0171683379528479,0.0853530070208947,0.0750716154705911,0.0346731872363566,0.1088067794111
"CDH1",-0.392319081125885,-0.456548828783141,-0.0621014772291621,-0.00076856699074445,-0.290475560776267,-0.229127109291002,-0.0012662558917382,-0.00158929819704793,0.000969130142039954,0,0,0.0882151376952327,0.0017459529926992,0.0017459529926992,0.000859676476482793,0.229301015218125,0.0153931951511666,0.29648836787819,-0.240299083275191,0.0627867361933055,-0.113834251082705,0.459754807237413,0.473244462642356
