"","miR200b","CDH1","TWIST2","GSC","miR101","ZEB1","CLDN7","SNAI2","NP63","miR205","TWIST1","SNAI1","OVOL2","TCF3","FOXC2","miR34a","miR141","GRHL2","KLF8","TGFbeta","miR200c","miR200a","ZEB2"
"miR141",0.291118315444148,0.0166163355934369,0.158031139786865,-0.000783526575523136,0.0226769089098696,0.257685755048262,0.257414574508981,0.125645209062983,0.141156595036581,0.140954000403561,0.0558214507739814,-0.0830410780271736,-0.0888066259639066,-0.0551988262860567,0.0626361167436357,-0.243715579697962,-0.257414574508981,-0.26854115467998,-0.0227741676541512,0.000119950536981186,-0.318430595751621,-0.318430595751621,-0.403339661584903
"miR101",0.263539864958581,0.0401264818324454,0.121290976747812,0.0829614757540009,-0.00752160859737909,0.239307540050272,0.239099570635948,0.104195173718968,0.158974391519295,0.158696205502078,0.0731968301978379,-0.031201525752534,-0.106892755759539,-0.0729011174865561,0.0108749183178727,-0.170497763614602,-0.239099570635948,-0.251752305126042,-0.0923720565008478,-0.0834167491276353,-0.287952404728948,-0.287952404728948,-0.357835891220675
"miR200b",0.183612579345869,0.0108101882447644,0.0319386096485394,0.167719368220696,-0.00573960221966103,0.224205476606427,0.22408562150388,-0.0696315660140057,0.119735745765948,0.119383870877019,0.0673847436858869,0.0199117203771055,-0.0737311288810848,-0.0674098852922877,-0.0734502710519682,-0.129010195617289,-0.22408562150388,-0.237009432958113,0.00592871644465293,-0.168073881446766,-0.261558175483494,-0.261558175483494,-0.313276805502083
"TWIST2",0.0107632574170162,-0.0391264332139763,-0.105789852302544,-0.00187774727256646,-0.0625512650887267,-0.0662652343278793,-0.0663169985627748,-0.0990013353145864,-0.0575030802973424,-0.0576691107990284,0.0911186186419803,0.011319877057187,0.0499443056545439,-0.0910545005507047,-0.0799440955221315,0.0220121346085534,0.0663169985627748,0.0710564974409813,0.0625964537950262,0.00185400616524846,-0.0716919078239829,-0.0716919078239829,-0.211515876881363
"TGFbeta",0.192917885814866,0.0127243765019813,0.134392158216722,0.0328608318266859,0.0285785650703946,0.107720567135272,0.107599285564753,0.092813042966705,0.0950208139673016,0.0945411192275905,0.0117756403747454,-0.0395372703904484,-0.0821025861025534,-0.0118527851118861,0.0674823597010335,-0.122441901175258,-0.107599285564753,-0.112450948502083,-0.0283161196888101,-0.133050664278913,-0.140572676575383,-0.140572676575383,-0.18514862634064
"SNAI2",0.0913456669465585,0.0397880446865603,0.0463156723543396,0.032346344357577,-0.000788423905230957,0.0766932825011067,0.0765467401297941,-0.0774413168437356,0.0556051348290165,0.0556078477234035,0.12017330301007,-0.0335480853408293,-0.0398457039434993,-0.119706309901618,-0.0191897767033543,-0.0558765328821179,-0.0765467401297941,-0.0805064471922999,0.00066980158897415,-0.0325923855080671,-0.126873131027432,-0.126873131027432,-0.183258742126846
"CDH1",0.0908413839286037,0.0396950386196083,0.0462323459023199,0.0316609504095032,-0.00066980158897415,0.0765467401297941,0.0763044850721181,0.0225181979672845,0.0556078477234035,0.0543495015498031,0.119706309901618,-0.0337854098520432,-0.0396924657791312,-0.119807239516492,-0.0195474969686529,-0.0555142725623136,-0.0763044850721181,-0.0801513365946017,0.000886552907275079,-0.032346344357577,-0.126216671804366,-0.126216671804366,-0.182629814301309
"ZEB1",0.259815052660467,-0.137852327488403,0.156293436967548,0.0825188471810616,-0.00646541670953964,0.137785462702204,0.237678304556231,0.0238994391466808,0.127836756018048,0.127471771537073,0.12652283615221,-0.0997252537895255,-0.075232451149407,-0.126356376808553,0.0656345701711497,-0.242337304163328,-0.237678304556231,-0.254919302200729,0.00644337328399131,-0.0826736668287497,-0.279419603454166,-0.279419603454166,-0.153615910508766
"TWIST1",0.0869482534083332,0.114491533828009,-0.0479195382047462,0.0358326741486991,0.0149933350845794,0.152154376669558,0.152076263913239,-0.0457519222145632,0.11539087501429,0.115347666592576,-0.0797082302909026,0.00319559226642227,-0.0867114423449005,-0.0200671093547059,-0.114409188990264,-0.0635167451033916,-0.152076263913239,-0.160809967609549,-0.0150680251209285,-0.036035413479816,-0.152747747474343,-0.152747747474343,-0.152477609675356
"GRHL2",0.206169986079773,-0.0375083829208469,0.0833778102321077,-0.0324941611608556,0.00443143446634722,0.23655957524169,0.236365019738782,0.0248732053080449,0.0680545688145595,0.0671711489905492,0.0579231375117348,-0.0949815158709995,-0.125716088382977,-0.0577352653803978,0.072558993994719,-0.241186104973301,-0.236365019738782,-0.140126904971226,-0.00442703286416403,0.0321643330595014,-0.273067951128205,-0.273067951128205,-0.142148892257794
