"","TWIST2","ZEB2","CDH1","TCF3","miR200b","OVOL2","NP63","miR205","FOXC2","miR200c","ZEB1","miR141","TGFbeta","GSC","CLDN7","miR34a","miR200a","GRHL2","SNAI1","TWIST1","SNAI2","miR101","KLF8"
"miR34a",-0.190532098760511,-0.120979733567846,-0.0551861616998906,-0.120652328643135,-0.0553755176983473,-0.0905333467096314,-0.0914924371346767,-0.0915435280196844,-0.162151648367437,0.138660639404628,-0.0836913465977758,-0.0836977717577504,-0.0685555424040066,-0.0686080377427825,0.0836977717577504,-0.00692475949508341,-0.138660639404628,0.0907881387523472,0.0952312179821498,0.120709803074886,0.0812075455724925,0.0879655289666856,0.0874315707613998
"miR101",0.0114669297409675,-0.120113022321334,0.00595854480920751,0.0100665079472406,0.0241413208785318,-0.0929544344497915,-0.0983652365806287,-0.0981631580586887,-0.09920840964907,0.10498495986124,-0.0941459142342466,-0.0940865885693048,-0.0464118971007015,-0.0464211199498911,0.0940865885693048,0.0291092737050026,-0.10498495986124,0.105042525282993,0.00446473340759518,-0.0100806934278556,-0.0793825763679925,0.0153293603415943,0.115281509635796
"SNAI1",0.0656963124922511,-0.0948296231283675,-0.0328588828467853,0.0252286363028134,0.0323232069738525,-0.0918287905915579,-0.093533207786106,-0.0935589367740991,-0.0705172801826463,0.0917260498761275,-0.0895129357411649,-0.0895250578423806,-0.0305642316409015,-0.0305027580306442,0.0895250578423806,-0.00633391191080324,-0.0917260498761275,0.0959328460064139,-0.104529213653926,-0.0253108970950717,-0.0905014733937554,0.00257927384912442,0.00296081868454226
"ZEB2",-0.0895295838357876,-0.0805060478094162,-0.043269695884604,-0.0318085997906616,-0.0242781930481056,-0.0224305555944336,-0.0189811619626872,-0.0182064486066289,-0.0115690496176728,-0.00916488662270831,-0.00793770067307467,-0.00775235136942341,0.000948374606618738,0.00122487116734637,0.00775235136942341,0.00864807154223252,0.00916488662270831,0.00921382004707521,0.0292984980110269,0.0313945513713524,0.0674339740146837,0.0903151809548681,0.0923307526632814
"TGFbeta",0.135699538177166,-0.077845029877802,0.0666693936277642,0.0156597780247225,0.139475432725955,0.0110740937854157,0.0135052099972229,0.0133934629271765,0.0442163310787951,0.0313068255151941,0.015945321102951,0.0159149578243344,0.0985840771194972,0.198556709969634,-0.0159149578243344,-0.0554982516627633,-0.0313068255151941,-0.0167771204311732,-0.00958586321643035,-0.0157596123904339,-0.121435743598437,-0.0676486593933963,-0.067569025570488
"GSC",0.0138915574637987,-0.0755638651721125,0.0868837569241411,-0.000882410324083884,0.098689858577217,0.101290933653314,0.1065674192979,0.106659375082494,0.13695884679915,-0.0135801001319272,0.104829584811882,0.104851545596196,0.0307852295182138,0.0308066217228944,-0.104851545596196,-0.0042401982568071,0.0135801001319272,-0.11391113489962,-0.0980477413625596,0.000828104165126562,-0.0184984310440381,-0.111865886640855,-0.111527785463834
"NP63",0.0730270500831751,-0.058820259585679,0.162426101636659,0.124795344078365,0.13884214340823,-0.130982984498269,0.0101596128803338,0.109794178658494,0.0916452789913171,-0.00806539877814291,0.0415809460199613,0.0414659290049073,0.12417864503559,0.124274497696357,-0.0414659290049073,-0.0145691825160068,0.00806539877814291,-0.155740969135051,-0.0522581549172939,-0.125138662826262,-0.0965600428039282,-0.085014722522164,-0.0838002919064504
"TCF3",-0.079086580061906,-0.0469936707566338,-0.2067453118733,-0.108306147309624,-0.0165960841344975,-0.0382634103131267,-0.041434615062411,-0.0413768115942029,-0.0807326294814497,0.0445728517235397,-0.0429744403102021,-0.0430731858757947,-0.0255540456552085,-0.0245752528330225,0.0430731858757947,0.0163146004799433,-0.0445728517235397,0.0466841846826101,0.0417065558873411,0.107289690388036,0.0653717274410294,0.0532881984701586,0.0583396066060549
"KLF8",-0.079086580061906,-0.0469936707566338,-0.2067453118733,-0.108306147309624,-0.0165960841344975,-0.0382634103131267,-0.041434615062411,-0.0413768115942029,-0.0807326294814497,0.0445728517235397,-0.0429744403102021,-0.0430731858757947,-0.0255540456552085,-0.0245752528330225,0.0430731858757947,0.0163146004799433,-0.0445728517235397,0.0466841846826101,0.0417065558873411,0.107289690388036,0.0653717274410294,0.0532881984701586,0.0583396066060549
"SNAI2",-0.0802502784577389,-0.046894735403416,-0.107035751408447,-0.10807056688206,-0.016880594333549,-0.0382462484621654,-0.0415668111872023,-0.0416400593356519,-0.0816926833865009,0.0446738477419808,-0.0430210160569168,-0.0430578658929779,-0.0254332038393085,-0.0252164635613811,0.0430578658929779,0.0158364602550812,-0.0446738477419808,0.0467000017512783,0.0407953550169377,0.107651179867189,-0.0351531799416979,0.0546850846092501,0.0560412637220107
