"","OVOL2","KLF8","miR101","ZEB2","ZEB1","CLDN7","GRHL2","SNAI1","SNAI2","miR205","TWIST1","miR200b","miR200a","TGFbeta","FOXC2","GSC","TCF3","TWIST2","NP63","CDH1","miR200c","miR34a","miR141"
"SNAI1",0.0678398113354914,0.0909882204967393,0.0911813327233326,-0.0816300759475356,0.0435397722918186,0.0436335834572776,0.0425288088416787,-0.0761535280847798,0.0700047077084462,0.00627214890651867,0.0349539978619014,-0.0406223373763816,-0.0261625543751931,0.00694474760216659,0.106599140318714,-0.00692815948511302,-0.0353765424283462,-0.0639569300943572,-0.00633708397145374,0.101214202374935,-0.0581196030522062,0.0390507173003148,-0.0436335834572776
"ZEB2",-0.137554753194281,-0.082039858629655,-0.081682882683271,-0.0809908862383475,-0.0790654268165151,-0.0785953024238102,-0.0774885305093958,-0.047838029822568,-0.0433967343977351,-0.0357259906233596,-0.0292195522916288,-0.0287653810942645,-0.0220737783613059,-0.0195924350617556,-0.0194677151508461,0.0195043749098981,0.0283411201549766,0.0350077628601653,0.0358731861610107,0.0367614014432394,0.0400578440573148,0.0708697388890698,0.0785953024238102
"miR101",-0.157094548071375,0.190617060799686,0.0904894589175578,-0.0794256629471077,-0.0941938108381864,-0.0942976307518346,-0.0907124415251168,-0.00438756495857317,0.088345262063939,-0.04048180446339,0.0252088737449615,-0.10791030583555,-0.0882677723976304,-0.0174217713701917,0.0825938636894593,0.0174922004003672,-0.0248586014928528,-0.0836075384166436,0.0403951993825586,0.0945281848702986,0.00503832867553426,0.0631091600111204,0.0942976307518346
"GSC",0.167842761439673,-0.0803298457288091,-0.0802431281358556,-0.0198822598948519,0.122869425902548,0.123196183066952,0.118075878658023,-0.00386517056760877,-0.0686546204123621,0.0321635986853216,-0.129379425024902,0.0529293112278492,0.0489237662398281,0.0337212914831386,0.0446264088746658,-0.0338435326527421,0.128446636882812,0.0741513695595604,-0.0317976912924596,-0.124978018084135,-0.0792522643890478,-0.0866814186118448,-0.123196183066952
"ZEB1",0.220782343813737,0.00763143586022034,0.00759249247508495,-0.0182345398044468,0.0731341130018988,0.173172922610322,0.165353089209506,0.10468190030507,-0.0246306473199071,0.0745141534303757,0.00691660541651385,0.188938052959622,0.17684353137667,0.0692356260440395,0.0916641576462531,-0.0692216762678076,-0.00709989097541461,0.134793314375594,-0.0744566755593561,-0.220313617172488,-0.189216491380495,-0.168165585539405,-0.173172922610322
"TGFbeta",-0.0454664009104333,0.0365105411457158,0.0361220665835287,-0.0172982643862555,-0.0406004920666458,-0.0407217736371649,-0.0398662457677666,0.0829651459482205,-0.00269651495783816,-0.00912331328813755,0.0806448582001571,0.045606423221924,-0.0308792504633313,0.0831154666600916,0.0273134672507777,-0.183041184396177,-0.079975514157319,-0.00427693221295579,0.00909878344349323,0.043386789310078,0.0150570377335268,0.115395550200828,0.0407217736371649
"TWIST2",-0.128294721717667,0.0107138593862114,0.0108807099940864,-0.0123550665054587,-0.0930686008340828,-0.0927673781865305,-0.0938622141812518,-0.0119733459352727,0.0724253347604023,-0.0245136500744907,-0.116908563129555,-0.0533112196039108,-0.0486186944758289,-0.0199631592890051,-0.0479164115319474,0.0198542776588915,0.116149119959557,-0.0879293659164875,0.0247464351077824,-0.100012604361723,0.0380260911726857,0.0256865765984056,0.0927673781865305
"OVOL2",-0.016568780943776,-0.0609115907313247,-0.0609850693402759,-0.0114763126172377,-0.213710324859242,-0.213665624318896,-0.216598199892283,0.0737080835260426,-0.0622432881761355,0.217987720249961,0.0534514831943138,-0.0572052969083041,-0.212850309476422,0.177326921959291,-0.00853894531921708,-0.177276629851707,-0.0533076086529139,0.0340271718194781,-0.218096839838548,-0.0749722620491768,0.204820682969498,0.203626666837495,0.213665624318896
"SNAI2",0.0396864785631012,0.0125489090586014,0.012341493429591,-0.00784547260447349,0.0288219294085706,0.0291573486140196,0.0297535610803802,0.0240240456436588,-0.0982536729436078,0.00782217808104774,0.0800092932698021,0.00222622221785065,0.00870696217394329,0.00443865980761362,0.054960728655031,-0.00455112345083241,-0.080437748112022,0.010828080713022,-0.00742066971176856,0.102496790732158,-0.0188225875904302,-0.00841365349810436,-0.0291573486140196
"TCF3",0.0390155172013563,0.0130268092790665,0.0117304301999427,-0.00699518815171841,0.0293947906573046,0.0274674235066628,0.0283711176843601,0.0248705101524298,0.00178326202224605,0.00677536231884058,0.0818879473152092,0.00201737712467401,0.00770951629262457,0.00458999654042465,0.0548820080641613,-0.00406434854332478,-0.0772412871022373,0.0127907626324422,-0.00764241434196197,0.00265235121931313,-0.0178583953293728,-0.00681024668940736,-0.0274674235066628
