"","ZEB2","KLF8","SNAI2","SNAI1","OVOL2","miR34a","TWIST1","miR200b","miR200a","NP63","miR205","GSC","FOXC2","CLDN7","GRHL2","CDH1","ZEB1","miR141","TGFbeta","miR200c","TCF3","miR101","TWIST2"
"TWIST2",-0.155473154146597,-0.115344682213234,-0.0731696708782582,0.20074696361253,0.0713234166152808,0.0706703283980806,0.0419322165919897,0.0754984463585483,0.0793341155850081,0.0180301148802491,0.0178589494145934,0.029148175766548,0.125453960446942,0.00535324996477294,-0.00362619313468427,0.118948867005837,-0.00508624982594579,-0.00535324996477294,-0.0287855098857939,-0.0793341155850081,-0.0403207152312613,0.116388367526035,0.0576341946796375
"NP63",-0.154935452952632,-0.0572925295612105,-0.0367548162244861,0.109126846331841,-0.161575504867553,0.0212093480999443,-0.00312732086491078,0.124579452424944,0.0503008980442908,-0.0200210995133974,0.0797585651469637,-0.0043751420801286,0.0854884827165259,-0.00895976451980086,0.123982286212317,-0.114464834762298,0.00927903003946402,0.00895976451980086,0.00480819070823739,-0.0503008980442908,0.00481698764377311,0.0584603567447183,0.0207247492838534
"miR101",-0.123839031272786,-0.269224715316891,0.0753119979721341,0.360679703313215,0.0879490888694897,0.104427320238676,0.324649664606163,0.0522625062403178,0.0584949505681219,0.0280428332931321,0.0279562282123007,0.021349614792188,0.17284041067414,-0.00276318906043241,0.00522082066785566,0.0499580051720586,0.00300345800344681,0.00276318906043241,-0.0210175922213607,-0.0584949505681219,-0.323020516717072,0.170202996413204,-0.0829334350136759
"GSC",-0.1183257597064,-0.0766869970159986,0.0760005439772971,0.132716357857305,-0.140497520636181,0.00752176720484271,0.037065602059545,-0.00959804853524897,0.00842395607454536,-0.0254304824626653,-0.0255320169748207,-0.0100191604480648,-0.0145277612447699,-0.0999906296670674,0.0971092458681393,-0.0119296970763029,0.100116843845046,0.0999906296670674,0.0101902980855097,-0.00842395607454536,-0.0364299005517505,0.077135200305421,-0.0363422208521651
"SNAI1",-0.104268317485331,-0.18626168290999,0.0718721280829615,0.28324508578872,-0.1428871799206,0.154193298240623,0.345282347222914,-0.0263621970702985,-0.00549029761133557,-0.0208817306561688,-0.0206501697642305,-0.0146578190593365,0.168731432217833,-0.112255043397988,0.109266549791183,0.0630869841179401,0.112077998951571,0.112255043397988,0.0144417832290037,0.00549029761133557,-0.345967513200668,0.185666123555278,-0.0957694220443052
"TCF3",-0.0827065444541511,-0.0730020485222709,-0.0222527916468533,0.155796630570425,0.00887510511524852,0.0444653222964757,0.0209319701247834,0.0282479069265974,0.0310509526265684,0.00351009466365083,0.0044927536231884,0.0101718341243021,0.0922070170408984,-0.01764557121295,0.0183167623333478,0.0966867614154526,0.016830005986018,0.01764557121295,-0.0112231301185019,-0.0310509526265684,-0.0234489110734765,0.0707222094520876,0.00859799761636681
"CLDN7",-0.0827065444541511,-0.0730020485222709,-0.0222527916468533,0.155796630570425,0.00887510511524852,0.0444653222964757,0.0209319701247834,0.0282479069265974,0.0310509526265684,0.00351009466365083,0.0044927536231884,0.0101718341243021,0.0922070170408984,-0.01764557121295,0.0183167623333478,0.0966867614154526,0.016830005986018,0.01764557121295,-0.0112231301185019,-0.0310509526265684,-0.0234489110734765,0.0707222094520876,0.00859799761636681
"CDH1",-0.0817802680408003,-0.0707222094520876,-0.021466082938585,0.155316078551696,0.00893335437548291,0.0458481037534293,0.0239120498060583,0.0295066523227842,0.0322674356531273,0.00371553893689172,0.00351009466365083,0.0112231301185019,0.0949252200398829,-0.016830005986018,0.0174824280152619,-0.00369129788016327,0.0173449985258457,0.016830005986018,-0.0105131847454225,-0.0322674356531273,-0.0209319701247834,0.072588858864918,0.0100297775153
"ZEB2",-0.0812330551813109,-0.0583293162815421,-0.0581244188371352,-0.0442574289835054,-0.0304239465919971,-0.0266452186549015,-0.0178360219701831,-0.0152532909004121,-0.0107051433689189,-0.00942515485893556,-0.00938641919113265,-0.00700111273396702,-0.00408913111499622,-0.00154802294800143,0.000570087070841889,0.000817157571232131,0.0014004799923797,0.00154802294800143,0.00683176628808706,0.0107051433689189,0.0170387757981013,0.0577476145304707,0.0868867555460904
"miR200a",-0.0570574955887899,-0.13853622255867,-0.0704532860370082,0.273012938645579,0.119472937792763,0.131588868549641,0.10065175425168,0.0763146465531694,0.0183347154061391,0.0483947500296367,0.0485653560363898,0.135701156720556,0.0766968326546691,-0.0114085248901065,0.0145512087534738,0.0283438761805871,0.0113891070243308,0.0114085248901065,-0.135709110542935,-0.0183347154061391,-0.100327871204517,0.138568642140097,-0.031868235458806
