"","SNAI2","ZEB2","miR101","KLF8","FOXC2","miR200a","miR34a","OVOL2","miR200b","CDH1","miR205","NP63","miR200c","TWIST1","TCF3","TGFbeta","GSC","miR141","CLDN7","ZEB1","GRHL2","SNAI1","TWIST2"
"NP63",-0.016185569906797,-0.103614089752448,-0.00940862184650363,-0.00945522527870934,-0.0303639443596131,0.0353745590739602,0.00225534146722784,-0.0815885844165609,0.106899304987787,-0.10240656417904,0.315911328453605,0.21597044281302,-0.0342565307855444,-0.0664320818757657,-0.0663849596946819,0.00483995183133936,0.0048382401766828,-0.000959252375193879,-0.000959252375193879,-0.000956877392582145,-0.150456318561715,0.00794873738575526,0.0108078235803959
"SNAI1",-0.062302077444637,-0.0945534931833021,0.0904600578846844,0.0904510106236647,-0.0319433921943228,0.00977401386930202,0.0874315230082516,-0.0696539911341603,0.0286050863045887,-0.142014866721013,-0.00964290678087436,-0.00964658235058767,-0.0856695365864414,0.160504547160231,0.160507101843221,0.0294234776295781,0.0293951802534279,0.0792288315135498,0.0792288315135498,0.0792196434240934,0.0815449989537087,0.0223285436003527,-0.0214462182425231
"GSC",-0.00714079547923846,-0.093749784082502,-0.150162677047814,-0.150140266883342,0.19813628691442,0.164582054771633,0.051219255180548,0.124893478252311,0.151598364307239,0.0879587500295204,0.0336281734424019,0.0335879427866422,0.0712209455780237,-0.091820885290331,-0.0917985239307603,-0.0244459540936406,-0.0244392308293124,-0.217825415915365,-0.217825415915365,-0.217858477755486,-0.220196142410225,-0.186090274999538,-0.011607490523329
"ZEB2",-0.0839006718219919,-0.0813419848845858,-0.0738837292784302,-0.0738051746829863,-0.036708814571555,-0.0302952533148574,-0.0273651553404788,-0.0232546229215929,-0.0215092039550239,-0.0164899628476089,-0.0118918910025848,-0.0118376610676608,-0.00876625874194488,-0.00404118483510136,-0.00403306623864432,0.00667053506595008,0.00672534173388941,0.0429097795839114,0.0429097795839114,0.0429144440034735,0.0430033648377017,0.0438285828437992,0.101768589659938
"FOXC2",-0.0275935218962519,-0.0551558499866999,-0.0397793861987663,-0.0397297482137261,0.0775753237328438,0.220494416556453,0.195277350356612,0.0661924997766347,0.219068351654727,0.138151954277063,0.0539116504637458,0.0539116504637458,0.182945913300408,0.00194424032309307,0.00186537596978077,-0.058782697882151,-0.0586470067802307,-0.202353149651545,-0.202353149651545,-0.202364627437777,-0.210974402951995,-0.0807513162780759,-0.101069901200691
"miR200a",-0.0942808196504379,-0.0373965270296788,0.0137809476902072,0.0138061629202062,-0.115897870059801,0.106570140052127,0.192862038713111,0.0594286821739718,0.137553729990636,-0.00871110083802808,0.0495686465389734,0.049604189457047,0.073913738882168,0.0238391284715734,0.0237932820128426,-0.121543354802971,-0.121474042922233,-0.183060778903326,-0.183060778903326,-0.183049396016492,-0.189647957364411,0.130765347155945,-0.0269750645478748
"TWIST1",-0.0701724856021215,-0.0331526639548494,-0.0947972506033183,-0.0947813167288972,0.165783187967163,0.131819171407196,0.053629436603521,0.10739362154565,0.109863337613008,0.116539941607416,0.0324885445704354,0.0324924726087731,0.0841676038546256,-0.176873202756277,-0.0768740197030206,-0.0178952770731187,-0.017856734665503,-0.196487746450848,-0.196487746450848,-0.19649946953434,-0.200184020900348,-0.177501816705995,0.0700379084304578
"miR141",0.0959493568208003,-0.0314000477798961,-0.033673497210797,-0.0336248678386562,0.147187506987668,0.135965614346551,0.112033918088184,0.0821969365138452,0.0954910001924992,0.0858207076857412,0.058666104307882,0.0586732128914967,0.108143565111476,-0.0190646449065,-0.0191193648733722,0.0511820086784737,0.0512535930798918,-0.238496000675739,-0.238496000675739,-0.238513632990639,-0.239639828114973,-0.191942287654704,-0.100032257116364
"miR34a",0.100143453493416,-0.018197127629428,0.00535356447910835,0.00538621659957547,0.0934866634991179,0.128392426061662,0.0261063664121148,0.0803210431104969,0.0159107058069559,0.112783691007931,0.0262965592342008,0.0262927747242003,0.113330416663849,0.0403878316986392,0.0404043654392799,-0.0444448541605421,-0.0444014097422447,-0.134803576141004,-0.134803576141004,-0.134805479892107,-0.137104173692136,-0.0831608223774852,-0.201805227811272
"CDH1",-0.00317289042571529,-0.00352935617409,-0.00237388616577752,-0.00238359144868652,-0.0127572719077015,-0.0186477309572115,-0.0251036476512506,-0.02511925010836,-0.0120992702800199,-0.103671235791881,-0.00827552986512524,-0.0081728077285048,-0.0220436280534712,-0.0646655293205076,-0.0647133380854478,0.0071660229999097,0.00731946940619486,0.0411347983354334,0.0411347983354334,0.0411829284793426,0.042147247134147,-0.00277059635208949,0.0219920165661283
"TGFbeta",0.0820855298640516,0.00356316374846314,-0.0552864764655369,-0.0552705497009553,0.122341222720634,0.0685433745958953,-0.0730271269295514,0.099063414463938,-0.0484732117365385,0.148847342408122,0.0171715827389941,0.0171034442816487,0.0719536472221337,-0.0375205555960584,-0.0374388729332036,-0.118848436690713,-0.0189036053896443,-0.135911892787955,-0.135911892787955,-0.135960439724952,-0.137937960359595,-0.182078502616365,-0.0636230495666796
