"","KLF8","SNAI2","ZEB2","miR205","NP63","miR141","OVOL2","miR34a","miR200c","SNAI1","CDH1","FOXC2","TGFbeta","TCF3","miR200b","TWIST1","GSC","miR200a","ZEB1","CLDN7","GRHL2","TWIST2","miR101"
"GSC",0.0825206229963474,-0.0160532211830849,-0.147028335281189,0.129722874011213,0.129469995603581,0.130082155229793,0.121594608982061,0.0286253002776657,0.137800728789259,0.0797963218873531,0.00547092209499439,0.115396238867678,0.0335020701601333,-0.000233435018931535,0.00207043773082983,6.41275821822382e-05,-0.0336249225355849,-0.137800728789259,-0.129943874686806,-0.130082155229793,-0.139546171618963,0.0194079319408709,-0.0825381613859334
"SNAI1",0.0795835777926423,-0.168352943473638,-0.127092955428308,0.202090408457219,0.201459435656435,0.212756492582464,0.182684323944397,-0.0461727656008749,0.178195691472421,0.148442993632677,-0.183863684479413,0.268806576143006,0.0786931677921101,-0.265094751335869,0.0916703687666081,0.264825487748787,-0.0789673596092895,-0.178195691472421,-0.212477993097846,-0.212756492582464,-0.226180564567994,0.0638941267903375,-0.0795289822520061
"NP63",0.0407386809785903,0.0660103007827215,-0.113436345958322,0.342821806063879,0.242864798325272,0.0392193768434409,0.102563763041301,0.0344374499528152,0.0623111314276902,-0.0211656344389866,0.14822182059942,-0.0451703550408682,0.00314153837937541,0.0922306281698042,-0.109876601146962,-0.092632288665709,-0.00319117636441555,-0.0623111314276902,-0.0391389667178721,-0.0392193768434409,-0.186634125737996,-0.0381576738629251,-0.0405961293036081
"ZEB2",-0.0957973494086919,-0.0788678142845259,-0.0759147642689108,-0.0466627091239149,-0.046623973456112,-0.0461936406945609,-0.0435262884613506,-0.0350510610734472,-0.0346513066399732,-0.0233741583332761,-0.0208706620640848,-0.0192057013072154,-0.00957084320700148,-0.0056674402643131,0.00344731179779327,0.00573726019384369,0.00965520852731258,0.0346513066399732,0.0460755572309102,0.0461936406945609,0.04997833732333,0.0731001321735468,0.0958301633536241
"miR200c",0.047541895072794,0.0302066209717911,-0.0505049215179726,0.207243310650344,0.20653600658068,0.255147846288028,0.175832076391328,0.150410883256242,0.1537338056662,0.0844516189499217,-0.00112229510779652,0.0822411677100899,-0.027792449089215,-0.0214328927553293,0.053057199261288,0.0210202746267522,0.0274742961940236,-0.1537338056662,-0.25482711671194,-0.255147846288028,-0.273217555285712,0.0678674879917075,-0.0475220831063662
"KLF8",0.0532269005402483,0.091853519800069,-0.0331501964050367,0.0335507246376812,0.0351114182792997,0.0322217732258905,0.0346248686032223,0.0224273106897276,0.03242512244265,-0.00641798965883242,0.23343457949533,-0.0300906264887309,-0.00196829678206072,0.102191817452536,-0.0289211585105567,-0.10257903913695,0.00224018367711238,-0.03242512244265,-0.03220348701004,-0.0322217732258905,-0.0343814166035759,-0.0879347030493662,-0.0533312069029364
"SNAI2",0.0530368133213635,-0.00794838646988869,-0.0329131989375438,0.0348802934719037,0.0348992837326128,0.0320911833409187,0.0345150915559842,0.0225237836980713,0.0324450761589272,-0.00668771686975798,0.133565007188787,-0.0307075949444454,-0.00206641315929312,0.102913700491532,-0.0290416093076653,-0.10293863701674,0.00201944558415578,-0.0324450761589272,-0.0320323949978073,-0.0320911833409187,-0.034414991084182,-0.0878846411504206,-0.0530985524216375
"CDH1",0.0533312069029364,0.0920473162195492,-0.0328518285218901,0.0351114182792997,0.0348802934719037,0.03220348701004,0.0345433196388941,0.0225491649943633,0.0326353001383382,-0.00661513920497774,0.133539753885839,-0.0304669930578211,-0.00201944558415578,0.10257903913695,-0.0290232189480854,-0.102913700491532,0.00196829678206072,-0.0326353001383382,-0.0320911833409187,-0.03220348701004,-0.0345404920183082,-0.0877802954132067,-0.0530368133213635
"miR205",-0.0902419541348882,-0.0510084158614641,-0.0154133429348378,0.181581265244029,0.180223619817411,0.219507672108407,0.152317290182562,0.253010009618914,0.118367157969321,-0.189625219645534,0.00947053336439573,-0.169684449482102,0.0741293347733038,0.0122393842066917,0.110189604979756,-0.0125276754632297,-0.0746816280600837,-0.118367157969321,-0.219289041283945,-0.219507672108407,-0.242791549274538,0.17734332101065,0.0898551965155128
"miR200a",0.156010795177345,0.0983812107063636,-0.0144308190677656,-0.147311001439002,-0.146070553598235,-0.179415102896478,-0.125037181890653,-0.225096993247941,-0.0822467374430085,0.266206855533306,-0.0146119942461564,0.218458718335071,-0.165033942424944,-0.0391521944568158,-0.0945902612464405,0.0391536733748394,0.165506626726371,0.0822467374430085,0.179421575518403,0.179415102896478,0.199354353688551,-0.131806362525736,-0.155434447063084
