"","CDH1","miR200a","miR205","ZEB1","CLDN7","miR101","miR34a","TWIST2","GSC","FOXC2","SNAI1","TCF3","TWIST1","TGFbeta","KLF8","OVOL2","miR141","NP63","GRHL2","SNAI2","miR200b","ZEB2","miR200c"
"miR200a",0.0874684870884399,0.103178162354346,0.090129676483765,0.0453351977658827,0.0453050665948514,0.113818548624791,0.12633107089682,0.0237985587604264,-0.0685934182912415,-0.10622721742919,-0.0552137100199479,0.0761424494197684,0.0761320969936034,0.0685252426708434,-0.113724892056224,-0.0960673708158438,-0.0453050665948514,-0.0901261221919576,-0.0529445297974955,-0.143593544229596,-0.111980566063499,-0.267677253112563,-0.154647389358558
"miR200b",0.0973963412858248,0.0860592736933079,-0.0179293514864007,0.0417423746635359,0.0417126898802236,0.165429400694221,0.0378913609961677,0.125866067940646,-0.0640734338255597,-0.157158401277177,-0.12692361848186,0.15556356847675,0.155636035459905,0.0639950318621019,-0.1652582973478,0.0330957553187884,-0.0417126898802236,0.0178902542765198,-0.0314729557688376,-0.185441217937532,-0.141299882265894,-0.223276710268369,-0.133319837287432
"NP63",0.197859041517459,-0.0133396240817272,0.00889056571973783,0.128524751310738,0.128489126571562,0.304373589056934,0.150680533575667,0.230241147930053,0.00251703524395626,-0.136301133504814,-0.11682353475648,0.218968858615597,0.219132664292698,-0.002660814235107,-0.304072037436779,-0.233574794021463,-0.128489126571562,-0.109019542503917,0.0124070981001509,-0.30027853225442,-0.14569665724624,-0.191171815460601,-0.153665654660423
"SNAI1",0.106430358438085,0.137998098404999,-0.125923251161714,-0.12633440257249,-0.126335406313355,-0.206911775348874,-0.211666389706123,0.0185763153564573,0.0165033899542246,0.211376239674532,0.088167076216283,-0.18757940197344,-0.187598306627561,-0.0165098300467278,0.206885881463887,0.118688186241034,0.126335406313355,0.125922025971809,0.135801204554111,0.11997404594177,-0.051947959009153,-0.154918926094218,-0.00612570513988403
"miR101",0.0463476006722369,-0.00384345150277159,0.127761683499877,0.129122024766425,0.129107522937217,0.205503669071776,0.147894905814652,-0.0277146373068759,0.00684219358414031,-0.185595833782135,-0.168025029981497,0.169612014835074,0.169589099827927,-0.00687573121755721,-0.305458476738523,-0.118173002080933,-0.129107522937217,-0.127727566346823,-0.139939404078369,-0.124202161624616,-0.0232606494252737,-0.131881022964354,-0.130285021866388
"GRHL2",0.0483094689679312,-0.0888687054111678,0.105256329279449,0.118298081454173,0.118306160638918,-0.0167122239394348,0.113028564651783,-0.0508409898037527,-0.14592085803227,-0.0356748904240557,0.00911297592958721,-0.00334629869334426,-0.00343300890780753,0.145900347713363,0.0166268328570808,-0.245301574544082,-0.118306160638918,-0.105081033793741,-0.0686534015372879,0.0179528183400897,0.098863139771371,-0.0762385469094536,-0.136639860611597
"TWIST2",0.184356294782037,0.0502076298894247,-0.0547249215111414,-0.0409950185050532,-0.041014712590263,0.184332868802142,0.048215313820198,0.164305128261069,0.0347851251894425,-0.169914915512996,-0.133722386789039,0.271655806390542,0.271785467419566,-0.0348334260629515,-0.184119960474385,0.0592676882574802,0.041014712590263,0.0547026700006061,0.0467699415172583,-0.209936209661973,-0.105796336506104,-0.0627397166533926,-0.0131029812914141
"ZEB1",-0.00972790335908241,0.015956322670754,0.055095756404074,-0.0963309074346385,0.00366845634227259,-0.0569028003689948,-0.00986624184349557,-0.101952198302007,-0.00365418569850032,0.111136668839845,0.10485937116018,-0.0989778870124483,-0.0990025253990546,0.00365670123191918,0.0568682656689691,-0.0630053162647266,-0.00366845634227259,-0.055090008616972,-0.0151857089803654,0.0410641647443301,-0.00359030425008156,-0.0544216817625524,-0.0209520373841734
"miR34a",0.0184879540072211,-0.0548502209478214,0.0685492180317426,0.0559613170733642,0.0559658384822352,-0.0583624129485422,-0.0624818280977624,-0.00918575367049433,0.00480389241143632,0.196194346645525,0.184054620766301,-0.127590854149877,-0.127588492186928,-0.00480871956902492,0.0583825804347131,-0.0711931480779834,-0.0559658384822352,-0.0685056961667361,-0.062984123451396,-0.0600048556281646,-0.0153119885476798,-0.0457481098534267,-0.0925451966285275
"CDH1",0.269773887227821,-0.0194976805365333,0.0563657116528441,0.0614170057990498,0.0613303715400133,0.392107253728467,0.099780046218025,0.345850316059244,0.218060038850108,-0.170073574315025,-0.160674686058787,0.265794133494264,0.266479392458408,-0.218283047627243,-0.391101139400234,-0.0510169590338085,-0.0613303715400133,-0.056571155926085,-0.0650020089036474,-0.410516201836339,-0.256244247527627,-0.0248298683088732,-0.0439614996602367
