"","ZEB2","TWIST2","SNAI2","FOXC2","CDH1","miR205","TCF3","TWIST1","TGFbeta","GSC","miR200a","miR34a","CLDN7","ZEB1","GRHL2","miR200b","miR141","miR200c","NP63","SNAI1","OVOL2","KLF8","miR101"
"ZEB2",-0.0922446988418387,-0.0800030302595814,-0.0562066942715999,-0.024901195167395,-0.0132040003290066,-0.00989896006185619,-0.00709547704937447,-0.0070646263828377,-0.00578150658661792,-0.00573408958177154,-0.00432256349672209,-0.00363575200653281,-0.00197821965799663,-0.0019509696279234,-0.000794540167960077,0.000952839119371188,0.00197821965799663,0.00444949450313528,0.00986022439405328,0.0278895938787031,0.0321850885873949,0.0625103841664137,0.0626326906884338
"miR101",-0.0897504119566854,-0.0239484620520089,-0.0931097080594165,-0.0120812573045474,-0.0428871888912252,-0.030029063694142,-0.00298660565230185,-0.00330414217991443,-0.0026926697382372,-0.00292575629048464,0.039408130892308,0.0265867175542335,-0.010547866982805,-0.0105505036790246,-0.00660786997084753,0.0437027611653837,0.010547866982805,-0.0518107715703318,0.0300841760183074,-0.00150957571163804,0.098592697651041,0.0965452829066561,-0.00402892556291883
"TWIST1",-0.0721137031565755,0.102398312776668,0.0872926018648286,-0.106910779185864,0.129141689659314,-0.0173400758237377,0.116642292260505,0.0162869204271951,-0.00769760159617186,-0.00792352904243967,0.0425076223327915,0.0382509962466317,-0.00988275844159827,-0.00987621819501863,-0.00747260565150808,0.0518601220264458,0.00988275844159827,-0.0339826339575945,0.0173754281687766,-0.0231627771693216,0.0715029201239571,-0.0554639651865452,-0.056119245772115
"KLF8",-0.0471588083263383,-0.0340537533105211,-0.0436272101148549,0.0186495789330764,-0.123590261058419,-0.00507246376811594,-0.107108031018807,-0.108995736730327,0.0113819716912488,0.0107656947291317,0.0266524697173052,0.0112678805583075,0.0092909977749284,0.00960917793072696,0.0107316460865925,-0.00114676841867789,-0.0092909977749284,-0.0189045070757181,0.00501466029990785,0.0263802801641771,0.0162091360665788,0.0168864701937396,0.0137125765862295
"CLDN7",-0.0471588083263383,-0.0340537533105211,-0.0436272101148549,0.0186495789330764,-0.123590261058419,-0.00507246376811594,-0.107108031018807,-0.108995736730327,0.0113819716912488,0.0107656947291317,0.0266524697173052,0.0112678805583075,0.0092909977749284,0.00960917793072696,0.0107316460865925,-0.00114676841867789,-0.0092909977749284,-0.0189045070757181,0.00501466029990785,0.0263802801641771,0.0162091360665788,0.0168864701937396,0.0137125765862295
"FOXC2",-0.0317657646249328,-0.0859143730699651,-0.00899140497076137,-0.114150819801661,-0.0787619984368715,-0.0588422446440701,-0.0792245333539175,-0.0797146189780726,-0.0539371081634562,-0.0542964182013411,-0.00101630951913994,-0.00148852204341472,-0.0164090541573841,-0.0163805722433994,-0.00315556244183687,0.0239746334054391,0.0164090541573841,-0.0213884138774516,0.0588829060699307,0.108432813766429,0.153288337085985,-0.0185001723683506,-0.0195425700541935
"GRHL2",-0.0243971824936814,-0.0724133543355247,-0.085760567868134,0.0375940816974903,0.0193595326728551,0.0200301794285711,-0.0622710309417234,-0.062817305292842,0.114441577881222,0.11421485570735,-0.00250520730439722,-0.00697809414190704,-0.01307049391338,-0.0130047686536997,0.0206211338358358,0.0164378995222572,0.01307049391338,-0.0166702007761677,-0.0199902606545982,0.0155208782011047,-0.13963730691412,0.0853684795996017,0.0842865657829725
"SNAI1",-0.0177566191903476,0.00791117422173039,-0.0806338686822635,-0.00419672368004942,-0.0807761313220008,0.0165006846722995,0.00967557213551239,0.00966279872056545,0.0486663069377157,0.0488179418430171,0.062918110792678,0.0841095985508155,0.0920841882244223,0.0921398572370116,0.0909166797536065,-0.0450523577590434,-0.0920841882244223,0.027907412064249,-0.0165607189776168,-0.114061322021663,-0.122316383937243,-0.0014073686980111,-0.00136774793423509
"miR205",-0.0171818646382307,-0.07352177154627,0.0105504608760948,-0.102869210555224,-0.0047723680246923,-0.0548410626648045,-0.0824768443440653,-0.0827568987075594,-0.0289245581784315,-0.0291880084244242,0.0012723811154226,-0.000104218939699051,-0.0101385235851963,-0.0101143002836224,-0.0012223589275507,0.0156762599216338,0.0101385235851963,-0.0131220231632705,0.0548410626648045,0.0984177453431637,0.142992143135238,-0.026116871371567,-0.0267364345482364
"miR141",-0.0107150165669222,0.0120128311494455,0.0859088810168501,-0.0904738928041929,0.00620052099683882,-0.0494848424187071,0.0319761380377786,0.032054520693028,-0.130025744626334,-0.130309809711326,0.00769600574683328,-0.00342346203247087,0.00459856355840717,0.00452602555407275,0.00850982962793865,0.0701259341733085,-0.00459856355840717,-0.00263565543499989,0.0495203853367806,0.0635580507887767,0.125155412451895,-0.0774683273859118,-0.0774683273859118
