"","miR200c","miR200a","CDH1","miR101","miR34a","CLDN7","TWIST1","TCF3","GRHL2","FOXC2","NP63","miR205","OVOL2","TGFbeta","GSC","SNAI1","miR141","ZEB1","KLF8","miR200b","ZEB2","TWIST2","SNAI2"
"miR200a",0.234333698047944,0.234333698047944,0.15407080236727,0.0282925625007491,0.242928722002562,0.245473272847313,0.160902523371727,0.161093303796768,0.224095163229081,0.157543719218553,0.121814022163873,0.121739382035919,-0.0886782650250845,-0.063573188306016,-0.0636924956417127,-0.111628074797667,-0.245473272847313,-0.245499386528873,-0.0284474560564567,0.0591227720776946,-0.218937043688091,-0.173906188274821,-0.150318569509117
"CLDN7",0.0734753303344635,0.0734753303344635,-0.246647320781163,-0.161398731749425,-0.0813207846083031,-0.0612999502875377,-0.211248721477858,-0.213281635321033,-0.0581371810846591,-0.129478543114594,-0.0436041300159169,-0.0445289855072464,0.034171438368543,-0.23354589900946,-0.233618402181473,0.11956236753049,0.0612999502875377,0.0609598266727186,0.16203947083451,-0.294147174845085,-0.211732985652108,0.246517918502324,0.215217167629311
"SNAI2",0.0734938043083891,0.0734938043083891,-0.146642285347689,-0.161330139985347,-0.0806919664002715,-0.0608170405791215,-0.210003964560659,-0.210489093323807,-0.057863562635631,-0.128205042546052,-0.043030651731257,-0.0431418804011249,0.034074117990672,-0.233113286926433,-0.233253327861476,0.118981668359565,0.0608170405791215,0.060741112777377,0.161272563071608,-0.293582919525154,-0.211290262122516,0.245660818244224,0.115071332087557
"TWIST2",-0.000592368334194898,-0.000592368334194898,-0.0371293272660887,0.105332895146139,-0.111257189180101,-0.121412879261161,-0.177452261954287,-0.177399542634794,-0.11551225000619,-0.124322184506498,-0.0896352985005968,-0.0896609733204451,0.075266371416155,-0.0198778566269505,-0.019865576743855,0.100202061159645,0.121412879261161,0.121429560043716,-0.105353751472124,-0.0405830253605802,-0.115764948446988,-0.0701813348138293,-0.107953050829392
"TWIST1",-0.030676824689084,-0.030676824689084,-0.0894710983631209,0.00137360426381225,-0.0621360227972974,-0.159307613593524,0.113654027566487,0.21353883807569,-0.146697184998653,0.23342803275814,-0.112588754577567,-0.112557330270866,0.0926217607835883,-0.0300509190732983,-0.0299960823144954,-0.0306707533308747,0.159307613593524,0.159347472077396,-0.00134671585072655,-0.0673052939312753,-0.110568052277015,-0.0790332147922913,-0.0840065433428018
"SNAI1",-0.00179833618244597,-0.00179833618244597,0.114656182191303,0.113813942222698,-0.0944975664048274,-0.0678110985882418,-0.0199385083744582,-0.0199717192533202,-0.0647722268942381,-0.11329870165216,-0.0635504022127421,-0.0636484174050969,0.0625232545093482,-0.0055372635123904,-0.00553004280261415,-0.0732111679181829,0.0678110985882418,0.0678009839687561,-0.113853562986474,-0.0082606912548949,-0.0472579917793011,0.00149335338725532,-0.0970089439957308
"ZEB1",-0.23728706769396,-0.23728706769396,-0.141635422911345,0.0128337907075655,-0.274312843691643,-0.277064228493058,-0.112729507497053,-0.112826258234703,-0.239497995401924,-0.112583605189708,-0.132543193169809,-0.132385129024504,0.0969628720441002,-0.077854180979633,-0.0778123316509373,0.115576176725292,0.277064228493058,0.17710940033237,-0.0127698647734753,-0.244888459225014,-0.0339697212393888,0.162991017726772,0.0217805529707837
"FOXC2",-0.237231191274797,-0.237231191274797,-0.14162769884544,0.0127698647734753,-0.274241297186415,-0.276938823050887,-0.112826258234703,-0.112916388924202,-0.239406210352689,-0.112699140265751,-0.132385129024504,-0.132208929512442,0.0969428411163478,-0.0778123316509373,-0.0776940090100628,0.115567206167607,0.276938823050887,0.277064228493058,-0.0125764477972844,-0.244866401570751,-0.0339692164298156,0.163014872688604,0.0218197335573423
"TGFbeta",0.0225491796486138,0.0225491796486138,-0.00110839141988786,-0.0391306427695017,-0.0468197362406842,0.041565496635888,-0.118465557963544,-0.118306730563548,0.038341892438456,-0.147388482859199,0.0285753687708985,0.0284608961625584,-0.0216293984996002,-0.0958678150270382,0.00404052674087963,0.0547921569225265,-0.041565496635888,-0.0415958599145046,0.0391382599177799,-0.0919925704718763,0.00205863590019525,0.13996483928595,0.129172446244213
"NP63",-0.025492691672892,-0.025492691672892,-0.122346184788384,-0.178421217736078,-0.0641740947916072,-0.0483435072163461,-0.201163930410574,-0.201314272607366,-0.118590902182277,-0.11050632989893,-0.0293285958645235,0.0708165030176777,-0.0516143181322922,-0.109471662436271,-0.109534993658563,0.106491457268349,0.0483435072163461,0.0483357037020504,0.178536355627409,-0.149193648141741,0.00922306780728276,0.226078866174359,0.213066381426393
"GRHL2",0.218922940826485,0.218922940826485,0.0413628285556875,-0.0185166297916332,0.243163185493351,0.247722776175684,0.0125925100458583,0.0126821106008037,0.118767550139403,-0.0219341634429002,0.0961003639265609,0.0960604451525879,-0.00839315234074222,0.135666895363714,0.135549931112645,-0.0224215546154314,-0.247722776175684,-0.24782212831241,0.0184048290961801,0.173032340912691,0.0361315051983544,-0.0503908730345081,0.0155801805808597
"OVOL2",0.107596586577684,0.107596586577684,-0.00533980010409076,0.0841831943074715,0.11232505886267,0.138379600503003,0.00700265234571735,0.0069271182114824,0.0909419311921612,-0.0499847284456441,0.0410446765241269,0.0409290745837429,-0.0925624307852937,0.0560966700717519,0.0561235384579952,0.020519850014836,-0.138379600503003,-0.13842647492981,-0.0842555762207667,0.113502283355441,0.040538270555854,-0.113991754534701,-0.0867890475636454
"miR34a",0.119555151688282,0.119555151688282,0.0379145463355211,-0.0368496984123381,0.193018303064512,0.222908019426063,0.179798975716631,0.17984227837069,0.206815014870628,0.204653412253057,0.15303972621489,0.152954574739877,-0.119935655150615,0.0651398016426187,0.065166351009356,-0.15509099575686,-0.222908019426063,-0.222937765537056,0.0367891959538255,0.170758512239948,0.133389027342392,-0.250768013228758,-0.0735817294286786
"ZEB2",-0.293961013447918,-0.293961013447918,-0.286129140327492,-0.134311434173343,-0.0941900556425981,-0.0917416784138144,-0.0914317923696805,-0.0913652198787328,-0.0829756014094668,-0.0789982568929972,-0.0564669609240674,-0.0562655354514923,0.0424202080670279,0.0533468714738727,0.0534952805409893,0.0670905035628649,0.0917416784138144,0.0917920050459316,0.134563007751157,0.169611396346267,0.18909323433152,0.190392223129428,0.192459640982608
