"","SNAI2","miR34a","ZEB2","miR141","TWIST1","SNAI1","TCF3","OVOL2","miR205","GRHL2","miR200b","GSC","miR200a","miR200c","TGFbeta","NP63","FOXC2","CLDN7","ZEB1","CDH1","TWIST2","miR101","KLF8"
"TWIST2",-0.154518939754427,-0.00747792360503729,-0.15900618912393,-0.0598342401565433,0.204719973276347,0.0280977232527094,0.204678652728636,-0.0764470942965183,-0.0679621145866853,-0.0553133961721434,0.0798816692351055,0.0730897089172089,-0.106997980117882,0.106997980117882,-0.0730823409873516,0.0679843660972205,0.0696974086995209,0.0598342401565433,0.0598511361750019,-0.080634413954153,0.139397825474028,0.0600409916100545,0.0599054254911561
"SNAI1",0.15151104292717,0.0969960727316949,-0.10276520991071,0.0922835928044424,-0.00643307591217789,-0.0905390801664485,-0.00629767771374033,0.0957592243909653,0.0922127159178385,0.0870536018480729,0.0151034772004112,0.00798205180973759,-0.00566549834575493,0.00566549834575493,-0.0079049658540181,-0.0920889717374906,-0.0284753270574445,-0.0922835928044424,-0.0923022006158627,-0.136452012687072,-0.0366800012227924,-0.134904327461285,-0.134789832813208
"GSC",-0.100596117641632,0.0220905356763234,-0.0788809417259585,0.135348535681983,0.0251265593055495,-0.100926845022739,0.0252367688634334,0.126480996624219,0.12607085564824,0.125467353805109,0.131014800425921,0.0203705837003007,0.0291728515155238,-0.0291728515155238,-0.0203125191447391,-0.125848629168806,-0.0307289444577116,-0.135348535681983,-0.135323196315467,-0.0257013559401187,0.0582845805982425,0.150656295813394,0.150668962428095
"CDH1",-0.423014173128637,-0.0237002801173587,-0.0684321840664177,-0.0405090410692452,0.208270960943453,0.000497470278876466,0.207309473559654,-0.038047324368178,-0.0375439808997235,-0.0377665130704374,0.281892330943298,0.247755280546779,-0.0525239709100616,0.0525239709100616,-0.248338376890662,0.0377494251729644,0.0433128620751026,0.0405090410692452,0.0404657239397269,0.124030499238311,0.377862303461464,0.338052143866395,0.33700073821792
"CLDN7",-0.422126899791882,-0.0236790880643786,-0.0682518273609336,-0.0405858431758172,0.207309473559654,0.000337286272633397,0.204647324479306,-0.0381195534508686,-0.0377173913043478,-0.0378152096259677,0.281071410032741,0.245960827039438,-0.0520632783851694,0.0520632783851694,-0.247755280546779,0.0375439808997235,0.0427811696203562,0.0405858431758172,0.0405090410692452,0.224097772947556,0.376844616768595,0.33700073821792,0.334691097329826
"ZEB2",-0.0795253770534783,-0.0656815063237413,-0.063964553933588,-0.0449329525800468,-0.0448553968137401,-0.0441005108861077,-0.0440516557644927,-0.0437062034041025,-0.0412749265564648,-0.0388844218683287,-0.0387447830344326,-0.0139369950015382,-0.000819277116096826,0.000819277116096826,0.0147246099261944,0.0419101915084326,0.0446934799115265,0.0449329525800468,0.0450991532139169,0.0704509372110883,0.0714748447446558,0.106581299486612,0.106677752597474
"miR200b",-0.171090551255644,-0.0608032277832583,-0.0525025610526439,-0.143412833570155,0.113232390341124,0.0695684246552683,0.113313730832421,-0.0973666939815386,-0.103451569288527,-0.137685513113586,0.0300658566571417,0.156366435251465,-0.0908858933961629,0.0908858933961629,-0.156057372438993,0.103042825730681,-0.0492202615722155,0.143412833570155,0.143531795897263,0.0479085231166112,0.0621644508496273,0.0559726910953117,0.0558069910124616
"NP63",0.249382770385123,0.0347197657347195,-0.0515166702152586,0.0430679131540355,-0.137492907180866,0.00893779780187458,-0.137486175440711,-0.113425693854282,-0.101453690501792,0.118865948378802,-0.111056331160395,0.0003270334483958,0.0119479825766146,-0.0119479825766146,-0.000362978196183487,0.00111512644332288,-0.0484171929267029,-0.0430679131540355,-0.043094716529225,-0.107022875433589,-0.226476685910131,-0.236919019314918,-0.23674082972119
"miR200c",-0.0310073859765003,0.183811954078173,-0.0422825015934643,0.195235565186511,0.0834280584357541,0.0116666379630049,0.0838702549248027,0.137029243004595,0.143195411437345,0.177937305630905,0.134407234424248,0.106894512840499,0.078083125963122,-0.078083125963122,-0.106550225957489,-0.142850645132032,-0.0135677463585451,-0.195235565186511,-0.195158116917268,-0.155276991446698,0.0679034931260061,-0.017207846664987,-0.0170007215614244
"miR141",-0.0310073859765003,0.183811954078173,-0.0422825015934643,0.195235565186511,0.0834280584357541,0.0116666379630049,0.0838702549248027,0.137029243004595,0.143195411437345,0.177937305630905,0.134407234424248,0.106894512840499,0.078083125963122,-0.078083125963122,-0.106550225957489,-0.142850645132032,-0.0135677463585451,-0.195235565186511,-0.195158116917268,-0.155276991446698,0.0679034931260061,-0.017207846664987,-0.0170007215614244
