"","miR200c","miR200a","CDH1","miR101","SNAI2","miR141","GSC","GRHL2","NP63","miR205","OVOL2","miR34a","TCF3","SNAI1","FOXC2","TWIST1","TGFbeta","CLDN7","ZEB1","KLF8","TWIST2","ZEB2","miR200b"
"miR200a",0.274642913070828,0.274642913070828,0.149667561373748,0.0395850351545098,-0.0313641338917226,0.251833540684338,0.164225370548875,0.224013853875631,0.182320735379066,0.18165608281109,0.172952555847906,0.140206583710231,0.112638464666246,0.0804335663361963,-0.0526116401243125,-0.112876570468041,-0.164548068485426,-0.251833540684338,-0.252036870290334,-0.0395183949037983,-0.0634968681311075,-0.306365040847381,-0.201909336554732
"miR101",0.248446415986073,0.248446415986073,0.0565006000236243,0.265012479016242,0.14879608925768,0.297042619910504,0.046952608997259,0.262079300419294,0.232076550311766,0.230877201162071,0.219093686891114,0.0808644590943234,0.29465403057711,0.298013105688451,-0.142286844399949,-0.295126516200671,-0.0474640579068667,-0.297042619910504,-0.297434498886147,-0.364835697242044,-0.0921248433927443,-0.201211843426362,-0.242535832882103
"GSC",-0.0042157219589513,-0.0042157219589513,0.00691401002124866,-0.124094177164708,-0.0197541808580786,-0.175470395817089,0.000275506709950446,-0.158268304981748,-0.154793656165887,-0.1545944186326,-0.152920275498028,-0.0453704168303921,-0.0285513713193631,-0.132746116703032,-0.0149664929835897,0.0285865105986885,-0.000176491362571602,0.175470395817089,0.175518902604419,0.124107818134386,0.0278364601667581,-0.19182648833171,0.0073707112177624
"miR141",-0.0172588896609316,-0.0172588896609316,0.00342964824421014,-0.0135917849399396,0.0636376518954004,-0.215438527653635,-0.111073808812342,-0.194886351833886,-0.156022467432568,-0.155869632884851,-0.148123670211571,-0.117025336270524,-0.0900880108070153,-0.0681722926262607,0.0422262610807126,0.0901249837576047,0.111156755817159,0.215438527653635,0.215466426886071,0.0136151990820815,0.0321228959935094,-0.179732218205477,-0.0130436064597248
"FOXC2",0.27855312713056,0.27855312713056,0.167375935372578,-0.0213129519718403,0.0272086760069338,0.240776800297918,0.0499902035100388,0.201678892100125,0.169406704784555,0.169610011913858,0.165516851228867,0.259694512594823,-0.00213416294299389,-0.155317517712805,0.121218111584626,0.00234822333055585,-0.0501150393238055,-0.240776800297918,-0.240647143823809,0.0210716086652658,-0.163212323277295,-0.145146864231497,-0.259592054891159
"SNAI2",0.0924222168519387,0.0924222168519387,-0.0559509182792656,0.0033680698308222,-0.0946952174475824,0.0573998078288931,0.019401049419925,0.05179335729706,0.0503437591333045,0.0501294404767298,0.0497998898716409,0.0365895306136091,0.0643366155616227,-0.00216555175123826,0.0272144682080702,-0.0642550051154856,-0.019552293629771,-0.0573998078288931,-0.0574407711350261,-0.00337431311062519,-0.00373456115444768,-0.128388775364864,-0.0644426061094934
"CDH1",0.0921648549974414,0.0921648549974414,-0.0560537792937092,0.00337431311062519,0.00524303698486723,0.0573115692317263,0.0192680625344779,0.0517519990346775,0.0501294404767298,0.0497955935327134,0.0497202463520023,0.036490312819013,0.0640125783770278,-0.00211078455634274,0.0270986228552511,-0.0643366155616227,-0.019401049419925,-0.0573115692317263,-0.0573998078288931,-0.00370105763522808,-0.00362270852966444,-0.128228451100715,-0.0642474101876363
"OVOL2",0.255626017369361,0.255626017369361,-0.126774949627555,0.11545944002344,0.0977894195143125,0.238844115401747,0.252878461136207,0.046875216721299,0.335850251343186,0.335313296535982,0.31011912670855,0.15814037268038,0.126967427924418,0.110054150946499,-0.0853575498794157,-0.127240789553078,-0.253095475025096,-0.238844115401747,-0.239019792601347,-0.115412282110232,-0.125876481587322,-0.0822670856761147,-0.157035498651108
"miR34a",-0.137783110972277,-0.137783110972277,0.0261797251569872,-0.199483973560524,-0.153463390068625,-0.200019680262879,-0.00235505535953699,-0.177312498867356,-0.170612519046283,-0.169709913411147,-0.167713346805599,-0.00474803672546587,-0.1570305959895,-0.274715037057863,0.161822204607761,0.157506925184149,0.00266942399749413,0.200019680262879,0.200334037163858,0.199327435453579,0.036654525039015,-0.0542106942426285,0.146055623135983
"GRHL2",0.0962721961024066,0.0962721961024066,0.119409446276783,-0.0246485421949419,0.000198409887618053,0.0768116668421931,-0.101998942847352,0.0156771174931031,-0.00769341285536543,-0.00730637430771457,-0.120120600240251,0.102345224809353,-0.0460866265370021,-0.125862945262838,0.105410942538543,0.046375660585213,0.102071560462944,-0.0768116668421931,-0.0766537952051538,0.0245508266264749,-0.0350196372698172,-0.0363514308146772,-0.0972912375939442
"TGFbeta",-0.0259722410220937,-0.0259722410220937,0.0375575403388791,-0.0987749794642314,-0.0199739041515367,-0.0364258930519956,-0.192030080725547,-0.0311179749989301,-0.0271343856709799,-0.026243134648903,-0.0250058946215603,0.105888787766083,-0.143777161360239,-0.194496356356991,0.104437817461122,0.144160616083085,0.092314612204285,0.0364258930519956,0.0367605752925654,0.0984612914487755,-0.0544918203154385,0.0125428881743814,-0.0423188339655753
"SNAI1",0.109243481633318,0.109243481633318,-0.161901779664676,0.313982308261784,0.151127263332152,0.25393452729103,0.00644104071294901,0.227928790760022,0.217380342596256,0.216229889275991,0.210457626072006,-0.067244218118716,0.347206239438726,0.309261939051902,-0.18909753405081,-0.347733015071138,-0.00686315950338254,-0.25393452729103,-0.254320349837366,-0.313807914506265,-0.0451342789672517,0.0548397912596244,-0.124513868140531
"NP63",-0.0928582383619258,-0.0928582383619258,-0.164938780066286,0.0058542466733377,-0.0111604904853929,-0.0975910709000149,-0.00411480956732294,-0.140094962481073,-0.0339378987913778,0.0658417658689834,0.0695376323742922,-0.109450429108135,0.0743890847865676,0.0474937381880334,-0.00111469274078607,-0.0747413791880037,0.00415760093373685,0.0975910709000149,0.097458411156988,-0.00575281567383115,0.0390210314035894,0.0847245927332707,-0.000568865611754716
"TCF3",-0.0916489642898431,-0.0916489642898431,-0.0436704932500897,-0.00370105763522808,-0.00518751692955669,-0.0570445904803092,-0.0189780498464228,-0.051573444997733,-0.0497955935327134,-0.0492753623188406,-0.0494802593998366,-0.0362360081832514,-0.0632865377187509,0.00198345880779056,-0.027020959912423,0.0640125783770278,0.0192680625344779,0.0570445904803092,0.0573115692317263,0.0034179403650746,0.00377009763690756,0.127736366756122,0.064003352619633
"KLF8",-0.0916489642898431,-0.0916489642898431,-0.0436704932500897,-0.00370105763522808,-0.00518751692955669,-0.0570445904803092,-0.0189780498464228,-0.051573444997733,-0.0497955935327134,-0.0492753623188406,-0.0494802593998366,-0.0362360081832514,-0.0632865377187509,0.00198345880779056,-0.027020959912423,0.0640125783770278,0.0192680625344779,0.0570445904803092,0.0573115692317263,0.0034179403650746,0.00377009763690756,0.127736366756122,0.064003352619633
"CLDN7",-0.0916489642898431,-0.0916489642898431,-0.0436704932500897,-0.00370105763522808,-0.00518751692955669,-0.0570445904803092,-0.0189780498464228,-0.051573444997733,-0.0497955935327134,-0.0492753623188406,-0.0494802593998366,-0.0362360081832514,-0.0632865377187509,0.00198345880779056,-0.027020959912423,0.0640125783770278,0.0192680625344779,0.0570445904803092,0.0573115692317263,0.0034179403650746,0.00377009763690756,0.127736366756122,0.064003352619633
"ZEB1",-0.27853878716458,-0.27853878716458,-0.167409768957034,0.0214415386208722,-0.0271762052455963,-0.240647143823809,-0.0501150393238055,-0.201586351618386,-0.169251514532802,-0.169406704784555,-0.165438597071114,-0.259670663759747,0.00234822333055585,0.1554147774435,-0.121266082288714,-0.00243535908806605,0.0501381364942878,0.240647143823809,0.140574705280687,-0.0213129519718403,0.163163818188237,0.145180434068116,0.259561105779365
"miR200c",0.0172588896609316,0.0172588896609316,-0.00342964824421014,0.0135917849399396,-0.0636376518954004,0.215438527653635,0.111073808812342,0.194886351833886,0.156022467432568,0.155869632884851,0.148123670211571,0.117025336270524,0.0900880108070153,0.0681722926262607,-0.0422262610807126,-0.0901249837576047,-0.111156755817159,-0.215438527653635,-0.215466426886071,-0.0136151990820815,-0.0321228959935094,0.179732218205477,0.0130436064597248
"miR200b",0.0172588896609316,0.0172588896609316,-0.00342964824421014,0.0135917849399396,-0.0636376518954004,0.215438527653635,0.111073808812342,0.194886351833886,0.156022467432568,0.155869632884851,0.148123670211571,0.117025336270524,0.0900880108070153,0.0681722926262607,-0.0422262610807126,-0.0901249837576047,-0.111156755817159,-0.215438527653635,-0.215466426886071,-0.0136151990820815,-0.0321228959935094,0.179732218205477,0.0130436064597248
"TWIST1",-0.252881403904119,-0.252881403904119,0.0877523163823199,-0.142606333461155,-0.0988097880665464,-0.288332855683575,-0.0430003397011777,-0.257104624342683,-0.235385601710745,-0.234493937008098,-0.223454860453813,-0.0978878521783471,-0.348353102865156,-0.263558529096808,0.017943122123913,0.248726447526817,0.0433929708942063,0.288332855683575,0.288609150251345,0.142589403719583,0.128599525846677,0.199997404454114,0.199924328519217
"TWIST2",-0.17985047145743,-0.17985047145743,-0.000202422796372306,0.125198487599317,0.0976178846777326,-0.132572867546805,-0.0496995320331509,-0.123023003135336,-0.12191292163318,-0.122256964219147,-0.122016171039326,-0.140991932924183,0.0536230837465551,0.180194727438912,-0.100978922057414,-0.0538567585680931,0.0496692416548486,0.132572867546805,0.132431565175874,-0.125088991887899,-0.0532023864631082,0.231919818371841,0.0829354102822297
