"","ZEB2","miR101","SNAI1","SNAI2","TWIST1","NP63","miR205","miR200b","miR141","ZEB1","GRHL2","CLDN7","GSC","TGFbeta","miR34a","miR200a","miR200c","CDH1","OVOL2","TCF3","FOXC2","TWIST2","KLF8"
"TWIST2",-0.127404618424946,0.100207161492884,0.151433922057814,0.0744464919051256,0.056051721996302,0.0864766129255519,0.0866426434272379,-0.0121559895420382,-0.0765256529886002,0.0764960580518096,-0.0830310730553658,0.0765256529886002,-0.0136178792389776,-0.0136530815705181,-0.0262135833204901,-0.10314287470678,-0.025098327652817,0.0818128673354004,-0.0871773451415681,-0.0560203753739006,-0.0842333989771876,-0.074302694913411,-0.100056822143079
"GSC",-0.0893975154480942,-0.13307162832088,-0.393182104946859,0.146484855561995,-0.343299427560293,0.16227597891242,0.162149539708604,-0.0713024826745001,-0.173433007318563,0.173531227529724,-0.186789655019296,0.173433007318563,-0.0227043122594179,-0.0226040745003431,0.231548235512069,-0.137294761158066,0.047781116895766,0.045801013693233,-0.145438148763809,0.342724421171334,0.463075682607884,-0.172648002960024,0.132737424563767
"ZEB2",-0.0874032298778241,-0.0793149652910118,-0.0443015562555335,-0.0408721135693745,-0.0350798903845134,-0.0115348916321169,-0.0114264317622687,-0.00800036262613858,-0.000834025491555831,0.000819050249803875,0.000827892386456241,0.000834025491555831,0.00281220140360245,0.00287439773463472,0.00340518260915451,0.0053810838251391,0.00871568720068762,0.0118760323234394,0.0162579683353673,0.0348347087715106,0.0472258275857856,0.0661813847074252,0.0792980611375618
"GRHL2",-0.0789066634518941,-0.100581159103738,0.0314851443151681,-0.11319792764694,0.0233317834904476,0.101026423796289,0.101777938106301,-0.038186295677708,-0.112567994749865,0.112490478247585,-0.0623482253902595,0.112567994749865,-0.165917627948664,-0.165782925043405,0.105048500361973,-0.132309965681151,0.0885599438982444,-0.0855184769825571,-0.242636894855784,-0.0232479636164665,-0.06906191998678,0.0423364930612097,0.100805640815081
"SNAI1",-0.0625911194594477,0.154821961515174,0.373330221384045,-0.184643168956561,0.291463428425464,-0.122699243266164,-0.122408873258813,0.128518928824833,0.126093360045319,-0.126195818824384,0.132981900317911,-0.126093360045319,-0.0135512849564796,-0.0135655312217139,-0.306687896667973,0.0298827619579862,-0.100407878835784,-0.0886716801569455,0.115560426260018,-0.290783371813689,-0.437732369251099,0.22108314055152,-0.154468494386369
"KLF8",-0.018295834472447,0.0109419680832691,0.0100547343985242,0.0131053067711756,-0.0504376908255687,-0.0129839993298149,-0.012463768115942,0.00451315230938379,0.00511799902114897,-0.00521674458674162,0.00578502278205574,-0.00511799902114897,-0.000194418283997809,0.000113720197060738,-0.00634291416980616,-0.00633569489698715,-0.0120826220316105,-0.00488602714444334,0.0166929491444122,0.0502440799833616,0.00504104793412044,-0.0166461722571095,-0.0103906344519176
"ZEB1",-0.0111078855166037,-0.0408809114970519,-0.108665786994242,-0.0165772167966649,-0.00317693737853604,0.0629100663303433,0.0627520021850393,0.00185374727896551,-0.0097850875073355,-0.0901933717966546,-0.0211240721642657,0.0097850875073355,-0.00752317420016294,-0.00755358928604554,0.0248410320113187,-0.00989874779176194,0.00346298836770343,-0.0605643431611847,-0.0710120150779651,0.00313427090416897,0.100215210787798,-0.0703620194322323,0.0408845854013099
"FOXC2",-0.0110430174864464,-0.0408845854013099,-0.108574192878928,-0.0165890788091092,-0.00313427090416897,0.0627520021850393,0.0630772935919246,0.00189529774397164,-0.0097889134360797,0.0097850875073355,-0.0211637323707254,0.0097889134360797,-0.00756550982396208,-0.00752317420016294,0.0248239097707512,-0.00994473457921398,0.00342145191452094,-0.0605470456051444,-0.0710154871054422,0.00288641150804459,0.100109134723828,-0.0702729609080593,0.0408075609417649
"TGFbeta",-0.00518453852120094,-0.0890062083028075,-0.413306788128555,0.170036015416466,-0.223043124870743,0.135430641674985,0.135155362307309,-0.16842063285873,-0.139579460017164,0.139714465103442,-0.148170958038363,0.139579460017164,0.190123414846511,0.090242005829252,0.292863311203292,-0.0748255508963192,0.0702827932621844,0.0131501427996801,-0.126554359808124,0.222074277730771,0.378527829276452,-0.239335595220062,0.088530482769434
"miR101",0.00249325376288186,0.117713934391954,0.333909076292931,-0.140133792964673,0.245035656446573,0.0290616024216795,0.0292899249075078,0.0131087247368777,0.00867027272410331,-0.0087450889793355,0.00427069356125149,-0.00867027272410331,-0.00667142570458749,-0.00675526978812974,-0.140015748581299,0.00607685923382465,-0.00407468328924616,-0.0181393431771751,-0.0443932952470148,-0.244648283706702,-0.321571174610414,0.0990350867686727,-0.217438792833616
"miR205",0.00395384251747802,0.0175011942654103,0.0942788247018192,-0.000964830093939267,-0.00841089231626351,-0.0624015395735116,-0.0628177520400659,-0.000145745053505319,0.00752960861240915,-0.00750600642113202,0.0167433078641103,-0.00752960861240915,0.00657278085444398,0.00648866722168728,-0.0177010362268956,0.00657961530355396,-0.00148016094148034,-0.000666955743379964,0.0732694688516574,0.00860034085627421,-0.0869214454133928,0.0881794179426494,-0.0175049491937537
